,,,,,,,,,,,,(単位：隻、総トン）
　　31年(1956),"17,007","10,293,451",864,"3,782,102",298,"1,446,541",566,"2,335,561","5,953","5,799,292","10,190","712,057"
　　32年(1957),"20,649","12,201,510",985,"4,444,563",350,"1,816,948",635,"2,627,615","7,363","6,819,226","12,301","937,721"
　　33年(1958),"22,813","14,206,420","1,123","4,880,610",228,"1,117,128",895,"3,763,482","8,378","8,230,756","13,312","1,095,054"
　　34年(1959),"27,371","16,541,679","1,365","6,458,488",382,"2,115,355",983,"4,343,133","10,565","8,903,287","15,441","1,179,904"
　　35年(1960),"31,776","18,813,605","1,463","6,958,887",425,"2,368,309","1,038","4,590,578","12,193","10,407,207","18,120","1,447,511"
　　36年(1961),"32,767","21,236,006","1,628","8,126,435",578,"3,790,564","1,050","4,335,871","12,369","11,471,669","18,770","1,637,902"
　　37年(1962),"31,358","20,843,653","1,649","7,914,734",447,"3,023,224","1,202","4,891,510","12,523","11,454,327","17,186","1,474,592"
　　38年(1963),"33,936","23,208,548","2,156","9,696,410",567,"3,958,951","1,589","5,737,459","15,090","11,866,546","16,690","1,645,592"
　　39年(1964),"45,886","26,635,511","2,087","10,002,568",673,"4,558,534","1,414","5,444,034","18,754","13,741,580","25,045","2,891,363"
　　40年(1965),"53,381","28,496,962","2,254","10,084,734",668,"4,395,563","1,586","5,689,171","18,805","13,754,788","32,322","4,657,440"
　　41年(1966),"57,356","32,242,435","2,557","11,712,269",902,"6,027,019","1,655","5,685,250","20,087","14,550,872","34,712","5,979,294"
　　42年(1967),"64,502","37,443,913","2,480","12,417,382",958,"6,802,266","1,522","5,615,116","24,814","16,595,857","37,208","8,430,674"
　　43年(1968),"68,894","39,230,470","2,664","13,268,983","1,030","7,164,348","1,634","6,104,635","25,055","16,846,465","41,175","9,115,022"
　　44年(1969),"70,158","39,898,759","2,614","13,531,985",999,"6,618,056","1,615","6,913,929","24,836","16,945,212","42,708","9,421,562"
　　45年(1970),"76,816","39,006,107","2,796","15,001,764","1,174","8,045,152","1,622","6,956,612","26,346","17,649,583","47,674","6,354,760"
　　46年(1971),"76,586","38,476,032","2,765","13,957,785","1,131","7,322,758","1,634","6,635,027","25,912","17,877,089","47,909","6,641,158"
　　47年(1972),"79,763","45,861,461","2,782","18,196,663","1,238","9,650,580","1,544","8,546,083","76,981","27,664,798",汽船(内航船)に含む,
　　48年(1973),"81,689","58,857,408","2,978","24,907,701","1,562","14,521,744","1,416","10,385,957","78,711","33,949,707",(以下同じ),
　　49年(1974),"72,222","62,921,959","3,010","25,589,597","1,726","15,101,968","1,284","10,487,629","69,212","37,332,362",,
　　50年(1975),"65,444","64,092,745","3,096","27,424,364","1,805","16,110,140","1,291","11,314,224","62,348","36,668,381",,
　　51年(1976),"64,794","65,743,008","3,428","30,209,851","2,192","18,531,779","1,236","11,678,072","61,366","35,533,157",,
　　52年(1977),"65,014","70,380,266","3,710","34,904,530","2,425","21,964,892","1,285","12,939,638","61,304","35,475,736",,
　　53年(1978),"63,582","72,455,485","3,853","36,916,437","2,605","23,825,729","1,248","13,090,708","59,729","35,539,048",,
　　54年(1979),"64,116","75,338,078","4,090","39,370,492","2,730","25,464,881","1,360","13,905,611","60,026","35,967,586",,
　　55年(1980),"63,369","76,862,997","3,874","40,789,450","2,581","25,898,548","1,293","14,890,902","59,495","36,073,547",,
　　56年(1981),"60,643","78,062,042","3,857","42,746,927","2,578","27,317,600","1,279","15,429,327","56,786","35,315,115",,
　　57年(1982),"55,487","79,683,759","4,065","45,314,895","2,774","29,263,122","1,291","16,051,773","51,422","34,368,864",,
　　58年(1983),"53,009","80,962,059","4,161","47,099,330","2,837","30,427,940","1,324","16,671,390","48,848","33,862,729",,
　　59年(1984),"56,985","83,068,059","4,014","48,573,999","2,783","32,047,493","1,231","16,526,506","52,971","34,494,060",,
　　60年(1985),"55,992","91,182,320","4,269","57,652,910","2,885","37,396,190","1,384","20,256,720","51,723","33,529,410",,
　　61年(1986),"57,485","98,573,767","4,321","65,036,979","3,015","44,753,588","1,306","20,283,391","53,164","33,536,788",,
　　62年(1987),"57,121","107,780,595","4,646","73,887,717","3,322","51,736,838","1,324","22,150,879","52,475","33,892,878",,
　　63年(1988),"58,206","114,394,007","4,702","79,509,232","3,474","59,746,323","1,228","19,762,909","53,504","34,884,775",,
平成 元年(1989),"57,659","117,983,470","4,724","79,894,283","3,692","63,572,312","1,032","16,321,971","52,935","38,089,187",,
　　 2年(1990),"55,934","125,507,500","4,915","85,038,055","3,914","68,390,758","1,001","16,647,297","51,019","40,469,445",,
　　 3年(1991),"56,753","131,909,101","5,134","90,145,562","4,250","75,597,832",884,"14,547,730","51,619","41,763,539",,
　　 4年(1992),"54,387","133,462,166","5,374","92,201,815","4,524","74,445,691",850,"17,756,124","49,013","41,260,351",,
　　 5年(1993),"50,213","116,557,088","4,609","76,215,839","3,963","61,302,642",646,"14,913,197","45,604","40,341,249",,
　　 6年(1994),"48,882","122,801,795","4,709","81,616,589","4,233","69,285,681",476,"12,330,908","44,173","41,185,206",,
　　 7年(1995),"48,716","133,898,523","4,893","91,589,583","4,554","81,680,259",339,"9,909,324","43,823","42,308,940",,
　　 8年(1996),"46,279","140,214,228","4,787","98,292,551","4,486","89,216,392",301,"9,076,159","41,492","41,921,677",,
　　 9年(1997),"45,331","148,363,636","5,124","106,144,749","4,851","97,433,480",273,"8,711,269","40,207","42,218,887",,
　　10年(1998),"40,520","141,401,525","4,704","100,760,873","4,504","94,135,292",200,"6,625,581","35,816","40,640,652",,
　　11年(1999),"35,222","138,385,819","4,753","101,638,241","4,611","96,630,973",142,"5,007,268","30,469","36,747,578",,
　　12年(2000),"34,250","150,393,552","5,331","109,764,654","5,162","103,026,505",169,"6,738,149","28,919","40,628,898",,
　　13年(2001),"33,368","154,619,987","5,528","113,175,585","5,360","106,899,545",168,"6,276,040","27,840","41,444,402",,
　　14年(2002),"33,477","155,297,183","5,472","113,978,960","5,320","108,480,279",152,"5,498,681","28,005","41,318,223",,
　　15年(2003),"33,912","162,902,720","6,164","120,507,871","6,053","116,163,754",111,"4,344,117","27,748","42,394,849",,
　　16年(2004),"32,633","165,899,097","6,368","122,297,797","6,279","118,854,796",89,"3,443,001","26,265","43,601,300",,
    17年(2005),"32,180","172,458,854","6,827","129,384,364","6,781","127,471,489",46,"1,912,875","25,353","43,074,490",,
    18年(2006),"31,653","176,063,567","6,708","132,864,182","6,682","131,824,354",26,"1,039,828","24,945","43,199,385",,
    19年(2007),"31,322","174,532,001","6,460","132,960,502","6,427","131,654,989",33,"1,305,513","24,862","41,571,499",,
    20年(2008),"30,244","168,816,407","6,071","130,027,830","6,025","128,344,858",46,"1,682,972","24,173","38,788,577",,
    21年(2009),"28,118","160,782,381","5,925","124,578,247","5,893","123,551,773",32,"1,026,474","22,193","36,204,134",,
    22年(2010),"26,411","163,951,676","6,128","127,905,291","6,120","127,406,409",8,"498,882","20,283","36,046,385",,
    23年(2011),"26,358","167,762,720","6,157","129,045,754","6,147","128,504,304",10,"541,450","20,201","38,716,966",,
    24年(2012),"25,743","164,032,393","5,956","125,376,413","5,948","124,877,291",8,"499,122","19,787","38,655,980",,
    25年(2013),"26,095","165,370,385","5,731","125,343,709","5,722","125,295,282",9,"48,427","20,364","40,026,676",,
    26年(2014),"25,259","159,380,433","5,343","118,862,181","5,337","118,793,130",6,"69,051","19,916","40,518,252",,
    27年(2015),"23,997","161,235,534","5,240","119,868,419","5,236","119,822,347",4,"46,072","18,757","41,367,115",,
    28年(2016),"22,665","170,426,797","5,366","128,494,863","5,356","128,005,675",10,"489,188","17,299","41,931,934",,
    29年(2017),"23,604","174,745,700","5,355","130,776,662","5,328","128,481,018",27,"2,295,644","18,249","43,969,038",,
平成30年(2018),"24,374","182,980,285","5,504","137,427,504","5,482","135,669,057",22,"1,758,447","18,870","45,552,781",,
前年比（％）,103.3%,104.7%,102.8%,105.1%,102.9%,105.6%,81.5%,76.6%,103.4%,103.6%,,
前年比較増減,770,"8,234,585",149,"6,650,842",154,"7,188,039",-5,"-537,197",621,"1,583,743",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
