年次（和暦）,年次（西暦）,増減人口,社会動態／社会増減,社会動態／転入,社会動態／転出,都内間の移動増減,自然動態／自然増減,自然動態／出生,自然動態／死亡,その他の増減／外国人登録人口,その他の増減／記載・消除等
昭和57年中,1982年中,35924,-37463,491394,528857,9227,75459,133459,58000,3692,-14991
昭和58年中,1983年中,56121,-8358,495198,503556,8528,71554,131827,60273,6383,-21986
昭和59年中,1984年中,64682,145,486139,485994,8774,70148,131004,60856,10744,-25129
昭和60年中,1985年中,63074,4851,485208,480357,10545,64078,125995,61917,7328,-23728
昭和61年中,1986年中,56944,-6129,486672,492801,8090,58953,121811,62858,10817,-14787
昭和62年中,1987年中,1292,-55491,474706,530197,8418,54910,118390,63480,14341,-20886
昭和63年中,1988年中,-1324,-71570,455801,527371,5500,47500,113094,65594,32401,-15155
平成元年中,1989年中,-25280,-61055,454815,515870,3748,39123,106614,67491,7390,-14486
平成2年中,1990年中,-14192,-50441,453116,503557,2815,33963,104237,70274,9605,-10134
平成3年中,1991年中,21832,-36917,447461,484378,2376,33048,103736,70688,29526,-6201
平成4年中,1992年中,-9661,-51186,434519,485705,1625,28581,101440,72859,13408,-2089
平成5年中,1993年中,-38466,-68433,424367,492800,1912,23698,98973,75275,6283,-1926
平成6年中,1994年中,-39608,-60951,420050,481001,1935,27070,102469,75399,-4530,-3132
平成7年中,1995年中,-19001,-33692,430369,464061,1015,18743,98061,79318,-4628,-439
平成8年中,1996年中,23932,-6963,431545,438508,492,21205,98384,77179,1539,7659
平成9年中,1997年中,50830,16184,435693,419509,928,19352,98638,79286,4840,9526
平成10年中,1998年中,67727,30704,440098,409394,702,18872,99620,80748,6868,10581
平成11年中,1999年中,75307,36624,436805,400181,390,12958,98746,85788,12670,12665
平成12年中,2000年中,94299,53245,444118,390873,-343,16602,101089,84487,19506,5289
平成13年中,2001年中,109444,68457,449888,381431,775,14255,99109,84854,25123,834
,,,,,,,,,,,
人口の動き（平成13年中）,,,,,,,,,,,
第６表　変動要因別増減人口の推移（昭和57年～平成13年）,,,,,,,,,,,
