年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和57年中,1982年中,100,100,100,100,100,8.9,48.2,51.8,1020251,11473373
昭和58年中,1983年中,100.8,95.2,98.8,103.9,97.9,8.7,49.6,50.4,998754,11538302
昭和59年中,1984年中,98.9,91.9,98.2,104.9,95.3,8.4,50,50,972133,11605260
昭和60年中,1985年中,98.7,90.8,94.4,106.8,94.6,8.3,50.3,49.7,965565,11678973
昭和61年中,1986年中,99,93.2,91.3,108.4,96,8.3,49.7,50.3,979473,11743428
昭和62年中,1987年中,96.6,100.3,88.7,109.4,98.5,8.5,47.2,52.8,1004903,11756523
昭和63年中,1988年中,92.8,99.7,84.7,113.1,96.4,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,92.6,97.5,79.9,116.4,95.1,8.3,46.9,53.1,970685,11709398
平成2年中,1990年中,92.2,95.2,78.1,121.2,93.8,8.2,47.4,52.6,956673,11693477
平成3年中,1991年中,91.1,91.6,77.7,121.9,91.3,8,48,52,931839,11694052
平成4年中,1992年中,88.4,91.8,76,125.6,90.2,7.9,47.2,52.8,920224,11683185
平成5年中,1993年中,86.4,93.2,74.2,129.8,89.9,7.9,46.3,53.7,917167,11643378
平成6年中,1994年中,85.5,91,76.8,130,88.3,7.8,46.6,53.4,901051,11607137
平成7年中,1995年中,87.6,87.7,73.5,136.8,87.7,7.7,48.1,51.9,894430,11592359
平成8年中,1996年中,87.8,82.9,73.7,133.1,85.3,7.5,49.6,50.4,870053,11604177
平成9年中,1997年中,88.7,79.3,73.9,136.7,83.8,7.3,50.9,49.1,855202,11641165
平成10年中,1998年中,89.6,77.4,74.6,139.2,83.3,7.3,51.8,48.2,849492,11691277
平成11年中,1999年中,88.9,75.7,74,147.9,82,7.1,52.2,47.8,836986,11744762
平成12年中,2000年中,90.4,73.9,75.7,145.7,81.8,7.1,53.2,46.8,834991,11814109
平成13年中,2001年中,91.6,72.1,74.3,146.3,81.5,7,54.1,45.9,831319,11895235
,,,,,,,,,,,
人口の動き（平成13年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和57年～平成13年）,,,,,,,,,,,
注１）昭和57年=100,,,,,,,,,,,
注２）移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
