"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","内容を知っている[人]","聞いたことがあるが、知らない[人]","知らない[人]","無回答[人]"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","全体",,"558","79","247","219","13"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性（計）","231","29","97","105","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 18～29歳","13","4","4","5","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 30～39歳","38","4","11","23","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 40～49歳","50","4","21","25","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 50～59歳","47","7","23","17","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 60～69歳","42","5","16","21","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 70歳以上","40","5","21","14","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","男性 無回答","1","0","1","0","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性（計）","313","49","149","112","3"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 18～29歳","26","6","6","14","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 30～39歳","49","5","22","20","2"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 40～49歳","78","11","37","30","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 50～59歳","62","14","37","11","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 60～69歳","56","6","29","20","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 70歳以上","42","7","18","17","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","女性 無回答","0","0","0","0","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","性・年代別","無回答","14","1","1","2","10"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","自営業主・家族従業","86","14","38","34","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","会社員・団体職員・公務員","243","32","107","104","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","アルバイト・パートタイマー","35","4","16","15","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","家事専業","55","3","30","19","3"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","学生","13","6","2","5","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","無職","81","14","37","30","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","その他","31","5","14","12","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","職業別","無回答","14","1","3","0","10"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","芝地区","86","8","47","31","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","麻布地区","87","15","35","36","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","赤坂地区","81","15","25","39","2"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","高輪地区","146","19","65","62","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","芝浦港南地区","139","22","71","46","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","居住地区別","無回答","19","0","4","5","10"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","持家（一戸建）","64","8","27","29","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","持家（マンション）","267","39","134","93","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","借家（一戸建）","9","0","3","6","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","民間の賃貸マンション・アパート","151","23","62","65","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","都営住宅・区営住宅・区立住宅","26","3","11","12","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","1","6","4","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","社宅・公務員宿舎","10","3","0","6","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","2","2","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","その他","5","1","2","2","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","住居形態別","無回答","11","1","0","0","10"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","ずっと住み続けていたい","279","48","125","99","7"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","当分は住んでいたい","203","25","90","84","4"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","3","19","22","1"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","1","4","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","近いうちに区外に転居する予定である","13","3","4","6","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","わからない","10","0","6","4","0"
"202203","男女平等","Q22. あなたは「港区男女平等参画条例」について、見たり聞いたりしたことがありますか。","定住意向別","無回答","3","0","2","0","1"

"第33回港区民世論調査クロス集計表・男女平等Q22","Ver202203",,,,,,,,
