"ゴミの分類
番号","データ
提出組織",地区名,ゴミの品目,分別区分1,分別区分2,分別区分3,分別区分4,"粗大ごみ
回収料金",備考
1,あきる野市,全域,ＩＣレコーダー（充電式を含む）（電池は有害ごみ）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
2,あきる野市,全域,アイロン,不燃ごみ,,,,,金属部分が大部分を占めるものは金属、プラスチックの割合が半分以上を占めるものは不燃物扱いです。
3,あきる野市,全域,アイロン台,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
4,あきる野市,全域,IHクッキングヒーター（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
5,あきる野市,全域,IHクッキングヒーター（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
6,あきる野市,全域,空き缶（飲料、菓子等の缶、最大２０?缶まで）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
7,あきる野市,全域,空きびん,びん類,,,,,口についている取り除けないプラスチック、ラベル類はそのままでも大丈夫です。油汚れなどがとれないびんは、不燃ごみ扱い。不燃用有料袋に「汚れているびん」等書き、出してください。
8,あきる野市,全域,アクセサリー（プラスチック製）,可燃ごみ,,,,,
9,あきる野市,全域,アクセサリー（金属製）,不燃ごみ,,,,,
10,あきる野市,全域,アクリル板（全ての辺が50cm以下、厚さ5ｃｍ以下のもので可燃ごみ専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
11,あきる野市,全域,アクリル板（いずれかの辺が50ｃｍを超える、又は厚さ5cmを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
12,あきる野市,全域,アコーディオンカーテン,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
13,あきる野市,全域,アタッシュケース（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
14,あきる野市,全域,アタッシュケース（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
15,あきる野市,全域,アダプター（小型家電製品変圧器・充電器）,使用済み電子機器,,,,,品物に「あきる野市」と表示し、バケツやダンボール箱などに入れてください。大きさ、重さの制限はありません。
16,あきる野市,全域,圧力鍋,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
17,あきる野市,全域,油（液状のもの）,処理不能,,,,,市では処理ができないもののため、廃棄物事業者に直接ご依頼ください。
18,あきる野市,全域,油（新聞紙やボロ布などにしみ込ませるか、凝固剤で固める）,可燃ごみ,,,,,
19,あきる野市,全域,油紙,可燃ごみ,,,,,
20,あきる野市,全域,あぶらとり紙,可燃ごみ,,,,,
21,あきる野市,全域,油びん（中身を出して、洗浄）,びん類,,,,,口についている取り除けないプラスチック、ラベル類はそのままでも大丈夫です。油汚れなどがとれないびんは、不燃ごみ扱い。不燃用有料袋に「汚れているびん」等書き、出してください。
22,あきる野市,全域,雨カッパ,可燃ごみ,,,,,
23,あきる野市,全域,雨どい（１ｍ以下に切る）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
24,あきる野市,全域,編み機,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
25,あきる野市,全域,網戸,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
26,あきる野市,全域,あめの包み紙,可燃ごみ,,,,,
27,あきる野市,全域,アルバム,可燃ごみ,,,,,
28,あきる野市,全域,アルミコーティング袋（菓子・薬などの包装袋類）,可燃ごみ,,,,,
29,あきる野市,全域,アルミサッシ,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
30,あきる野市,全域,アルミ箔・アルミホイル,可燃ごみ,,,,,
31,あきる野市,全域,アンカ（プラスチック製）,可燃ごみ,,,,,
32,あきる野市,全域,安全靴,不燃ごみ,,,,,
33,あきる野市,全域,安全ピン,不燃ごみ,,,,,
34,あきる野市,全域,アンテナ（パラボラ式）（直径50cm以下のもの）,不燃ごみ,,,,,
35,あきる野市,全域,アンテナ（パラボラ式）（直径50cmを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
36,あきる野市,全域,アンテナ（パラボラ式を除く）（長さ50cm以下もの）,缶・金属類,,,,,金属類は、汚れをできるだけ落としてください。水を切ってから出してください。
37,あきる野市,全域,アンテナ（パラボラ式を除く）（長さ50cmを超えるもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
38,あきる野市,全域,アンプ（不燃ごみ専用袋に入り、口がしばれるもの）,不燃ごみ,,,,,
39,あきる野市,全域,アンプ（不燃ごみ専用袋に入らないもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
40,あきる野市,全域,EMS機器（腹筋ベルト、美顔器など）,有害ごみ,,,,,「充電池が取り外せない製品群」扱い。充電池が取り外せない家電類だけを一つの袋に入れ、他の有害ごみと混交しないでください。（有害ごみの種類ごとに袋を分ける。）
41,あきる野市,全域,石,処理不能,,,,,市では処理ができないもののため、廃棄物事業者に直接ご依頼ください。
42,あきる野市,全域,衣装ケース,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
43,あきる野市,全域,いす（パイプイスを含む）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
44,あきる野市,全域,イーゼル（画架）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
45,あきる野市,全域,板ガラス（不燃ごみ専用袋に入り、口がしばれるもの）（新聞紙等で包み「割れものあり」と袋に表示）,不燃ごみ,,,,,収集時にけがをしないよう、紙などに包んで、不燃ごみ袋に「割れ物あり」と書いて出してください。
46,あきる野市,全域,板ガラス（不燃ごみ専用袋に入らないもの）（新聞紙等で包み「割れものあり」と袋に表示）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
47,あきる野市,全域,板きれ（全ての辺が50cm以下かつ5㎏以下、厚さ5cm以下のもので、可燃ごみの専用袋に入り、口がしばれるもの）,可燃ごみ,,,,,
48,あきる野市,全域,板きれ（いずれかの辺が50ｃｍ超えるか5㎏を超え、縦182cm×横91cm×厚さ5cm以下のもの）,粗大ごみ,,,,,町名ごとに粗大ごみ収集業者が異なります。詳しくはあきる野市資源とごみの出し方カレンダー「地区ごとの粗大ごみ収集業者について」をご参照ください。
