◆医療機関一覧,,,,,,,
町村名,島名,面積?,人口,診療所名,開設,医師,病床
大島町,大島,90.76 ,"7,150",大島医療センター,町立,7,19
,,,,南部診療所（出張）,法人,,0
利島村,利島,4.12 ,317,利島村診療所,国保,1,0
新島村,新島,23.64 ,"2,032",本村診療所,国保,3,8
,,,,若郷診療所（出張）,国保,,0
,式根島,3.88 ,463,式根島診療所,国保,1,2
神津島村,神津島,18.58 ,"1,813",神津島村診療所,国保,2,6
三宅村,三宅島,55.27 ,"2,301",中央診療所,国保,3,12
御蔵島村,御蔵島,20.54 ,292,御蔵島診療所,国保,1,2
八丈町,八丈島,72.21 ,"7,053",町立八丈病院,国保,7,54
,,,,岩渕クリニック,個人,1,0
青ヶ島村,青ヶ島,5.98 ,168,青ヶ島村診療所,国保,1,2
小笠原村,父島,23.80 ,"2,137",小笠原村診療所,村立,3,9
,母島,20.21 ,444,母島診療所,村立,1,4
檜原村,―,105.41 ,"2,038",檜原診療所,国保,2,0
奥多摩町,―,225.53 ,"4,746",奥多摩病院,国保,4,43
,,,,日原診療所（出張）,国保,,0
,,,,峰谷診療所（出張）,国保,,0
,,,,古里診療所,法人,1,0
,,,,川辺医院,個人,1,0
,,,,双葉会診療所,法人,1,10
※人口は令和5年1月1日現在の「住民基本台帳による東京都の世帯と人口」による,,,,,,,
※「国保」…町村が開設した国民健康保険直営診療所及び病院,,,,,,,
,,,,,,,
