一連番号,測定地点住所,緯度,経度,座標系,道　路　名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,都道402号錦町有楽町線,c,2013-11-11,2013-11-13,4,3,4.6,1.2,66,63
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道17号（中央通り）,c,2013-11-11,2013-11-13,3,5,4.3,1.2,67,64
17,千代田区平河町2-6,35.679234,139.739197,JGD2011,高速4号新宿線,C,2013-12-11,2013-12-12,2,4,0,1.2,68,67
18,千代田区外神田2-5,35.699986,139.768906,JGD2011,国道17号,C,2013-12-11,2013-12-12,3,4,4.1,1.2,64,62
19,千代田区内神田2-3,35.689632,139.768265,JGD2011,都道405号外濠環状線,C,2013-12-11,2013-12-12,4,5,4.5,1.2,67,64
20,千代田区外神田6-15,35.704056,139.771591,JGD2011,都道437号,C,2013-12-11,2013-12-12,4,6,5.5,1.2,64,62
21,千代田区西神田3-8,35.698326,139.753738,JGD2011,区道千第319号,C,2013-12-11,2013-12-12,5,4,4.7,1.2,64,61
22,中央区月島4-1,35.662067,139.782181,JGD2011,都道上野月島線（清澄通り）,C,2013-06-04,2013-06-07,4,6,7,1.2,63,60
23,中央区日本橋小伝馬町20,35.692455,139.780502,JGD2011,国道6号（江戸通り）,C,2013-06-04,2013-06-07,3,4,4.6,1.2,67,65
24,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道日本橋芝浦大森線（昭和通り）,C,2013-06-04,2013-06-07,4,7,6,1.2,72,70
25,中央区築地6-1,35.665749,139.772690,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,C,2013-07-02,2013-07-05,4,6,5,1.6,71,69
26,中央区京橋3-11,35.674385,139.771667,JGD2011,都道日本橋芝浦大森線（昭和通り）,C,2013-11-12,2013-11-15,4,10,6,1.2,69,68
27,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道東京市川線（新大橋通り）,C,2013-10-08,2013-10-11,4,6,5.5,1.2,68,65
28,中央区京橋3-1,35.675819,139.768723,JGD2011,国道15号（中央通り）,C,2013-11-12,2013-11-15,3,5,5.9,1.2,65,63
29,中央区新富2-15,35.671257,139.775208,JGD2011,都道東京市川線（新大橋通り）,C,2013-11-12,2013-11-15,4,6,5.5,1.2,69,66
30,中央区晴海3-1,35.656456,139.779572,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,C,2013-12-03,2013-12-06,4,9,8.7,1.2,66,65
31,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道東京市川線（新大橋通り）,C,2014-02-04,2014-02-07,4,6,5.4,1.2,67,65
32,中央区日本橋馬喰町2-2,35.695366,139.783188,JGD2011,都道302号（新宿両国線）,C,2013-11-19,2013-11-20,4,6,7.8,1.2,67,65
33,中央区築地6-15,35.664047,139.773560,JGD2011,都道304号（日比谷豊洲埠頭東雲町線）　,C,2013-11-19,2013-11-20,4,6,5.5,1.2,68,65
34,中央区晴海2-5,35.655460,139.782700,JGD2011,都道304号（日比谷豊洲埠頭東雲町線）,C,2013-11-20,2013-11-20,4,4,12.2,1.2,61,57
35,中央区日本橋本石町3-2,35.687450,139.770630,JGD2011,都道407号（丸の内室町線）,C,2013-11-19,2013-11-20,4,4,5.1,1.2,65,62
36,中央区月島4-13,35.661507,139.781418,JGD2011,都道463号（上野月島線）,C,2013-11-19,2013-11-20,4,6,7.7,1.2,63,60
37,中央区日本橋箱崎町27,35.680027,139.787079,JGD2011,都道475号（永代葛西橋線）,C,2013-11-19,2013-11-20,4,6,4,1.2,68,64
38,中央区日本橋馬喰町1-4,35.692814,139.781235,JGD2011,区道中日第2号線,C,2013-11-19,2013-11-20,5,4,4.5,1.2,63,58
39,中央区八丁堀1-9,35.677292,139.777100,JGD2011,区道中京第401号線,C,2013-11-19,2013-11-20,5,6,6,1.2,65,62
40,中央区銀座8-18,35.665993,139.764603,JGD2011,区道中京第407号線,C,2013-11-19,2013-11-20,5,4,4.8,1.2,64,62
41,中央区明石町7,35.667721,139.778976,JGD2011,区道中京第412号線,B,2013-11-19,2013-11-20,5,4,14,1.2,59,54
42,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号（桜田通り）,C,2014-01-15,2014-01-16,3,8,3.2,1.2,65,63
43,港区東麻布2-31,35.655727,139.740875,JGD2011,都道環状3号線（外苑東通り）,C,2014-01-15,2014-01-16,4,4,6.1,1.2,72,70
44,港区白金台5-10,35.641472,139.719849,JGD2011,都道北品川四谷線（外苑西通り）,C,2014-01-15,2014-01-16,4,4,4,1.2,73,70
45,港区西麻布3-12,35.656204,139.724091,JGD2011,都道418号線（外苑西通り）,b,2014-01-15,2014-01-16,4,6,2.6,1.2,66,64
46,港区港南3-9,35.632515,139.751373,JGD2011,都道316号線（海岸通り）,C,2014-01-15,2014-01-16,4,6,5.2,1.2,71,69
47,港区高輪2-13,35.634586,139.737762,JGD2011,国道15号（第一京浜）,C,2014-01-15,2014-01-16,3,8,3.2,1.2,69,66
48,港区北青山3-3,35.668293,139.714828,JGD2011,国道246号（青山通り）,C,2014-01-15,2014-01-16,3,8,6,1.2,69,69
49,港区西麻布3-21,35.659618,139.725067,JGD2011,都道412号線（六本木通り）,C,2014-01-15,2014-01-16,4,8,4.6,1.2,68,68
50,港区三田2-7,35.651531,139.744034,JGD2011,国道1号,C,2014-02-05,2014-02-06,3,4,5.5,1.2,68,66
51,港区芝浦1-6,35.647343,139.755280,JGD2011,国道130号,C,2014-02-05,2014-02-06,3,4,3.6,1.2,70,65
52,港区西新橋2-14,35.667286,139.750992,JGD2011,都道白山祝田田町線,C,2014-02-05,2014-02-06,4,4,4.3,1.2,67,65
53,港区港南3-9,35.632515,139.751373,JGD2011,都道日本橋芝浦大森線,C,2014-02-05,2014-02-06,4,6,5.2,1.2,71,69
54,港区東麻布2-31,35.655727,139.740875,JGD2011,都道環状3号線,C,2014-02-05,2014-02-06,4,4,5.7,1.2,72,70
55,港区芝2-21,35.651024,139.750122,JGD2011,都道日比谷芝浦線,C,2014-02-05,2014-02-06,4,4,6.3,1.2,67,63
56,港区北青山1-7,35.677811,139.720215,JGD2011,都道四谷角筈線,A,2014-02-05,2014-02-06,4,4,8.9,1.2,59,57
57,港区南青山4-1,35.667164,139.719360,JGD2011,都道北品川四谷線,B,2014-02-05,2014-02-06,4,4,3.5,1.2,68,65
58,港区芝4-1,35.649269,139.749573,JGD2011,区道821号,C,2014-02-05,2014-02-06,5,4,4.6,1.2,69,64
59,港区港南2-3,35.629086,139.743881,JGD2011,区道243号,C,2014-02-05,2014-02-06,5,4,5.5,1.2,65,60
60,港区台場2-3,35.627892,139.776321,JGD2011,国道357号,C,2014-02-05,2014-02-06,3,4,5.3,1.2,69,66
61,新宿区新小川町6-27,35.707932,139.741959,JGD2011,都道千代田練馬田無線(目白通り),C,2014-01-21,2014-01-24,4,4,0.4,1.2,72,71
62,新宿区下落合3-19-3,35.722710,139.703415,JGD2011,都道千代田練馬田無線(目白通り),C,2014-01-28,2014-01-31,4,2,0.5,1.2,71,70
63,新宿区西落合4-3-9,35.727474,139.680649,JGD2011,都道千代田練馬田無線(目白通り),b,2014-01-28,2014-01-31,4,4,0.4,1.2,74,73
64,新宿区西早稲田1-16-31,35.711536,139.720535,JGD2011,都道千代田練馬田無線(新目白通り),C,2014-01-28,2014-01-31,4,4,0.4,1.2,72,69
65,新宿区中落合1-3-9,35.717243,139.691910,JGD2011,都道千代田練馬田無線(新目白通り),C,2014-01-28,2014-01-31,4,4,0.5,1.2,75,72
66,新宿区神楽坂6-58,35.702477,139.736923,JGD2011,都道飯田橋石神井新座線(早稲田通り),C,2014-01-21,2014-01-24,4,1,0.3,1.2,66,64
67,新宿区西早稲田1-2-6,35.708347,139.717514,JGD2011,都道飯田橋石神井新座線(早稲田通り),C,2014-01-28,2014-01-31,4,4,0.5,1.2,68,65
68,新宿区高田馬場4-13-8,35.712646,139.700500,JGD2011,都道飯田橋石神井新座線(早稲田通り),C,2014-01-28,2014-01-31,4,2,0.4,1.2,67,65
69,新宿区西早稲田2-14-4,35.708221,139.711731,JGD2011,都道飯田橋石神井新座線補(諏訪通り),b,2014-01-28,2014-01-31,4,4,0.3,1.2,69,65
70,新宿区余丁町1,35.694946,139.716858,JGD2011,都道新宿両国線(余丁町通り),C,2014-01-21,2014-01-24,4,2,0.4,1.2,63,62
71,新宿区富久町8-25,35.691345,139.718140,JGD2011,都道新宿両国線(靖国通り),C,2014-01-21,2014-01-24,4,4,0.4,1.2,71,70
72,新宿区新宿5-16-5,35.692558,139.706100,JGD2011,都道新宿両国線(靖国通り),C,2014-01-28,2014-01-31,4,10,0.4,1.2,70,67
73,新宿区西新宿8-14-18,35.694984,139.691574,JGD2011,都道東京所沢線(青梅街道),C,2014-01-21,2014-01-24,4,4,5.2,1.2,67,65
74,新宿区新宿1-7-3,35.688770,139.710327,JGD2011,区道41-900(新宿通り),C,2014-01-28,2014-01-31,5,4,0.4,1.2,70,69
75,新宿区市谷本村町7-3,35.695076,139.724976,JGD2011,都道環状3号線(外苑東通り),b,2014-01-21,2014-01-24,4,4,0.5,1.2,69,66
76,新宿区左門町13,35.686466,139.719818,JGD2011,都道環状3号線(外苑東通り),C,2014-01-28,2014-01-31,4,4,0.4,1.2,68,66
77,新宿区高田馬場2-1-9,35.712124,139.710083,JGD2011,都道芝新宿王子線(明治通り),C,2014-01-28,2014-01-31,4,4,0.4,1.2,73,72
78,新宿区中落合1-14-22,35.717953,139.688507,JGD2011,都道環状6号線(山手通り),a,2014-01-28,2014-01-31,4,4,0.3,1.2,72,70
79,新宿区納戸町36,35.696926,139.733063,JGD2011,区道34-191,a,2014-01-21,2014-01-24,6,1,0,1.2,62,56
80,新宿区大久保3-1-3,35.704676,139.708092,JGD2011,都道芝新宿王子線(明治通り),C,2014-01-21,2014-01-24,4,4,0.3,1.2,75,74
81,新宿区西新宿4-39-5,35.685955,139.685654,JGD2011,都道環状6号線(山手通り),C,2014-01-21,2014-01-24,4,6,0.5,1.2,68,67
82,新宿区南元町15,35.679630,139.723129,JGD2011,高速4号新宿線,B,2014-02-06,2014-02-07,2,4,5,1.2,62,58
83,新宿区西新宿3-4,35.685623,139.692352,JGD2011,国道20号,C,2014-02-06,2014-02-07,3,8,5.4,1.2,70,69
84,新宿区下落合4-1,35.716824,139.698135,JGD2011,都道千代田練馬田無線,C,2014-02-06,2014-02-07,4,6,2.7,1.2,71,69
85,新宿区大久保3-14,35.707726,139.708572,JGD2011,都道芝新宿王子線,B,2014-02-06,2014-02-07,4,4,6.3,1.2,69,68
86,新宿区西新宿2-11,35.691105,139.687698,JGD2011,都道新宿副都心5号線,B,2014-02-06,2014-02-07,4,6,4.5,1.2,65,63
87,文京区関口3-11,35.714394,139.728363,JGD2011,高速5号池袋線,B,2014-02-05,2014-02-06,2,4,2.3,1.2,59,56
88,文京区関口1-20,35.709316,139.733521,JGD2011,都道千代田練馬田無線(2),C,2014-02-05,2014-02-06,4,5,5.4,1.2,69,67
89,文京区関口1-32,35.710529,139.724091,JGD2011,都道千代田練馬田無線,C,2014-02-05,2014-02-06,4,4,6.2,1.2,71,70
90,文京区小石川1-4,35.710022,139.752335,JGD2011,都道小石川西巣鴨線,C,2014-02-05,2014-02-06,4,4,4.2,1.2,66,63
91,文京区白山3-6,35.720833,139.740570,JGD2011,都道小石川西巣鴨線,C,2014-02-05,2014-02-06,4,2,6.1,1.2,63,57
92,文京区湯島4-1,35.708050,139.764389,JGD2011,都道本郷亀戸線,C,2014-02-05,2014-02-06,4,4,3,1.2,70,68
93,台東区清川1丁目18-8,35.724983,139.801392,JGD2011,都道464号言問南千住線（吉野通り）,C,2013-11-18,2013-11-22,4,4,4.2,1.2,65,63
94,台東区上野桜木2丁目10-6,35.721169,139.770935,JGD2011,都道319号環状3号線（言問通り）,C,2013-11-18,2013-11-22,4,2,2.1,1.2,69,67
95,台東区今戸1丁目1-17,35.718510,139.804672,JGD2011,都道314号言問大谷田線（橋場通り）,b,2013-11-18,2013-11-22,4,4,5.3,1.2,61,57
96,台東区清川1-18,35.724667,139.801544,JGD2011,都道言問橋南千住線（都道464号線）,C,2013-11-19,2013-11-20,4,4,4.2,1.2,65,63
97,台東区上野桜木2-10,35.721367,139.771271,JGD2011,都道環状3号線（都道319号線）,C,2013-11-19,2013-11-20,4,2,2.1,1.2,69,67
98,台東区今戸1-1,35.718094,139.805069,JGD2011,都道言問大谷田線,B,2013-11-19,2013-11-20,4,2,5.3,1.2,61,57
99,墨田区東向島1-28-11,35.718777,139.814026,JGD2011,国道6号（水戸街道）,C,2013-09-02,2013-09-06,3,4,3,2,71,69
100,墨田区墨田4-61-9,35.730038,139.826355,JGD2011,国道6号（水戸街道）,C,2013-09-02,2013-09-06,3,4,4,1.2,74,72
101,墨田区東向島6-8-1,35.721062,139.819839,JGD2011,都道王子千住南砂線（明治通り）,C,2013-09-09,2013-09-13,4,4,5,2,68,66
102,墨田区東向島3-17-13,35.724815,139.815765,JGD2011,都道王子千住南砂線（明治通り）,C,2013-09-09,2013-09-13,4,4,4,1.2,70,68
103,墨田区江東橋1-7-14,35.695141,139.809860,JGD2011,国道14号（京葉道路）,C,2013-09-30,2013-10-04,3,6,5,2,70,67
104,墨田区緑2-13-7,35.694611,139.800964,JGD2011,国道14号（京葉道路）,C,2013-09-30,2013-10-04,3,4,4,1.2,73,71
105,墨田区横網2-3 横網町公園,35.699745,139.796921,JGD2011,都道御徒町小岩線（蔵前橋通り）,b,2013-10-21,2013-10-25,4,4,3,1.2,70,66
106,墨田区太平1-17 法恩寺橋児童遊園,35.701801,139.808640,JGD2011,都道御徒町小岩線（蔵前橋通り）,C,2013-11-11,2013-11-15,4,4,3,1.2,69,66
107,墨田区菊川3-16-5,35.688911,139.806351,JGD2011,都道環状3号線（三ツ目通り）,C,2013-11-18,2013-11-22,4,4,3,1.2,70,67
108,墨田区本所4-1-4,35.702820,139.804916,JGD2011,都道環状3号線（三ツ目通り）,C,2013-11-18,2013-11-22,4,4,3,1.2,68,65
109,墨田区横網2-3 横網町公園,35.699745,139.796921,JGD2011,都道上野月島線（清澄通り）,b,2013-10-21,2013-10-25,4,4,4,1.2,67,64
110,墨田区錦糸4-15 錦糸公園,35.698555,139.815033,JGD2011,都道深川吾嬬町線（四ツ目通り）,b,2013-11-11,2013-11-15,4,4,4,1.5,65,61
111,墨田区東駒形4-15 大横川親水公園,35.707531,139.807663,JGD2011,都道本郷亀戸線（浅草通り）,C,2013-11-01,2013-11-08,4,4,6,1.2,65,61
112,墨田区堤通2-5 隅田川神社入り口,35.731106,139.814011,JGD2011,都道吾妻橋伊興線（墨堤通り）,b,2013-10-07,2013-10-11,4,4,6,1.2,66,62
113,墨田区八広4-12-3,35.722626,139.826523,JGD2011,区道墨120（八広中央通り）,C,2013-10-28,2013-11-01,6,2,2,1.2,67,62
114,墨田区八広6-53　西吾嬬公園,35.724098,139.830521,JGD2011,区道墨121（八広はなみずき通り）,C,2013-10-28,2013-11-01,6,2,3,1.2,68,63
115,墨田区八広1-7-4,35.721535,139.821991,JGD2011,区道墨119（曳舟川通り）,C,2013-11-25,2013-11-29,6,2,4,1.6,66,63
116,墨田区向島2-18,35.714775,139.808182,JGD2011,国道6号,C,2013-10-17,2013-10-18,3,4,4.6,1.2,72,70
117,墨田区緑1-19,35.694881,139.798691,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,4,5.9,1.2,71,70
118,墨田区江東橋1-11,35.695526,139.810257,JGD2011,国道14号,C,2013-10-17,2013-10-18,3,6,6.5,1.2,68,66
119,墨田区本所4-1,35.702679,139.805069,JGD2011,都道環状3号線,C,2013-10-17,2013-10-18,4,4,3.7,1.2,67,65
120,墨田区京島3-17,35.716209,139.824081,JGD2011,都道王子千住南砂町線,C,2013-10-17,2013-10-18,4,4,4.1,1.2,67,63
121,墨田区吾妻橋2-3,35.708782,139.803726,JGD2011,都道本郷亀戸線,C,2013-10-17,2013-10-18,4,6,6.2,1.2,66,62
122,墨田区業平5-10,35.707935,139.816772,JGD2011,都道本郷亀戸線,C,2013-10-17,2013-10-18,4,4,2.7,1.2,69,65
123,墨田区横川4-8,35.704826,139.815033,JGD2011,都道深川吾嬬線,C,2013-10-17,2013-10-18,4,4,4.8,1.2,67,63
124,江東区亀戸4-14,35.701527,139.828720,JGD2011,都道放射14号線（蔵前橋通り）,b,2013-05-13,2013-05-14,4,4,4,1.5,72,69
125,江東区亀戸7-39-9,35.697147,139.839218,JGD2011,国道14号（京葉道路）,c,2013-05-14,2013-05-15,3,6,5,2.1,72,69
126,江東区住吉2-28-36,35.689022,139.819382,JGD2011,都道放射31号線（新大橋通り）,b,2013-05-21,2013-05-22,4,4,4,2,65,61
127,江東区大島3-16-2,35.689594,139.829697,JGD2011,都道放射31号線（新大橋通り）,c,2013-11-27,2013-11-28,4,4,3,2,66,61
128,江東区北砂4-13-23,35.676956,139.829224,JGD2011,都道補助111号線（清洲橋通り）,c,2013-12-11,2013-12-12,4,4,3,1.5,68,63
129,江東区南砂4-4-1,35.674496,139.830322,JGD2011,都道放射29号線（葛西橋通り）,c,2013-11-28,2013-11-29,4,4,3,2.5,73,72
130,江東区永代2-31,35.673653,139.792633,JGD2011,都道放射16号線（永代通り）,c,2013-06-03,2013-06-04,4,6,5,1.5,67,64
131,江東区東陽3-27,35.670174,139.815643,JGD2011,都道放射16号線（永代通り）,c,2013-06-05,2013-06-06,4,6,6,1.7,68,66
132,江東区豊洲4-11-18,35.653324,139.799072,JGD2011,都道放射34号線（晴海通り）,c,2013-12-05,2013-12-06,4,7,6,2,69,64
133,江東区平野1-2-3,35.678619,139.798462,JGD2011,都道補助110号線（清澄通り）,c,2013-06-04,2013-06-05,4,4,4,1.5,67,63
134,江東区東雲2-5,35.640823,139.799210,JGD2011,国道357号（湾岸道路）,c,2013-12-09,2013-12-10,3,4,8,1.5,70,68
135,江東区森下4-9-22,35.685215,139.806168,JGD2011,都道環状3号線（三ツ目通り）,c,2013-12-03,2013-12-04,4,4,3,2,68,65
136,江東区枝川3-3,35.658913,139.808472,JGD2011,都道環状3号線（三ツ目通り）,c,2013-05-27,2013-05-28,4,6,4,1.5,72,69
137,江東区枝川1-8-15,35.657299,139.802383,JGD2011,都道環状3号線（三ツ目通り）,c,2013-12-04,2013-12-05,4,6,2.7,1.2,66,61
138,江東区東陽4-11-28,35.672993,139.816360,JGD2011,都道放射32号線（四ツ目通り）,c,2013-05-23,2013-05-24,4,4,8,1.2,65,62
139,江東区大島3-4-5,35.692406,139.826218,JGD2011,都道補助116号線（明治通り）,c,2013-05-20,2013-05-21,4,4,5,1.2,69,67
140,江東区大島6-7-8,35.691181,139.835190,JGD2011,都道環状4号線（丸八通り）,b,2013-11-26,2013-11-27,4,6,5.1,2,66,62
141,江東区東砂2-12-14,35.683292,139.843781,JGD2011,都道補助144号線（番所橋通り）,b,2013-12-02,2013-12-03,4,4,4.5,2.1,69,63
142,江東区大島7-30,35.693832,139.841415,JGD2011,高速7号小松川線,c,2013-12-24,2013-12-25,2,4,23,25.8,66,64
143,江東区枝川2-1,35.659821,139.805649,JGD2011,高速9号深川線,c,2013-05-28,2013-05-29,2,4,28,27,71,69
144,江東区東雲1-6,35.646469,139.801208,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,C,2013-12-03,2013-12-04,4,8,6.5,1.2,68,63
145,江東区有明1-2,35.640419,139.793106,JGD2011,都道日比谷豊洲埠頭東雲町線（晴海通り）,C,2013-12-03,2013-12-04,4,7,10.2,1.2,63,60
146,江東区亀戸4-16,35.701580,139.827087,JGD2011,都道御徒町小岩線（蔵前橋通り）,B,2013-12-03,2013-12-04,4,4,6.3,1.2,73,69
147,江東区東砂5-13,35.675728,139.842834,JGD2011,都道亀戸葛西橋線（番所橋通り）,C,2013-12-03,2013-12-04,4,4,4.4,1.2,67,62
148,江東区亀戸3-38,35.706425,139.821060,JGD2011,都道本郷亀戸線（浅草通り）,C,2013-12-03,2013-12-04,4,4,4.3,1.2,70,65
149,江東区亀戸6-33,35.693974,139.829132,JGD2011,高速7号小松川線,C,2013-12-03,2013-12-04,2,4,4.7,1.2,64,62
150,品川区上大崎2-13,35.634651,139.717880,JGD2011,都道白金台町等々力線(目黒通り),c,2013-10-28,2013-11-01,4,3,3.4,1.2,65,62
151,品川区上大崎2-13,35.634651,139.717880,JGD2011,都道白金台町等々力線(目黒通り),c,2013-10-28,2013-11-01,4,5,5.1,1.2,63,61
152,品川区北品川3-10,35.616417,139.737625,JGD2011,都道環状六号線(山手通り),c,2013-10-28,2013-11-01,4,2,3.9,1.2,69,66
153,品川区西五反田5-3,35.624962,139.716583,JGD2011,都道環状六号線(山手通り),c,2013-10-28,2013-11-01,4,4,3.1,1.2,69,67
154,品川区東大井1-8,35.606415,139.746445,JGD2011,都道鮫洲大山線,c,2013-10-28,2013-11-01,4,2,3.5,1.2,67,62
155,品川区戸越4-8,35.610844,139.718582,JGD2011,都道鮫洲大山線(区役所通り),c,2013-10-28,2013-11-01,4,2,4.5,1.2,61,56
156,品川区平塚3-12,35.613300,139.712585,JGD2011,都道鮫洲大山線,c,2013-10-28,2013-11-01,4,2,8.7,1.2,62,57
157,品川区東品川4-3,35.611004,139.746582,JGD2011,都道東品川下丸子線(池上通り),c,2013-10-28,2013-11-01,4,4,2.7,1.2,68,64
158,品川区南品川5-13,35.608231,139.741135,JGD2011,都道東品川下丸子線(池上通り),c,2013-10-28,2013-11-01,4,2,2.2,1.2,68,66
159,品川区大井6-18,35.595699,139.730331,JGD2011,都道東品川下丸子線(池上通り),b,2013-10-28,2013-11-01,4,2,2.9,1.2,68,65
160,品川区大井1-21,35.606804,139.731628,JGD2011,区道83号,c,2013-10-28,2013-11-01,5,4,4.9,1.2,58,52
161,品川区東品川3-15,35.614147,139.747238,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.3,1.2,71,68
162,品川区北品川2-7,35.618835,139.744110,JGD2011,国道357号,C,2013-10-17,2013-10-18,3,4,4.7,1.2,69,66
163,品川区東五反田5-1,35.632069,139.721039,JGD2011,都道環状6号線(2),C,2013-10-17,2013-10-18,4,4,4,1.2,70,67
164,目黒区目黒2-8地先,35.633884,139.709900,JGD2011,都道白金台町等々力線（目黒通り）,C,2014-03-04,2014-03-07,4,4,4,1.2,70,68
165,目黒区碑文谷2－11地先,35.623592,139.686050,JGD2011,都道白金台町等々力線（目黒通り）,C,2014-03-04,2014-03-07,4,5,4.2,1.2,67,66
166,目黒区中根1-25地先,35.614166,139.668488,JGD2011,都道白金台町等々力線（目黒通り）,b,2014-03-04,2014-03-07,4,5,4.3,1.2,72,70
167,目黒区下目黒3-4地先,35.630386,139.708832,JGD2011,都道環状６号線（山手通り）,c,2014-03-04,2014-03-07,4,4,3.5,1.2,73,72
168,目黒区青葉台4－1地先,35.656101,139.691025,JGD2011,都道環状６号線（山手通り）,b,2014-03-04,2014-03-07,4,6,3.3,1.2,69,68
169,目黒区東が丘1-5地先,35.626621,139.671295,JGD2011,都道古川橋二子玉川線（駒沢通り）,a,2014-03-04,2014-03-07,4,2,3,1.2,68,67
170,目黒区東山3-2,35.650620,139.684952,JGD2011,国道246号,C,2013-11-28,2013-11-29,3,8,5.5,1.2,72,73
171,目黒区八雲1-12,35.617100,139.672684,JGD2011,都道白金台町等々力線,B,2013-11-28,2013-11-29,4,6,4.5,1.2,70,69
172,目黒区東山1-1,35.648373,139.692566,JGD2011,都道環状6号線,C,2013-11-28,2013-11-29,4,4,8.5,1.2,70,69
173,目黒区五本木3-18,35.631634,139.685181,JGD2011,都道古川橋二子玉川線,C,2013-11-28,2013-11-29,4,2,3.4,1.2,69,68
174,目黒区目黒本町3-20,35.624226,139.697281,JGD2011,都道鮫洲大山線,B,2013-11-28,2013-11-29,4,2,3.3,1.2,67,65
175,目黒区五本木2-3,35.635952,139.686081,JGD2011,都道鮫洲大山線,A,2013-11-28,2013-11-29,4,2,3.3,1.2,62,60
176,大田区大森中2-1,35.568119,139.730362,JGD2011,国道15号（第一京浜）,c,2013-10-29,2013-11-01,3,4,4.2,2.3,74,72
177,大田区東六郷2-18,35.547951,139.716278,JGD2011,国道15号（第一京浜）,c,2013-10-29,2013-11-01,3,4,4.9,2.2,72,70
178,大田区南馬込5-42,35.585648,139.705750,JGD2011,国道1号（第二京浜）,b,2013-10-29,2013-11-01,3,6,2.4,2.1,73,69
179,大田区池上3-4,35.575981,139.699539,JGD2011,国道1号（第二京浜）,c,2013-10-29,2013-11-01,3,6,2.4,2,74,71
180,大田区南馬込5-42,35.585648,139.705750,JGD2011,国道1号,B,2013-10-30,2013-10-31,3,6,2,2.1,72,68
181,大田区大森中2-1,35.568119,139.730362,JGD2011,国道15号,C,2013-10-30,2013-10-31,3,4,4.2,2.3,73,71
182,大田区西糀谷3-9,35.555283,139.738342,JGD2011,国道131号,C,2013-10-21,2013-10-22,3,6,5,3.3,69,66
183,大田区南馬込2-31,35.588638,139.718979,JGD2011,都道環状7号線,B,2013-10-24,2013-10-25,4,4,3.5,2.4,72,71
184,大田区新蒲田1-14,35.559662,139.709015,JGD2011,都道環状8号線,C,2013-10-21,2013-10-22,4,6,5.8,2.3,69,66
185,大田区南千束3-32,35.599949,139.687881,JGD2011,都道東京丸子横浜線,B,2013-10-17,2013-10-18,4,4,4.2,2.5,70,69
