地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,売場面積（m2）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13222,1322200000,東久留米市,,,東久留米市,450,323,127,4943,90341,107833,142,93,88,68,36,12,6,5
5,13222,1322200100,東久留米市,東久留米市上の原,,東久留米市上の原,2,1,1,50,X,X,-,1,-,-,-,1,-,-
6,13222,1322200101,東久留米市,東久留米市上の原,1丁目,東久留米市上の原1丁目,2,1,1,50,X,X,-,1,-,-,-,1,-,-
6,13222,1322200102,東久留米市,東久留米市上の原,2丁目,東久留米市上の原2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13222,1322200300,東久留米市,東久留米市金山町,,東久留米市金山町,12,5,7,45,649,1409,8,2,1,1,-,-,-,-
6,13222,1322200301,東久留米市,東久留米市金山町,1丁目,東久留米市金山町1丁目,11,4,7,30,X,X,8,2,1,-,-,-,-,-
6,13222,1322200302,東久留米市,東久留米市金山町,2丁目,東久留米市金山町2丁目,1,1,-,15,X,X,-,-,-,1,-,-,-,-
5,13222,1322200900,東久留米市,東久留米市学園町,,東久留米市学園町,8,6,2,47,394,372,4,1,1,1,1,-,-,-
6,13222,1322200901,東久留米市,東久留米市学園町,1丁目,東久留米市学園町1丁目,3,3,-,33,149,110,1,-,-,1,1,-,-,-
6,13222,1322200902,東久留米市,東久留米市学園町,2丁目,東久留米市学園町2丁目,5,3,2,14,245,262,3,1,1,-,-,-,-,-
5,13222,1322201200,東久留米市,東久留米市小山,,東久留米市小山,1,-,1,8,X,X,-,-,1,-,-,-,-,-
6,13222,1322201201,東久留米市,東久留米市小山,1丁目,東久留米市小山1丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201202,東久留米市,東久留米市小山,2丁目,東久留米市小山2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201203,東久留米市,東久留米市小山,3丁目,東久留米市小山3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201204,東久留米市,東久留米市小山,4丁目,東久留米市小山4丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201205,東久留米市,東久留米市小山,5丁目,東久留米市小山5丁目,1,-,1,8,X,X,-,-,1,-,-,-,-,-
5,13222,1322201300,東久留米市,東久留米市幸町,,東久留米市幸町,22,16,6,316,5692,5881,6,3,5,4,2,1,-,1
6,13222,1322201301,東久留米市,東久留米市幸町,1丁目,東久留米市幸町1丁目,3,2,1,12,174,X,1,1,1,-,-,-,-,-
6,13222,1322201302,東久留米市,東久留米市幸町,2丁目,東久留米市幸町2丁目,2,1,1,8,X,-,1,-,1,-,-,-,-,-
6,13222,1322201303,東久留米市,東久留米市幸町,3丁目,東久留米市幸町3丁目,8,5,3,84,1205,901,4,1,-,1,1,1,-,-
6,13222,1322201304,東久留米市,東久留米市幸町,4丁目,東久留米市幸町4丁目,2,2,-,11,X,X,-,1,1,-,-,-,-,-
6,13222,1322201305,東久留米市,東久留米市幸町,5丁目,東久留米市幸町5丁目,7,6,1,201,3732,4624,-,-,2,3,1,-,-,1
5,13222,1322201900,東久留米市,東久留米市下里,,東久留米市下里,34,28,6,300,5463,4591,9,5,8,9,2,-,1,-
6,13222,1322201901,東久留米市,東久留米市下里,1丁目,東久留米市下里1丁目,1,-,1,3,X,X,-,1,-,-,-,-,-,-
6,13222,1322201902,東久留米市,東久留米市下里,2丁目,東久留米市下里2丁目,10,10,-,75,1883,740,2,2,2,3,1,-,-,-
6,13222,1322201903,東久留米市,東久留米市下里,3丁目,東久留米市下里3丁目,8,4,4,21,163,420,6,1,1,-,-,-,-,-
6,13222,1322201904,東久留米市,東久留米市下里,4丁目,東久留米市下里4丁目,3,3,-,49,744,1362,-,-,-,2,1,-,-,-
6,13222,1322201905,東久留米市,東久留米市下里,5丁目,東久留米市下里5丁目,10,9,1,137,2482,1942,1,1,3,4,-,-,1,-
6,13222,1322201906,東久留米市,東久留米市下里,6丁目,東久留米市下里6丁目,1,1,-,7,X,X,-,-,1,-,-,-,-,-
6,13222,1322201907,東久留米市,東久留米市下里,7丁目,東久留米市下里7丁目,1,1,-,8,X,X,-,-,1,-,-,-,-,-
5,13222,1322200700,東久留米市,東久留米市新川町,,東久留米市新川町,8,5,3,45,362,607,2,3,2,1,-,-,-,-
6,13222,1322200701,東久留米市,東久留米市新川町,1丁目,東久留米市新川町1丁目,7,4,3,39,X,X,2,3,1,1,-,-,-,-
6,13222,1322200702,東久留米市,東久留米市新川町,2丁目,東久留米市新川町2丁目,1,1,-,6,X,X,-,-,1,-,-,-,-,-
5,13222,1322200200,東久留米市,東久留米市神宝町,,東久留米市神宝町,7,3,4,30,67,148,5,-,1,1,-,-,-,-
6,13222,1322200201,東久留米市,東久留米市神宝町,1丁目,東久留米市神宝町1丁目,2,-,2,3,X,X,2,-,-,-,-,-,-,-
6,13222,1322200202,東久留米市,東久留米市神宝町,2丁目,東久留米市神宝町2丁目,5,3,2,27,X,X,3,-,1,1,-,-,-,-
5,13222,1322200800,東久留米市,東久留米市浅間町,,東久留米市浅間町,3,1,2,6,38,60,2,1,-,-,-,-,-,-
6,13222,1322200801,東久留米市,東久留米市浅間町,1丁目,東久留米市浅間町1丁目,1,-,1,2,X,X,1,-,-,-,-,-,-,-
6,13222,1322200802,東久留米市,東久留米市浅間町,2丁目,東久留米市浅間町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322200803,東久留米市,東久留米市浅間町,3丁目,東久留米市浅間町3丁目,2,1,1,4,X,X,1,1,-,-,-,-,-,-
5,13222,1322201800,東久留米市,東久留米市滝山,,東久留米市滝山,63,40,23,637,10916,14426,22,15,12,6,4,1,2,1
6,13222,1322201801,東久留米市,東久留米市滝山,1丁目,東久留米市滝山1丁目,3,3,-,20,X,568,-,2,-,1,-,-,-,-
6,13222,1322201802,東久留米市,東久留米市滝山,2丁目,東久留米市滝山2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201803,東久留米市,東久留米市滝山,3丁目,東久留米市滝山3丁目,1,1,-,41,X,-,-,-,-,-,-,1,-,-
6,13222,1322201804,東久留米市,東久留米市滝山,4丁目,東久留米市滝山4丁目,31,21,10,428,7655,11353,9,9,4,4,2,-,2,1
6,13222,1322201805,東久留米市,東久留米市滝山,5丁目,東久留米市滝山5丁目,20,10,10,95,796,1556,11,3,4,1,1,-,-,-
6,13222,1322201806,東久留米市,東久留米市滝山,6丁目,東久留米市滝山6丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201807,東久留米市,東久留米市滝山,7丁目,東久留米市滝山7丁目,8,5,3,53,159,949,2,1,4,-,1,-,-,-
5,13222,1322200500,東久留米市,東久留米市大門町,,東久留米市大門町,5,4,1,41,429,1075,1,1,1,1,1,-,-,-
6,13222,1322200501,東久留米市,東久留米市大門町,1丁目,東久留米市大門町1丁目,5,4,1,41,429,1075,1,1,1,1,1,-,-,-
6,13222,1322200502,東久留米市,東久留米市大門町,2丁目,東久留米市大門町2丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13222,1322201400,東久留米市,東久留米市中央町,,東久留米市中央町,25,9,16,112,1068,1498,14,4,4,2,1,-,-,-
6,13222,1322201401,東久留米市,東久留米市中央町,1丁目,東久留米市中央町1丁目,7,1,6,13,60,273,6,-,1,-,-,-,-,-
6,13222,1322201402,東久留米市,東久留米市中央町,2丁目,東久留米市中央町2丁目,5,2,3,36,361,235,2,1,1,-,1,-,-,-
6,13222,1322201403,東久留米市,東久留米市中央町,3丁目,東久留米市中央町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13222,1322201404,東久留米市,東久留米市中央町,4丁目,東久留米市中央町4丁目,4,3,1,34,286,352,1,-,1,2,-,-,-,-
6,13222,1322201405,東久留米市,東久留米市中央町,5丁目,東久留米市中央町5丁目,5,1,4,10,152,334,4,1,-,-,-,-,-,-
6,13222,1322201406,東久留米市,東久留米市中央町,6丁目,東久留米市中央町6丁目,4,2,2,19,209,304,1,2,1,-,-,-,-,-
5,13222,1322202100,東久留米市,東久留米市野火止,,東久留米市野火止,16,13,3,245,5069,7192,1,4,3,4,2,1,1,-
6,13222,1322202101,東久留米市,東久留米市野火止,1丁目,東久留米市野火止1丁目,14,13,1,240,X,X,-,3,3,4,2,1,1,-
6,13222,1322202102,東久留米市,東久留米市野火止,2丁目,東久留米市野火止2丁目,1,-,1,4,X,X,-,1,-,-,-,-,-,-
6,13222,1322202103,東久留米市,東久留米市野火止,3丁目,東久留米市野火止3丁目,1,-,1,1,X,-,1,-,-,-,-,-,-,-
5,13222,1322202200,東久留米市,東久留米市八幡町,,東久留米市八幡町,12,10,2,96,2753,1394,1,5,2,3,1,-,-,-
6,13222,1322202201,東久留米市,東久留米市八幡町,1丁目,東久留米市八幡町1丁目,2,2,-,30,X,X,-,-,-,2,-,-,-,-
6,13222,1322202202,東久留米市,東久留米市八幡町,2丁目,東久留米市八幡町2丁目,8,6,2,37,428,223,1,5,1,1,-,-,-,-
6,13222,1322202203,東久留米市,東久留米市八幡町,3丁目,東久留米市八幡町3丁目,2,2,-,29,X,X,-,-,1,-,1,-,-,-
