地域階層,地域コード,東京都26町丁目コード,区市町村名称,町丁・大字名,丁目・字名,地域名称,事業所数（事業所）,事業所数／法人（事業所）,事業所数／個人（事業所）,従業者数（人）,年間商品販売額（百万円）,事業所数／従業者2人以下（事業所）,事業所数／従業者3～4人（事業所）,事業所数／従業者5～9人（事業所）,事業所数／従業者10～19人（事業所）,事業所数／従業者20～29人（事業所）,事業所数／従業者30～49人（事業所）,事業所数／従業者50～99人（事業所）,事業所数／従業者100人以上（事業所）
4,13361,1336100000,大島町,,,大島町,13,7,6,36,291,5,7,1,-,-,-,-,-
5,13361,1336100300,大島町,大島町岡田,,大島町岡田,4,2,2,10,X,1,3,-,-,-,-,-,-
5,13361,1336100600,大島町,大島町差木地,,大島町差木地,1,-,1,2,X,1,-,-,-,-,-,-,-
5,13361,1336100400,大島町,大島町泉津,,大島町泉津,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13361,1336100700,大島町,大島町野増,,大島町野増,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13361,1336100500,大島町,大島町波浮港,,大島町波浮港,1,-,1,4,X,-,1,-,-,-,-,-,-
5,13361,1336100100,大島町,大島町元町,,大島町元町,7,5,2,20,134,3,3,1,-,-,-,-,-
6,13361,1336100101,大島町,大島町元町,1丁目,大島町元町1丁目,1,-,1,5,X,-,-,1,-,-,-,-,-
6,13361,1336100102,大島町,大島町元町,2丁目,大島町元町2丁目,4,3,1,10,63,2,2,-,-,-,-,-,-
6,13361,1336100103,大島町,大島町元町,3丁目,大島町元町3丁目,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13361,1336100104,大島町,大島町元町,4丁目,大島町元町4丁目,1,1,-,3,X,-,1,-,-,-,-,-,-
6,13361,1336100191,大島町,大島町元町,（1～4丁目を除く）,大島町元町（1～4丁目を除く）,1,1,-,2,X,1,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
平成26年商業統計調査報告（町丁目別集計）,,,,,,,,,,,,,,,,,,,
第1-1表　町丁目別　卸売業事業所数(法人・個人別）、従業者数、年間商品販売額及び従業者規模別事業所数,,,,,,,,,,,,,,,,,,,
地域階層（4:区市町村　5:町・大字　6:丁目・字）,,,,,,,,,,,,,,,,,,,
