"年度","区分","日々･指定日 男[人]","日々･指定日 女[人]","日々･指定日 合計[人]","在宅・グループ 男[人]","在宅・グループ 女[人]","在宅・グループ 合計[人]","重症心身障害児通所事業 男[人]","重症心身障害児通所事業 女[人]","重症心身障害児通所事業 合計[人]"
"2014","合計","28","16","44","12","7","19","2","6","8"
"2015","合計","35","11","46","18","8","26","5","3","8"
"2016","合計","35","14","49","15","4","19","3","5","8"
"2017","合計","37","11","48","11","10","21","5","4","9"
"2018","０歳児","0","0","0","0","0","0","0","0","0"
"2018","１歳児","0","0","0","2","2","4","0","0","0"
"2018","２歳児","8","4","12","1","1","2","0","4","4"
"2018","３歳児","12","3","15","0","0","0","2","0","2"
"2018","４歳児","8","4","12","0","0","0","0","1","1"
"2018","５歳児","9","3","12","7","1","8","1","1","2"
"2018","学齢児","0","0","0","10","5","15","0","0","0"
"2018","合計","37","14","51","20","9","29","3","6","9"

"令和元年度港区行政資料集　障害保健福祉センター心身障害児通園施設登録児数","Ver201903",,,,,,,,,
