平成(年度),東京都／処方せん(千枚),東京都／分業率(%),全国／処方せん(千枚),全国／分業率(%)
元,23693 ,19.9,136997,11.3
5,35699 ,28.5,201494,15.8
6,40271 ,31.4,235013,18
7,44189 ,34.1,265078,20.3
8,48332 ,37.2,296431,22.5
9,52508 ,41,337821,26
10,59020 ,45.4,400061,30.5
11,63871 ,49.3,455369,34.8
12,68537 ,53.3,506203,39.5
13,72992 ,57.9,559596,44.5
14,74514 ,61.7,584615,48.8
15,75055 ,63.7,598121,51.6
16,77113 ,65.4,618889,53.8
17,80036 ,65.2,645075,54.1
18,81540 ,66.4,660833,55.8
19,84066 ,67.6,683750,57.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
