"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","後期高齢者医療保険料","3502530","60.9","3503570","62.1"
"2021","使用料及び手数料",,,"1","0.0"
"2021","繰入金","2129979","37.0","1938137","34.3"
"2021","繰越金","1","0.0","80337","1.4"
"2021","諸収入","121740","2.1","121740","2.2"
"2021","歳入合計","5754250","100.0","5643785","100.0"
"2022","後期高齢者医療保険料","3837859","62.2",,
"2022","使用料及び手数料","1","0.0",,
"2022","繰入金","2211088","35.9",,
"2022","繰越金","1","0.0",,
"2022","諸収入","116477","1.9",,
"2022","歳入合計","6165426","100.0",,

"令和4年度港区行政資料集　後期高齢者医療会計歳入予算","Ver202203",,,,
