区分,いつも守っている構成比(%),だいたい守っている構成比(%),あまり守っていない構成比(%),ほとんど守っていない構成比(%),無回答構成比(%)
(1)道路交通法上、自転車は軽車両であり、原則、車道の左側を通行しなければならない,25,47.2,17.1,6.5,4.2
(2)信号の遵守、一時停止場所での停止、安全確認を行い走行しなければならない,31.9,52.8,10.6,0.4,3.2
(3)自転車が歩道を通行する場合は、歩行者を優先させ、歩道の車道寄りを徐行しなければならない,32.9,49.1,11.1,1.4,5.6
(4)自転車も車同様、飲酒運転をしてはならない,67.1,22.7,3.2,0.5,6.5
(5)夜間はライトを点灯しなければならない,80.1,10.6,3.2,1.4,4.6
(6)携帯電話を使用したり、傘差し運転をしてはならない,54.2,29.2,10.2,1.9,4.6
(7)イヤホンで音楽を聴く等により、安全運転に必要な音が聞こえない状態で運転してはならない,70.4,17.6,5.6,0.9,5.6
(8)自転車同士は並んで走ってはいけない,59.7,28.7,5.6,0.9,5.1
(9)13歳未満の子どもの保護者は、子どもに乗車用のヘルメットをかぶらせるよう努めなければならない,50.5,13,7.4,9.3,19.9
(10)ブレーキを備えていない自転車を道路で運転してはならない,87,6,0.5,0.5,6.5
(11)二人乗りをしてはならない,75.5,13.4,2.8,0.9,7.4
