区分,ｎ(団体数),問１５居住する地域で不安を感じる行為や状況について／街頭での勧誘活動(%),問１５居住する地域で不安を感じる行為や状況について／暴走族による危険な行為や騒音(%),問１５居住する地域で不安を感じる行為や状況について／少年の横暴な行動・非行行為(%),問１５居住する地域で不安を感じる行為や状況について／ゴミの散乱・落書きなどの行為(%),問１５居住する地域で不安を感じる行為や状況について／見知らぬ人をよく見かける(%),問１５居住する地域で不安を感じる行為や状況について／子供が見知らぬ人に声をかけられる(%),問１５居住する地域で不安を感じる行為や状況について／近所にどのような人が住んでいるかわからない(%),問１５居住する地域で不安を感じる行為や状況について／特になし(%),問１５居住する地域で不安を感じる行為や状況について／その他(%),問１５居住する地域で不安を感じる行為や状況について／無回答(%)
全体,1034,11.6,15.7,17.3,42.6,8.3,13.8,26.1,22,6,7.7
区市町村／千代田区,13,38.5,0,15.4,46.2,15.4,7.7,23.1,23.1,0,15.4
区市町村／中央区,6,0,0,0,16.7,16.7,0,50,33.3,0,16.7
区市町村／港区,13,7.7,7.7,7.7,38.5,7.7,7.7,30.8,30.8,0,7.7
区市町村／新宿区,17,35.3,0,11.8,47.1,5.9,5.9,23.5,17.6,17.6,11.8
区市町村／文京区,25,8,8,4,12,8,8,24,44,12,0
区市町村／台東区,16,25,12.5,0,37.5,12.5,6.3,25,12.5,6.3,6.3
区市町村／墨田区,37,13.5,18.9,21.6,29.7,2.7,10.8,32.4,32.4,2.7,2.7
区市町村／江東区,49,20.4,30.6,24.5,44.9,12.2,8.2,18.4,24.5,6.1,10.2
区市町村／品川区,27,3.7,7.4,11.1,33.3,11.1,18.5,55.6,18.5,7.4,3.7
区市町村／目黒区,7,0,14.3,14.3,85.7,14.3,28.6,28.6,0,14.3,0
区市町村／大田区,53,18.9,22.6,15.1,54.7,5.7,24.5,22.6,18.9,7.5,7.5
区市町村／世田谷区,44,6.8,13.6,6.8,52.3,0,22.7,34.1,15.9,2.3,6.8
区市町村／渋谷区,24,25,12.5,16.7,70.8,16.7,12.5,25,4.2,8.3,8.3
区市町村／中野区,32,6.3,18.8,12.5,53.1,9.4,0,21.9,21.9,9.4,9.4
区市町村／杉並区,75,5.3,2.7,8,41.3,8,16,20,25.3,12,5.3
区市町村／豊島区,12,25,0,8.3,50,0,16.7,41.7,16.7,8.3,0
区市町村／北区,10,30,30,30,70,30,30,40,0,10,10
区市町村／荒川区,26,7.7,11.5,19.2,38.5,7.7,7.7,30.8,26.9,7.7,15.4
区市町村／板橋区,46,6.5,2.2,4.3,34.8,4.3,8.7,32.6,30.4,4.3,10.9
区市町村／練馬区,22,4.5,0,18.2,40.9,4.5,22.7,54.5,13.6,9.1,18.2
区市町村／足立区,65,3.1,20,33.8,49.2,10.8,9.2,27.7,27.7,3.1,4.6
区市町村／葛飾区,17,0,5.9,23.5,70.6,0,5.9,35.3,11.8,5.9,17.6
区市町村／江戸川区,18,27.8,27.8,33.3,22.2,11.1,22.2,27.8,5.6,5.6,0
区市町村／八王子市,46,17.4,19.6,6.5,32.6,6.5,8.7,15.2,26.1,6.5,6.5
区市町村／立川市,17,41.2,29.4,41.2,41.2,17.6,35.3,47.1,17.6,5.9,0
区市町村／武蔵野市,12,16.7,8.3,16.7,33.3,0,16.7,8.3,33.3,0,0
区市町村／三鷹市,5,0,0,20,60,0,0,60,20,0,0
区市町村／青梅市,17,5.9,35.3,11.8,35.3,0,17.6,11.8,29.4,0,5.9
区市町村／府中市,21,4.8,23.8,9.5,47.6,9.5,4.8,19,19,14.3,9.5
区市町村／昭島市,17,5.9,17.6,23.5,35.3,0,17.6,23.5,23.5,5.9,5.9
区市町村／調布市,19,10.5,15.8,10.5,26.3,10.5,26.3,21.1,26.3,5.3,21.1
区市町村／町田市,60,16.7,28.3,26.7,51.7,8.3,10,20,16.7,1.7,6.7
区市町村／小金井市,10,0,20,10,40,0,10,30,20,0,10
区市町村／小平市,4,0,0,0,0,0,25,25,25,25,0
区市町村／日野市,3,0,66.7,66.7,100,33.3,66.7,33.3,0,0,0
区市町村／東村山市,24,12.5,8.3,33.3,41.7,29.2,29.2,16.7,29.2,0,4.2
区市町村／国分寺市,5,0,20,20,40,20,20,40,0,20,40
区市町村／国立市,2,0,50,50,0,0,0,50,0,0,0
区市町村／福生市,11,9.1,0,27.3,100,0,0,18.2,0,0,0
区市町村／狛江市,2,0,0,0,0,0,0,0,0,0,100
区市町村／東大和市,15,0,6.7,26.7,53.3,6.7,26.7,6.7,6.7,6.7,20
区市町村／清瀬市,10,10,30,60,60,20,0,20,10,0,10
区市町村／東久留米市,1,0,0,0,0,0,100,0,0,0,0
区市町村／武蔵村山市,10,0,30,40,30,10,10,30,10,0,0
区市町村／多摩市,6,0,0,0,16.7,16.7,33.3,50,33.3,0,0
区市町村／稲城市,13,7.7,23.1,0,30.8,15.4,7.7,38.5,23.1,7.7,0
区市町村／羽村市,3,66.7,0,0,33.3,0,33.3,33.3,0,0,33.3
区市町村／あきる野市,21,0,23.8,19,19,4.8,19,14.3,23.8,4.8,9.5
区市町村／西東京市,4,0,0,0,0,0,25,50,25,50,25
区市町村／瑞穂町,5,0,20,40,60,0,0,0,20,0,0
区市町村／日の出町,16,12.5,25,12.5,18.8,6.3,0,6.3,50,0,6.3
区市町村／檜原村,1,0,0,0,0,0,0,0,100,0,0
