区分,No,項目,被疑者（65歳未満）(%),被疑者（65歳以上）(%),一般（65歳以上）(%),被疑者間,高齢者間
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,1,家族や親しい友人と交流すること,69.6,65.5,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,2,収入と収支のバランスを取ること,49.3,38.2,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,3,部屋を清潔に保つこと,39.1,52.7,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,4,自分の好きな絵や置物で部屋を飾ること,14.5,30.9,／,p<0.05,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,5,適度な運動をすること,33.3,60,／,p<0.01,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,6,近所を含め社会との関わりをもつこと,30.4,27.3,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,7,趣味や勉強をすること,33.3,36.4,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,8,心の安定を保つこと（ストレスに振り回されないこと）,59.4,52.7,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,9,その他,2.9,0,／,,-
あなたが、これからの生活で大事にしてゆきたいことは何ですか。（○はいくつでも）,10,特になし,7.2,9.1,／,,-
