区市町村,放置禁止区域（駅名）
千代田区,飯田橋、秋葉原、市ヶ谷、神田、水道橋、御茶ノ水、四ツ谷、九段下、岩本町、大手町
中央区,築地、新富町、月島、浜町、築地市場、勝どき、八丁堀、人形町、東京（八重洲口）
港区,田町（東口・西口）、品川（港南口・高輪口）、白金高輪、浜松町、青山一丁目駅周辺（南青山一丁目1番及び2番）、芝浦ふ頭駅周辺（海岸三丁目19番、22番及び23番の一部）、六本木、表参道、麻布十番、赤坂見附、新橋、広尾
新宿区,新大久保、曙橋、新宿、信濃町、高田馬場、市ヶ谷、大久保、新宿三丁目、早稲田、西新宿五丁目、神楽坂、落合南長崎、飯田橋、新宿御苑前、都庁前、中井、若松河田、牛込柳町、落合、下落合、四ツ谷、四谷三丁目、西武新宿、初台、新宿西口、東新宿、国立競技場、都電早稲田、牛込神楽坂、西新宿
文京区,後楽園、東大前、根津、茗荷谷、護国寺、江戸川橋、本郷三丁目、千駄木、本駒込、春日、駒込、白山、千石、巣鴨、新大塚、水道橋、飯田橋
台東区,鶯谷、御徒町、浅草橋、三ノ輪、浅草、入谷、上野、日暮里、新御徒町、蔵前、浅草（つくばエクスプレス）、稲荷町
墨田区,押上、小村井、鐘ヶ淵、菊川、錦糸町、京成曳舟、とうきょうスカイツリー、東あずま、東向島、曳舟、本所吾妻橋、森下、八広、両国
江東区,亀戸、東陽町、西大島、辰巳、大島、東大島、住吉、潮見、新木場、南砂町、門前仲町、木場、東雲、森下、清澄白河、越中島、豊洲、東京テレポート、亀戸水神、有明テニスの森
品川区,大井町、荏原町、大崎、戸越公園、不動前、青物横丁、立会川、戸越、中延、武蔵小山、新馬場、旗の台、五反田、大森、西大井、西小山、大井競馬場前、荏原中延、下神明、戸越銀座、目黒、天王洲アイル、品川シーサイド
目黒区,池尻大橋、都立大学、緑が丘、洗足、祐天寺、学芸大学、中目黒、駒場東大前、自由が丘、大岡山、西小山、武蔵小山、目黒
大田区,大森、蒲田、田園調布、大岡山、石川台、長原、平和島、京急蒲田、矢口渡、池上、千鳥町、馬込、穴守稲荷、天空橋、武蔵新田、西馬込、多摩川、下丸子、糀谷、蓮沼、久が原、大鳥居、梅屋敷、昭和島、北千束、御嶽山、雪が谷大塚、六郷土手、雑色、大森町、洗足池、沼部、鵜の木、大森海岸
世田谷区,駒沢大学、成城学園前、下北沢、桜新町、千歳烏山、豪徳寺、用賀、経堂、喜多見、等々力、池尻大橋、三軒茶屋、祖師ヶ谷大蔵、千歳船橋、梅ヶ丘、二子玉川、尾山台、八幡山、下高井戸、桜上水、九品仏、明大前、上北沢、芦花公園、上野毛、東松原、松原、池ノ上、代田橋、奥沢、新代田、自由が丘、上町、世田谷代田、世田谷
渋谷区,渋谷、恵比寿、笹塚、幡ヶ谷、初台（北口・南口）、参宮橋、代々木、千駄ヶ谷、代々木上原、代々木八幡・代々木公園、原宿、広尾、新宿（南口）、西新宿五丁目
中野区,中野、鷺ノ宮、富士見台、沼袋、新江古田、都立家政、落合、東中野、中野坂上、中野新橋、中野富士見町、野方、新井薬師前、新中野
杉並区,阿佐ヶ谷、荻窪、西荻窪、上井草、井荻、久我山、富士見ヶ丘、高井戸、西永福、東高円寺、新高円寺、南阿佐ヶ谷、高円寺、下井草、八幡山、方南町、永福町、代田橋、浜田山、桜上水、下高井戸、中野富士見町
豊島区,池袋(東口・西口)、東長崎、要町、椎名町、千川、駒込、落合南長崎、西巣鴨、巣鴨、目白、高田馬場、下板橋、東池袋、板橋、雑司が谷、大塚、新大塚
北区,赤羽、王子、北赤羽、浮間舟渡、十条、東十条、田端、駒込、尾久、上中里、赤羽岩淵、志茂、王子神谷、板橋、西巣鴨、西ヶ原
