区分,ｎ(団体数),問１７体感治安に不安を感じる社会的背景について／近所に話をできる人がいない(%),問１７体感治安に不安を感じる社会的背景について／人情味が乏しくなった(%),問１７体感治安に不安を感じる社会的背景について／価値観の多様化(%),問１７体感治安に不安を感じる社会的背景について／若者の規範意識の低下(%),問１７体感治安に不安を感じる社会的背景について／法律に違反しなければ何をやってもよい、という自由主義的な風潮(%),問１７体感治安に不安を感じる社会的背景について／経済的な格差社会の拡大(%),問１７体感治安に不安を感じる社会的背景について／不安定な雇用情勢(%),問１７体感治安に不安を感じる社会的背景について／年金問題など高齢化社会への不安(%),問１７体感治安に不安を感じる社会的背景について／メディア社会・ネットワーク社会への不安(%),問１７体感治安に不安を感じる社会的背景について／特に感じていない(%),問１７体感治安に不安を感じる社会的背景について／その他(%),問１７体感治安に不安を感じる社会的背景について／無回答(%)
全体,1034,7,38.7,36,42.3,40.8,24.1,32.8,36.9,26.9,4.5,2.6,5.8
区市町村／千代田区,13,0,46.2,46.2,38.5,61.5,38.5,46.2,38.5,38.5,0,0,0
区市町村／中央区,6,0,16.7,50,66.7,16.7,0,16.7,33.3,66.7,0,0,0
区市町村／港区,13,7.7,38.5,15.4,30.8,46.2,23.1,23.1,23.1,30.8,7.7,7.7,7.7
区市町村／新宿区,17,11.8,29.4,47.1,29.4,35.3,47.1,47.1,52.9,29.4,0,0,5.9
区市町村／文京区,25,8,32,28,36,36,32,32,28,36,12,4,0
区市町村／台東区,16,0,25,43.8,43.8,31.3,6.3,25,31.3,25,0,6.3,12.5
区市町村／墨田区,37,5.4,40.5,24.3,37.8,37.8,18.9,21.6,40.5,27,13.5,0,2.7
区市町村／江東区,49,2,34.7,36.7,57.1,38.8,28.6,40.8,44.9,32.7,0,0,4.1
区市町村／品川区,27,7.4,44.4,55.6,63,40.7,3.7,14.8,37,22.2,0,3.7,11.1
区市町村／目黒区,7,0,42.9,28.6,0,28.6,28.6,42.9,28.6,0,14.3,0,14.3
区市町村／大田区,53,15.1,32.1,45.3,43.4,47.2,28.3,34,34,28.3,1.9,5.7,5.7
