区分,ｎ(団体数),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／登下校中の時間帯に、通学路に立った安全確保や声かけ活動(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／パトロール中の子供たちへの声かけ活動(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／子供たちを対象とした防犯講習会等の実施(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／子供たちを対象とした地域安全マップの作製(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／子供たちを対象としたイベント等の実施(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／見守り活動を行っていない(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／その他(%),問７子供たちの安全確保や健全な育成のための見守り活動を行っている内容／無回答(%)
全体,1034,50.3,58.7,5.6,10.8,25.4,13.5,9.2,7.4
区市町村／千代田区,13,38.5,46.2,7.7,7.7,15.4,23.1,0,15.4
区市町村／中央区,6,16.7,50,0,0,0,33.3,16.7,0
区市町村／港区,13,23.1,53.8,0,7.7,7.7,7.7,23.1,15.4
区市町村／新宿区,17,29.4,17.6,0,11.8,23.5,35.3,11.8,5.9
区市町村／文京区,25,36,60,8,12,36,8,4,8
区市町村／台東区,16,50,12.5,12.5,18.8,12.5,18.8,6.3,12.5
区市町村／墨田区,37,40.5,48.6,5.4,24.3,21.6,21.6,5.4,8.1
区市町村／江東区,49,59.2,71.4,8.2,18.4,30.6,8.2,4.1,4.1
区市町村／品川区,27,74.1,66.7,3.7,7.4,29.6,14.8,11.1,7.4
区市町村／目黒区,7,14.3,28.6,0,0,42.9,28.6,14.3,14.3
区市町村／大田区,53,52.8,67.9,5.7,7.5,28.3,3.8,7.5,7.5
区市町村／世田谷区,44,56.8,68.2,2.3,6.8,22.7,13.6,4.5,4.5
区市町村／渋谷区,24,33.3,54.2,4.2,8.3,16.7,29.2,12.5,8.3
区市町村／中野区,32,37.5,53.1,9.4,15.6,34.4,21.9,18.8,6.3
区市町村／杉並区,75,46.7,62.7,6.7,13.3,17.3,16,8,6.7
区市町村／豊島区,12,50,83.3,8.3,16.7,33.3,8.3,16.7,0
区市町村／北区,10,50,90,10,10,40,10,20,0
区市町村／荒川区,26,65.4,57.7,7.7,7.7,23.1,11.5,0,11.5
区市町村／板橋区,46,76.1,56.5,6.5,4.3,41.3,10.9,6.5,6.5
区市町村／練馬区,22,59.1,72.7,4.5,13.6,18.2,4.5,18.2,13.6
区市町村／足立区,65,46.2,52.3,4.6,7.7,26.2,12.3,6.2,9.2
区市町村／葛飾区,17,35.3,41.2,5.9,5.9,17.6,17.6,11.8,35.3
区市町村／江戸川区,18,61.1,72.2,5.6,11.1,22.2,11.1,5.6,5.6
区市町村／八王子市,46,52.2,56.5,4.3,4.3,28.3,8.7,10.9,6.5
区市町村／立川市,17,58.8,52.9,0,35.3,17.6,5.9,11.8,5.9
区市町村／武蔵野市,12,58.3,58.3,8.3,8.3,25,16.7,8.3,0
区市町村／三鷹市,5,80,60,0,40,40,0,0,20
区市町村／青梅市,17,47.1,70.6,17.6,17.6,29.4,0,11.8,5.9
区市町村／府中市,21,52.4,52.4,0,14.3,38.1,19,4.8,9.5
区市町村／昭島市,17,58.8,47.1,0,5.9,29.4,17.6,0,5.9
区市町村／調布市,19,26.3,42.1,0,15.8,15.8,21.1,10.5,21.1
区市町村／町田市,60,51.7,60,0,5,38.3,10,13.3,1.7
区市町村／小金井市,10,30,70,10,20,0,20,20,0
区市町村／小平市,4,25,25,0,0,25,25,0,0
区市町村／日野市,3,100,66.7,66.7,0,33.3,0,0,0
区市町村／東村山市,24,58.3,75,12.5,16.7,16.7,16.7,16.7,0
区市町村／国分寺市,5,40,80,20,20,0,0,20,20
区市町村／国立市,2,50,100,0,0,0,0,50,0
区市町村／福生市,11,45.5,45.5,0,9.1,36.4,18.2,0,0
区市町村／狛江市,2,100,50,100,0,50,0,0,0
区市町村／東大和市,15,46.7,40,13.3,13.3,40,33.3,13.3,0
区市町村／清瀬市,10,50,80,10,20,20,0,0,0
区市町村／東久留米市,1,100,100,0,0,100,0,0,0
区市町村／武蔵村山市,10,70,80,0,0,20,10,0,0
区市町村／多摩市,6,16.7,50,0,0,33.3,0,16.7,16.7
区市町村／稲城市,13,69.2,69.2,7.7,0,0,7.7,30.8,0
区市町村／羽村市,3,100,100,0,33.3,0,33.3,0,0
区市町村／あきる野市,21,47.6,57.1,4.8,9.5,19,9.5,9.5,14.3
区市町村／西東京市,4,75,75,0,25,0,0,25,25
区市町村／瑞穂町,5,40,40,0,0,20,20,0,20
区市町村／日の出町,16,25,56.3,0,0,18.8,18.8,6.3,6.3
区市町村／檜原村,1,0,100,0,0,0,0,0,0
