名称,代表者役職,代表者氏名,〒,所在地,電話,ＦＡＸ,構成,活動
(一社)ガールスカウト東京都連盟,連盟長,山下　眞帆,〒169-0075,新宿区高田馬場４－４－18工藤ビル301,(5937)1975,(5937)1976,95ヶ団、3，300人（少女1，650人・成人1，650人）,"世界146ケ国1，000万人以上に広がる""少女と若い女性のための""社会教育運動として、野外活動、国際理解・環境・平和及び開発教育活動や奉仕活動などを通して、少女や若い女性が自らの可能性を伸ばしながら、自信を持ち平和に役立つ世界市民となることを目標としている。"
ＳＹＤ青年部((公財)修養団),理事長,御手洗　康,〒151-0051,渋谷区千駄ヶ谷４－25－２,(3405)5441,(3405)5424,,SYD（公益財団法人修養団）は、「愛（親和）と汗（努力）」を行動指針として、《幸せの種まき運動》を展開している社会教育団体で、明治39年（1906年）、蓮沼門三を中心とする東京府師範学校（現在の東京学芸大学）の学生たちが、校内美化・校風改善に取り組んだことが契機となり、創立された。現在「みんなでまこう！幸せの種」をスローガンに、青少年を心豊かに育てる活動を柱に、子ども自然体験キャンプ、東日本大震災被災地訪問青少年ふれあいボランティア、青年ボランティア・アクションinフィリピン、幸せの種まきキャンペーン（出前講座）他、多彩な公益事業を展開している。E-mail：info@syd.or.jp 　https://syd.or.jp
主婦連合会,会長,有田　芳子,〒102-0085,千代田区六番町15主婦会館３階,(3265)8121,(3221)7864,全国組織の連合体（20団体、65個人）,消費者の権利を守り、生活情報の交流・啓発など巾広い活動を展開しています。機関紙・主婦連たよりを発行（月刊）ホームページアドレス　http://shufuren.net
(特定非営利活動法人)東京少年少女センター,理事長,神代　洋一,〒151-0053,渋谷区代々木２－44－11 オフィスホワイトバーチ１Ｆ,(3379)7479,(3379)7027,地域センター７、正会員120人、子ども会少年団30団、子ども1，000人,「ひとりぼっちの子をなくす」「地域に豊かな生活をつくる」ことを目標に、子どもたちが主人公の子ども組織の活動を援助する。ホームページアドレス　http://www.children.ne.jp/
(特定非営利活動法人)全日本鼓笛バンド・フォームバトン連盟,理事長,新宅　照子,〒180-0002,武蔵野市吉祥寺東町１－23－33,0422(21)9928,0422(21)9928,,鼓笛音楽活動を通じて、青少年の健全で明るく情操豊かな人格育成を目的として、公益奉仕活動と、中立で不偏、創造性と個性のある生活文化活動を行う。E-mailshintaku@koteki.com
（公社）「小さな親切」運動本部,代表,鈴木　恒夫,〒101-0061,千代田区神田三崎町２－20－４,(3263)2866,(3263)3838,会員約19万人。33道府県本部、139市町村支部（全国の青少年、一般、企業、その他諸団体）,人には親切にを基本理念に、心のかようあたたかな地域社会づくりにむけ各種事業を展開。「できる親切はみんなでしよう、それが社会の習慣となるように」がスローガン。
（一社）東京工業団体連合会,会長,舟久保利明,〒104-0061,中央区銀座２－10－18 東京都中小企業会館５Ｆ,(3546)2525,(3546)2853,33団体,企業経営の調査・研究、資料収集、機関紙の発行、福利共済事業、産業・雇用政策に対する協力等。
東京更生保護女性連盟,会長,茂呂　絹枝,〒100-0013,千代田区霞が関１－１－１東京保護観察所内,(3597)0123,(5511)7220,約12，100名,女性としての立場から犯罪予防と犯罪や非行に陥った人の更生に協力することを目的としたボランティア団体です。ミニ集会による犯罪予防活動、保護司・更生保護法人（更生保護施設）保護観察を受けている人に対する援助活動・刑務所や少年院の訪問活動、地域における子育て支援活動など多面的な活動を行っています。
東京消防少年団連盟,会長,金井　泰子,〒100-8119,千代田区大手町１－３－５ 公益財団法人東京連合防火協会気付,080(2074)0119,(3213)1478,80団体、6，346人（青少年4，494人・指導者1，852人）,団体活動を通して、防火防災に関する学習や社会奉仕活動を行い、人間性豊かな少年少女を育成する。
東京私立初等学校協会,会　長,小泉　清裕,〒102-0073,千代田区九段北４－２－25私学会館別館,(3261)2934,(3261)3003,54校（都内私立小学校）,初等教育・学校運営の調査・研究、教職員の研修、日本私立小学校連合会との連絡提携、私立学校教育振興等。
東京都私立幼稚園連合会,会長,友松　浩志,〒102-0073,千代田区九段北４－２－25私学会館別館３階,(3262)3666,(3264)6195,792園（都内私立幼稚園）,幼児教育の振興・調査研究、私立幼稚園の管理運営に関する調査研究、教職員の資質向上等。
（公社）東京青年会議所,理事長,石川　和孝,〒102-0093,千代田区平河町２－14－３－２Ｆ,(5276)6161,(5276)6160,正会員数746人（8月現在）（25歳以上40歳未満で都内在勤又は在住の青年経済人）,昭和24年９月３日設立。社会への奉仕、自己修練、世界各国の青年らとの交流を基本に活動している。明るい豊かな社会の実現を理念として、主に地域の小学生を対象にしたわんぱく相撲大会、各種選挙前の立候補予定者を集めた公開討論会など地域に根差した様々な運動を興し、常に次代の指導者育成に取り組んでいます。
東京都公立高等学校ＰＴＡ連合会,会長,池本　義信,〒167-0052,杉並区南荻窪４－29－10田丸ビル205,(5941)5067,(5941)5068,加盟校74校、52，000名,ＰＴＡの健全な発展と青少年の健全育成につとめる。単位ＰＴＡ・地区ＰＴＡの相互間の連絡連携を密にして、高等学校教育の振興に寄与することを目的に活動を強化していく。また教育行政に関する情報の提供と会員相互の研鑚につとめ、生徒たちのために社会において意義ある活動を推進していく。
東京都公立中学校ＰＴＡ協議会,会長,井門　明洋,〒116-0013,荒川区西日暮里１－５－２,(6806)6736,(6806)6738,173校,青少年の健全育成及び会員の資質向上をめざす。研修活動・調査活動・広報活動の他、環境浄化活動等の実践活動。・各単位ＰＴＡ・地区Ｐ連と協力し、学校・家庭・地域社会の連携を強化し、行政や関係諸機関への働きかけの一層の充実に努める。・共通課題の解決にむけて、都教委等への要望活動の充実に努める。
(特定非営利活動法人)東京都子ども会連合会,理事長,齋藤　　武,〒112-0012,文京区大塚６－１－14 全国子ども会ビル４階,(3946)2340,(3946)2341,800団体、78，000人,都内子ども会組織の情報交換及び連絡提携、都内の子ども会の啓発、ジュニアリーダーの養成、全都子ども会研究大会、調査研究、研修会、資料の作成配布など。
（社福）東京都社会福祉協議会,会長,青山　?,〒162-8953,新宿区神楽河岸１－１セントラルプラザ内,(3268)7171,(3268)7433,団体会員4，923団体（社会福祉施設・団体等）,都内の地域福祉・施設福祉推進調査研究、啓発活動、ボランティア・市民活動推進、研修、地域福祉権利擁護事業、福祉人材情報提供、福祉従事者福利厚生事業など。
