区分,ｎ(団体数),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／暴行・傷害(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自宅等に入る空き巣(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／すり・ひったくり(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自転車などの盗難(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／自動車内の物などの盗難(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／痴漢(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／振り込め詐欺や悪徳商法詐欺(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／落書きされたり、壊されたりする(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／敷地内に無断で侵入される(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／子供に対する犯罪(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／つきまとわれたり、覗かれたりする(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／特に感じない(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／その他(%),問１６居住する地域で身近な人が被害に遭うかもしれないと不安に感じる犯罪／無回答(%)
全体,1034,10.8,58.8,42.7,51.8,24.6,25.1,57,22.3,13.5,28.9,7.4,6.3,2,3.9
区市町村／千代田区,13,7.7,23.1,46.2,53.8,38.5,15.4,53.8,46.2,0,15.4,23.1,7.7,0,7.7
区市町村／中央区,6,0,16.7,0,0,0,0,66.7,0,0,33.3,0,0,0,16.7
区市町村／港区,13,15.4,15.4,15.4,38.5,23.1,0,46.2,15.4,7.7,7.7,0,30.8,0,15.4
区市町村／新宿区,17,11.8,58.8,52.9,41.2,5.9,17.6,52.9,52.9,11.8,23.5,0,0,0,0
区市町村／文京区,25,8,60,32,36,4,24,52,8,12,28,4,20,0,0
区市町村／台東区,16,25,62.5,31.3,62.5,43.8,6.3,56.3,18.8,6.3,18.8,6.3,0,0,6.3
区市町村／墨田区,37,5.4,37.8,45.9,45.9,21.6,18.9,51.4,10.8,13.5,24.3,5.4,18.9,2.7,5.4
区市町村／江東区,49,12.2,34.7,36.7,61.2,18.4,26.5,59.2,24.5,16.3,36.7,6.1,2,2,6.1
区市町村／品川区,27,7.4,51.9,59.3,44.4,25.9,25.9,66.7,18.5,18.5,33.3,0,0,3.7,3.7
区市町村／目黒区,7,14.3,42.9,57.1,28.6,14.3,28.6,57.1,42.9,14.3,14.3,14.3,14.3,14.3,0
