区分,構成人数（年代）／合計,構成人数（年代）／10～20歳代(%),構成人数（年代）／30～40歳代(%),構成人数（年代）／50歳代(%),構成人数（年代）／60歳代(%),構成人数（年代）／70歳代以上(%),構成人数（職業）／合計,構成人数（職業）／無職(%),構成人数（職業）／自営業(%),構成人数（職業）／会社員(%),構成人数（職業）／主婦(%),構成人数（職業）／学生(%),構成人数（職業）／その他(%),構成人数（性別）／合計,構成人数（性別）／男性(%),構成人数（性別）／女性(%)
全体,69781,8,17.6,20.1,31.4,23,57469,22.2,15,22.9,28,4.8,7.1,81417,52.8,47.2
区市町村／千代田区,420,-,2.9,15.7,66.4,15,411,1,80.5,13.4,3.6,0.2,1.2,455,82,18
区市町村／中央区,147,-,18.4,10.2,37.4,34,147,24.5,9.5,25.2,32.7,-,8.2,147,52.4,47.6
区市町村／港区,213,-,7.5,24.4,44.1,23.9,116,15.5,25,26.7,18.1,-,14.7,178,48.9,51.1
区市町村／新宿区,352,7.4,12.5,18.2,40.3,21.6,447,23.3,20.1,37.6,17.4,-,1.6,427,65.3,34.7
区市町村／文京区,580,4.3,20.9,24,31.2,19.7,464,18.5,21.8,26.7,31.5,-,1.5,539,54.4,45.6
区市町村／台東区,1550,6.5,22.8,35.6,26.1,9,1252,5,29.9,23.3,36.7,4,1.1,1843,53.5,46.5
区市町村／墨田区,1238,1.5,9,20.6,29.5,39.4,1005,19.6,28.5,23.3,25.2,0.3,3.2,1149,67.2,32.8
区市町村／江東区,7442,5.9,11,25.3,36.6,21.2,9627,14.8,10.3,15.8,26.3,10.6,22.3,9732,50,50
区市町村／品川区,816,0.1,6.3,12.5,29,52.1,635,20.9,18.7,22.7,31.2,-,6.5,4718,55,45
区市町村／目黒区,110,-,19.1,18.2,34.5,28.2,118,25.4,29.7,2.5,33.9,-,8.5,92,45.7,54.3
区市町村／大田区,3210,4.5,27.4,20,29,19.2,3255,12.8,14.4,17.6,50.8,2.4,2.1,3269,43.7,56.3
区市町村／世田谷区,2325,1.6,12.1,24.7,36.5,25,2040,30.1,21.6,20.7,25.4,1.1,1.1,2554,45.1,54.9
区市町村／渋谷区,1658,6.7,21.7,27.6,27.9,16.2,1683,13.8,31.5,12.2,29.1,6.1,7.4,1625,51.3,48.7
区市町村／中野区,1232,4,14.9,15.5,37,28.7,1087,29.9,11.7,18,36,0.5,4,6042,49,51
区市町村／杉並区,2531,0.8,28.7,15.2,30.6,24.7,2114,17,26.4,9.1,44.4,0.2,2.9,2257,45.4,54.6
区市町村／豊島区,450,46.7,6.9,13.3,25.8,7.3,388,5.4,18.3,12.1,9.8,54.1,0.3,445,54.2,45.8
区市町村／北区,215,-,0.9,10.2,32.6,56.3,214,23.4,10.7,6.1,52.8,-,7,204,35.3,64.7
区市町村／荒川区,698,11.2,8,23.2,33.2,24.4,570,14.6,45.8,17.2,11.6,10.4,0.5,870,79.2,20.8
区市町村／板橋区,3062,0.4,13.3,27.3,36.8,22.1,2965,15.4,19.8,32.3,29.1,0.3,3.1,2664,51.1,48.9
区市町村／練馬区,724,2.1,13.3,16.9,33.7,34.1,885,21.9,10.3,38.1,28.4,-,1.4,1094,53.7,46.3
区市町村／足立区,4507,1.8,4.3,28.5,46.4,18.9,3862,37.9,7,11.8,39.5,2.2,1.5,4020,51.3,48.7
区市町村／葛飾区,769,8.2,10.8,10.7,26.7,43.7,753,36.8,7.8,24.8,21.4,8,1.2,690,50.3,49.7
