区分,内容
道路、駐輪場等のインフラ整備41件,自転車専用道路を作ってほしい。自転車や歩行者が安全に移動できる道づくり。有料駐輪場も数が足りていないし、気軽に利用できるような環境であってほしい(スムーズに)。車社会のなかで環境に優しい自転車を普及していく為にも、もっと自転車が走りやすい道を整備してもらいたい。
ルールの徹底21件,ルールをもっとわかりやすくしてほしい。手軽だからこそ、ルールを周知徹底する必要があると思う。ルールそのものを知らなすぎる。指導されたこともないので知らない人が多いと思う。
取り締まり、罰則の強化17件,罰則を自動車並みに設けるべきと思う。交通違反制度の確立。
講習会、安全教育の充実15件,小学生は学校でも安全な自転車の乗り方を指導してもらいたい。自転車を購入又は利用者は一定の講習を義務化するべきです。自動車と同様の点数制にして利用制限の制約化を望みます。
広報啓発活動8件,マナーの面でも、傘をさしてはいけないことや、携帯電話・ウォークマン等を聞きながらの走行不可等、自転車走行者が知らずにマナー違反している事があるように思う。是非、テレビCMや学校・役所等で自転車走行時のマナーに関する告知の機会を、もっと増やしてほしいと思う。
放置自転車7件,自転車の撤去活動に費用と人件費を費やすよりも、放置させない為の対策に費用をかけるべき。
自転車免許制度の導入7件,免許が必要。講習会２時間の後、交付するような制度。
自転車の速度規制7件,高速で走ることの出来る自転車の普通道走行の規制が必要であると思う。もしくは速度規制。
自転車走行時安全対策5件,販売時にサイドミラーを付けて販売すれば良いと思う。
自転車マナー4件,基本マナーを知らない人が多いと思います。自己中の人が多い。
車道走行の危険性4件,日本では、自転車レーンを設けても、危険だと思う。車道は、停車の車などもあり、出て行くのは怖い気がする。
高齢者の運転3件,高齢（50～60）ぐらいの人の運転が乱暴。
法整備3件,歩行者と自転車の優先順位が明確でない。この点をしっかり法整備して欲しい。免許制度、車両管理、検挙など、なんでもいいからやってほしい。レンタルサイクルを利便性や価格の面でもっと手軽に利用できるようになるといい。
盗難対策3件,歩道等に放置されている新しい自転車をよく見かけるが、警察官がもっとナンバーを調べて本人に知らせるべきです。新しい自転車がもったいない。買った人も盗まれて悔しい思いをしています。
自転車事故2件,自転車の事故が多くなっていることはとても気になっている事である。どうしたら事故が減らせるのか、自転車利用する人、ひとりひとりが考えられる取り組みができればいいなと思う。
その他29件,自転車の一般道走行の全面禁止。今、妊娠中なのですが、危ない運転をしている人が多いので気をつけて欲しい。ノーブレーキピストなんて不要なので使用禁止にしてください。
