区分,ｎ(団体数),問１(8)活動を始めたきっかけ／犯罪に対する不安を感じたから(%),問１(8)活動を始めたきっかけ／安心して暮らせる地域にしたいから(%),問１(8)活動を始めたきっかけ／地域のコミュニケーションの機会をつくるため(%),問１(8)活動を始めたきっかけ／他の団体の活動内容を知って(%),問１(8)活動を始めたきっかけ／その他(%),問１(8)活動を始めたきっかけ／無回答(%)
全体,1034,37.6,79.7,40.3,8.2,10.5,3.8
区市町村／千代田区,13,23.1,69.2,53.8,0,30.8,7.7
区市町村／中央区,6,50,83.3,50,16.7,0,0
区市町村／港区,13,38.5,92.3,38.5,7.7,15.4,7.7
区市町村／新宿区,17,17.6,76.5,17.6,0,17.6,0
区市町村／文京区,25,28,76,24,4,20,0
区市町村／台東区,16,31.3,62.5,37.5,6.3,12.5,0
区市町村／墨田区,37,32.4,91.9,43.2,10.8,0,2.7
区市町村／江東区,49,20.4,81.6,40.8,8.2,10.2,4.1
区市町村／品川区,27,40.7,85.2,48.1,7.4,11.1,3.7
区市町村／目黒区,7,57.1,85.7,57.1,14.3,14.3,0
区市町村／大田区,53,52.8,83,45.3,7.5,9.4,0
区市町村／世田谷区,44,36.4,79.5,40.9,6.8,11.4,4.5
区市町村／渋谷区,24,45.8,79.2,41.7,8.3,8.3,0
区市町村／中野区,32,28.1,75,31.3,3.1,9.4,6.3
区市町村／杉並区,75,40,76,36,18.7,18.7,1.3
区市町村／豊島区,12,58.3,75,8.3,25,25,0
区市町村／北区,10,60,80,80,0,10,0
区市町村／荒川区,26,19.2,65.4,34.6,3.8,15.4,11.5
区市町村／板橋区,46,28.3,89.1,56.5,6.5,6.5,2.2
区市町村／練馬区,22,36.4,90.9,59.1,4.5,4.5,4.5
区市町村／足立区,65,30.8,80,49.2,7.7,7.7,3.1
区市町村／葛飾区,17,52.9,76.5,35.3,11.8,5.9,5.9
区市町村／江戸川区,18,50,83.3,50,11.1,5.6,0
区市町村／八王子市,46,45.7,78.3,39.1,13,6.5,6.5
区市町村／立川市,17,52.9,47.1,35.3,11.8,41.2,5.9
区市町村／武蔵野市,12,33.3,83.3,50,0,8.3,0
区市町村／三鷹市,5,40,60,40,20,40,0
区市町村／青梅市,17,52.9,82.4,23.5,5.9,5.9,11.8
区市町村／府中市,21,28.6,76.2,52.4,0,4.8,9.5
区市町村／昭島市,17,23.5,82.4,52.9,5.9,0,0
区市町村／調布市,19,47.4,63.2,21.1,10.5,0,10.5
区市町村／町田市,60,38.3,86.7,41.7,8.3,3.3,0
区市町村／小金井市,10,30,70,10,0,0,20
区市町村／小平市,4,25,25,25,0,25,25
区市町村／日野市,3,66.7,100,33.3,0,0,0
区市町村／東村山市,24,50,87.5,25,0,16.7,0
区市町村／国分寺市,5,20,100,20,0,20,0
区市町村／国立市,2,50,0,0,50,0,50
区市町村／福生市,11,36.4,90.9,63.6,0,0,0
区市町村／狛江市,2,100,100,0,0,50,0
区市町村／東大和市,15,33.3,60,33.3,6.7,26.7,13.3
区市町村／清瀬市,10,40,80,30,10,10,10
区市町村／東久留米市,1,100,100,100,0,0,0
区市町村／武蔵村山市,10,80,90,50,10,10,10
区市町村／多摩市,6,16.7,83.3,50,0,0,0
区市町村／稲城市,13,69.2,84.6,30.8,15.4,7.7,0
区市町村／羽村市,3,33.3,100,33.3,0,33.3,0
区市町村／あきる野市,21,38.1,81,42.9,4.8,9.5,4.8
区市町村／西東京市,4,25,75,50,25,0,0
区市町村／瑞穂町,5,20,80,20,0,0,0
区市町村／日の出町,16,12.5,87.5,31.3,18.8,12.5,6.3
区市町村／檜原村,1,100,100,0,0,0,0
