項目,内容
走りやすさ（歩きやすさ）,・ナビマーク設置前と比べて走り（歩き）やすくなったか
安全性,・ナビマーク設置前と比べて安全性は向上したと思うか
視認性,・ナビマークは見やすいか
自転車のマナー,・ナビマーク設置前と比べて自転車利用者のマナーは向上したか
自動車のマナー,・ナビマークが設置されたことで路上駐車は減ったと思うか
自動車のマナー,・ナビマークが設置されたことで自動車の走行マナーは向上したと思うか
【自転車のみ】ナビマーク設置場所の走行,・ナビマーク設置前の走行場所
【自転車のみ】ナビマーク設置場所の走行,・ナビマークが設置された場所を走行したか
【自転車のみ】ナビマーク設置場所の走行,・走行した場合、しなかった場合それぞれの理由
【自転車以外】ナビマーク設置に伴う変化,・ナビマークが設置されたことでよくなった点
【自転車以外】ナビマーク設置に伴う変化,・ナビマークが設置されたことで悪くなった点
今後の自転車走行空間の整備について,・面的に整備していくべき
今後の自転車走行空間の整備について,・特定の路線を整備していくべき
自由意見,・自転車走行空間整備に向けた自由意見
回答者属性,・年齢、性別、居住地等
