区分,件数（件）,内容
道路、駐輪場等のインフラ未整備,57,自転車専用道路（歩行者、自動車との並走と事故を防ぐ為）が必要。駅・スーパー・学校等・公共施設等の駐輪場の設置を義務づける。自転車レーンの整備等、安全に自転車に乗れるインフラを強化しないと結局、歩道を走るしかなく、危険である。駅周辺の放置自転車の量が異常に多い。→駅周辺（徒歩１分くらい）に駐輪場がない。またはとめられる数が少ない。ヨーロッパの街のように自転車専用道路がないこと。車優先の街づくりが原因。
ルール違反,38,歩道上の違法駐車と運転の徹底したルール守り。左側通行の徹底。年齢を問わず交通ルールを守って運転されていない。注意されることがほとんど無く走行できる為。
自転車マナーの悪さ,33,マナーが悪い人が多い。意識が皆低い。歩道を我が物顔でベルを鳴らしながら走っている人がいる。自転車は便利な乗り物だがやはり運転のマナーが大事だと思う。スピードの出しすぎで人にぶつかりそうになったり、平然とそのあといってしまったり、やはり自動車とは違うと甘く見ている部分があると思う
車道走行の危険性,20,交通量の多い国道等での車道での運転は危険。自動車ドライバーによる威嚇行為
講習会、安全教育の充実,16,携帯を見ながら、かさをさしながら、などのながら運転や危険性をあまり認知していない人が多い。啓蒙活動や教育の機会が少ない。マナーのない者が多過ぎる。しつこいぐらい安全教育をして下さい。
取り締まり、罰則の強化,16,交通法規を守らない人があまりにも多いこと。罰則を強化すべき。歩道で運転中のスピードの出しすぎ、信号無視をしている人が多い。原因は、車と違い、罰金制度がないから。
放置自転車,10,駐輪場以外に放置すること。放置自転車撤去に関して、警察や行政機関でキチンと行わせるべきであると考える。理由は、放置していない自転車まで撤去するからである。前に駅近辺の本屋の駐輪場に自転車を止めたことがあったのだが、わずか数十センチ本屋の駐輪場からはみ出ていた為に撤去された事があった。
危険な乗り物である事の認識の低さ,10,自転車がひとつ間違えれば危ない乗り物だと実感している人が少ない。気軽な乗り物なので加害者になるという意識が低いこと。
利用者のモラルの低さ,8,放置自転車利用者のモラルのなさが原因
自転車の速度超過,8,歩道を猛スピードで通り過ぎる自転車の運転は危険であり不愉快です。
高齢者の運転,6,お年寄りの自転車の運転が乱暴な方が意外と多い。歩行者の脇をすれすれにいきおいよく行かれると、ぶつかりそうで危ない。小さい子どもが歩いている時など、ひやっとすることがある。
車道、歩道のどちらを走るべきかわからない,6,車道と歩道しかないから、なかなか難しい(どちらにも迷惑になってしまう･･･)
歩行者優先の徹底,5,安全第一。狭い道を走るときこそ、歩行者に配慮してほしいです。
広報啓発活動,3,ルール、マナーを守らない利用者が多い。街頭指導。広報啓発活動の強化。
朝混雑時の自転車走行の困難,3,歩行者と同じ歩道を走っている自転車は、通勤時特にぶつかりやすくて危ない。対向となる人や自転車がどちら側を通るにしろ、結局はぶつかりやすいため(人は右側、自転車は左側だと)。
盗難,3,盗難が多すぎて、鍵を二重にしても効果が薄くなっている。保険や置き場所を作ってほしい
自転車免許制度の導入,3,渋滞中の道路で縦横無尽で走る自転車等とにかくルール無視な方が多いということです。小学生のうちに学校の授業で自転車の免許を取ったり、あるいは自治体等でも実施試験～ペーパーテストを行い、自転車免許制度をしていただきたいと思います。
警察官の意識改革,3,歩道を警察官が併走。話をしながら･･･どうかと思う。先ずは警察官の意識改革が必要。
その他,36,スポーツバイクとシティサイクルは分けて考えるべきではないか。スポーツバイク→保険、ヘルメット義務化、シティサイクル→廃棄費用前払い。
運動能力の自覚,,利用の手軽さに対して、交通ルールがバランスが取れていなく、認識も甘いこと。国主導での指導が必要と思う。
