区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,1,妻・夫・パートナー,21.1,30.9,65.6,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,2,その他の家族,36.6,23.6,54.8,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,3,友人・知人,56.3,29.1,61.3,p<0.01,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,4,医者・ケアマネージャーなどの専門家,4.2,7.3,6.4,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,5,誰もいない,19.7,29.1,1.6,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,1,妻・夫・パートナー,22.9,24.1,62,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,2,その他の家族,28.6,27.8,55.4,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,3,友人・知人,45.7,25.9,49.3,p<0.05,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,4,医者・ケアマネージャーなどの専門家,7.1,11.1,6.7,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,5,誰もいない,26.4,25,2.1,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,1,妻・夫・パートナー,22.7,20.4,58.8,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,2,その他の家族,19.7,16.7,15.4,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,3,友人・知人,6.1,1.9,0.2,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,4,医者・ケアマネージャーなどの専門家,3,0,0.1,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,5,誰もいない,47.2,60.7,23.7,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,1,妻・夫・パートナー,9.8,9.1,48.9,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,2,その他の家族,26.2,18.2,30.9,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,3,友人・知人,19.7,5.5,4.6,p<0.05,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,4,医者・ケアマネージャーなどの専門家,3.3,1.8,0.1,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,5,誰もいない,41.7,66.1,19.1,p<0.05,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,1,妻・夫・パートナー,22.2,20,64.6,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,2,その他の家族,34.9,27.3,53.3,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,3,友人・知人,9.5,3.6,4.3,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,4,医者・ケアマネージャーなどの専門家,0,10.9,7.2,p<0.01,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,5,誰もいない,38.9,39.3,6,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,1,妻・夫・パートナー,23.9,35.2,64.2,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,2,その他の家族,40.3,27.8,58.5,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,3,友人・知人,34.3,18.5,38.6,,p<0.05
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,4,医者・ケアマネージャーなどの専門家,6,3.7,4,,
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,5,誰もいない,22.4,29.6,4,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（7）必要な情報を教えてくれる,1,妻・夫・パートナー,21.2,20.8,58.8,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（7）必要な情報を教えてくれる,2,その他の家族,36.4,24.5,59,,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（7）必要な情報を教えてくれる,3,友人・知人,48.5,22.6,57.7,p<0.05,p<0.01
あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（7）必要な情報を教えてくれる,4,医者・ケアマネージャーなどの専門家,4.5,5.7,10,,
