機　関　名,〒,所　在　地,電　話,管轄地域
東京都児童相談センター,〒169-0074,新宿区北新宿4-6-1,03-5937-2311,2314 2317千代田・中央・港新宿・文京・台東渋谷・豊島・練馬島しょ地域
よいこに電話相談,,,03-3366-4152,
江東児童相談所,〒135-0031,江東区枝川3-6-9,03-3640-5432,墨田・江東・江戸川
品川児童相談所,〒140-0001,品川区北品川3-7-21,03-3474-5442,品川・目黒・大田
世田谷児童相談所,〒156-0054,世田谷区桜丘5-28-12,03-5477-6301,世田谷・狛江
杉並児童相談所,〒167-0052,杉並区南荻窪4-23-6,03-5370-6001,中野・杉並・武蔵野・三鷹
北児童相談所,〒114-0002,北区王子6-1-12,03-3913-5421,北・荒川・板橋
足立児童相談所,〒123-0845,足立区西新井本町3-8-4,03-3854-1181,足立・葛飾
八王子児童相談所,〒193-0931,八王子市台町3-17-30,042-624-1141,八王子・町田・日野
立川児童相談所,〒190-0012,立川市曙町3-10-19,042-523-1321,立川・青梅・昭島国立・福生・あきる野・羽村西多摩郡
小平児童相談所,〒187-0002,小平市花小金井1-31-24,042-467-3711,小金井・小平・東村山・国分寺・西東京・東大和・清瀬・東久留米・武蔵村山
多摩児童相談所,〒206-0024,多摩市諏訪2-6,042-372-5600,府中・調布・多摩稲城
