区,施設名,〒,所在地,電話
文京区,文京区青少年プラザ(b-lab),〒113-0034,湯島4－7－10,03-5800-2731
江東区,ｓ青少年交流プラザ,〒136-0071,亀戸7-41-16,03-3681-7334
目黒区,ｓ青少年プラザ,〒153-0061,中目黒2-10-13中目黒スクエア内,03-5721-8575
大田区,ｓ平和島ユースセンター※再整備工事中,〒143-0006,平和島4-2-15,
世田谷区,野毛青少年交流センター,〒158-0092,野毛2-15-19,03-3702-4587
世田谷区,ｓ青少年交流センター池之上青少年会館,〒155-0032,代沢2-37-18,03-3413-9504
渋谷区,初台青年館,〒151-0061,初台1-33-10,03-3370-8602
渋谷区,代官山ティーンズクリエイティブ,〒150-0034,代官山町7-9,03-3780-0816
渋谷区,児童青少年センターフレンズ本町,〒151-0071,本町6-6-2,03-3377-5160
杉並区,児童青少年センター,〒167-0051,荻窪1-56-3ゆう杉並,03-3393-4760
杉並区,豊島区中高生センタージャンプ東池袋,〒170-0013,東池袋 2-38-10-2階,03-3971-4931
杉並区,中高生センタージャンプ長崎,〒171-0051,長崎2-24-13,03-3972-0035
練馬区,春日町青少年館,〒179-0074,春日町4-16-9,03-3998-5341
練馬区,ｓ南大泉青少年館,〒178-0064,南大泉1-44-7,03-3924-3500
足立区,ｓこども未来創造館,〒123-0842,栗原1-3-1,03-5242-8161
江戸川区,共育プラザ 南小岩,〒133-0056,南小岩4-5-8,03-3673-2206
江戸川区, 一之江,〒132-0024,一之江3-13-7,03-3652-5911
江戸川区, 小岩,〒133-0051,北小岩2-14-17,03-3672-0604
江戸川区, 平井,〒132-0035,平井7-21-6,03-3618-4031
江戸川区, 南篠崎,〒133-0065,南篠崎町3-12-8,03-3678-8241
江戸川区, 葛西,〒134-0082,宇喜田町175,03-3688-8611
青梅市,ｓ釜の淵市民館,〒198-0086,大柳町1392,0428-22-3532
調布市,ｓ調布市青少年交流館,〒182-0036,飛田給1-52-1,042-481-1115
調布市,調布市青少年ステーションCAPS,〒182-0035,上石原1-36-2,042-442-5535
町田市,ｓ青少年施設ひなた村,〒194-0032,本町田2863,042-722-5736
町田市,ｓ大地沢青少年センター,〒194-0211,相原町5307-2,042-782-3800
町田市,ｓ子どもセンターばあん,〒194-0012,金森4-5-7,042-788-4181
町田市,ｓ子どもセンターつるっこ,〒195-0062,大蔵町1913,042-708-0236
町田市,ｓ子どもセンターぱお,〒194-0211,相原町2025-2,042-775-5258
町田市,ｓ子どもセンターただON,〒194-0035,忠生1-11-1,042-794-6722
町田市,ｓ子どもセンターまあち,〒194-0021,中町1-31-22,042-794-7360
日野市,勤労・青年会館,〒191-0062,多摩平1-10-1,042-586-6251
稲城市,稲城ふれあいの森,〒206-0822,坂浜1307,042-331-0084
