区分,団体数,団体数割合(%),,,,,,,,,,,,
団体の将来性や人手不足から、参加してもらいたいと思う,579,56.0,,,,,,,,,,,,
一緒に活動することで、活動の幅が広がると思う,561,54.3,,,,,,,,,,,,
多様な世代と交流ができ、コミュニケーションを図ることができると思う,528,51.1,,,,,,,,,,,,
組織が活性化すると思う,493,47.7,,,,,,,,,,,,
若い世代の能力や特性を活動に活かすことができると思う,400,38.7,,,,,,,,,,,,
参加してもらうきっかけを見つけることが難しいと思う,268,25.9,,,,,,,,,,,,
必要だと感じているが、具体的な活動方法が分からない,228,22.1,,,,,,,,,,,,
世代が違うため、コミュニケーションが難しいと思う,97,9.4,,,,,,,,,,,,
参加は期待していない,92,8.9,,,,,,,,,,,,
価値観の違いや意見の相違から、一緒に活動することを不安に思う,54,5.2,,,,,,,,,,,,
その他,79,7.6,,,,,,,,,,,,
無回答,72,7.0,,,,,,,,,,,,
