"実施機関","業務登録数","目的外利用業務数","外部提供業務数"
"区長部局 各総合支所","398","15","43"
"区長部局 産業・地域振興支援部","26","2","16"
"区長部局 保健福祉支援部","53","26","29"
"区長部局 みなと保健所","21","9","15"
"区長部局 子ども家庭支援部","15","3","4"
"区長部局 児童相談所","11","0","9"
"区長部局 街づくり支援部","48","6","15"
"区長部局 環境リサイクル支援部","8","0","2"
"区長部局 企画経営部","18","1","3"
"区長部局 防災危機管理室","13","0","6"
"区長部局 総務部","40","8","9"
"区長部局 会計室","2","0","1"
"区長部局 計","653","70","152"
"選挙管理委員会","5","2","4"
"監査委員","3","1","2"
"教育委員会 事務局 教育推進部","28","9","11"
"教育委員会 事務局 学校教育部","25","12","11"
"教育委員会 中学校","50","9","16"
"教育委員会 小学校","90","17","36"
"教育委員会 幼稚園","60","5","18"
"教育委員会 計","253","52","92"
"合計","914","125","250"

"令和5年度港区行政資料集　個人情報取扱業務登録・目的外利用・外部提供の状況","Ver202303",,
