調査実施年,和暦,人口／総数（人）,人口／男（人）,人口／女（人）,人口／人口性比（女100人に対する男の数）,人口／前回調査に対する増減／増減数（人）,人口／総数／前回調査に対する増減／増減率（％）,世帯／総数（世帯）,世帯／総数／総世帯の1世帯当たり人員（人）
1920,大正9,3699428,1952989,1746439,111.8,-,-,771845,4.79
1925,大正14,4485144,2387609,2097535,113.8,785716,21.24,973530,4.61
1930,昭和5,5408678,2855323,2553355,111.8,923534,20.59,1125925,4.8
1935,昭和10,6369919,3325696,3044223,109.2,961241,17.77,1282703,4.97
1940,昭和15,7354971,3795875,3559096,106.7,985052,15.46,1539950,4.78
1945,昭和20,3488284,1788145,1700139,105.2,-3866687,-52.57,-,-
1950,昭和25,6277500,3169389,3108111,102,2789216,79.96,1438627,4.36
1955,昭和30,8037084,4115823,3921261,105,1759584,28.03,1797466,4.47
1960,昭和35,9683802,4997023,4686779,106.6,1646718,20.49,2496680,3.88
1965,昭和40,10869244,5564583,5304661,104.9,1185442,12.24,3104749,3.5
1970,昭和45,11408071,5801009,5607062,103.5,538827,4.96,3589109,3.18
1975,昭和50,11673554,5913373,5760181,102.7,265483,2.33,3989787,2.93
1980,昭和55,11618281,5856280,5762001,101.6,-55273,-0.47,4320207,2.69
1985,昭和60,11829363,5955029,5874334,101.4,211082,1.82,4511423,2.62
1990,平成2,11855563,5969773,5885790,101.4,26200,0.22,4785406,2.48
1995,平成7,11773605,5892704,5880901,100.2,-81958,-0.69,4998492,2.36
2000,平成12,12064101,6028562,6035539,99.9,290496,2.47,5423551,2.22
2005,平成17,12576601,6264895,6311706,99.3,512500,4.25,5890792,2.13
2010,平成22,13159388,6512110,6647278,98,582787,4.63,6393768,2.06
2015,平成27,13515271,6666690,6848581,97.3,355883,2.7,6701122,2.02
2020,令和2,14047594,6898388,7149206,96.5,532323,3.94,7227180,1.94
,,,,,,,,,
令和2年国勢調査  人口等基本集計,,,,,,,,,
第１表　人口及び世帯数の推移（大正9年～令和2年）,,,,,,,,,
注１)　総世帯の１世帯当たり人員は、総世帯数を人口で割り返して算出しており、一般世帯の１世帯当たり人員とは異なる。,,,,,,,,,
注２)　昭和20年は「人口調査」の結果による。,,,,,,,,,
注３)　調査期日は調査実施年の10月1日現在である。（昭和20年の調査期日は11月1日現在）,,,,,,,,,
