調査実施年,和暦,人口／総数（人）,人口／区部／（人）,人口／市部／（人）,人口／郡部／（人）,人口／島部／（人）,人口／構成比／区部（％）,人口／構成比／市部（％）,人口／構成比／郡部（％）,人口／構成比／島部（％）
1920,大正9,3699428,3358186,282584,25552,33106,90.78,7.64,0.69,0.89
1925,大正14,4485144,4109113,316308,26311,33412,91.62,7.05,0.59,0.74
1930,昭和5,5408678,4986913,357871,28778,35116,92.2,6.62,0.53,0.65
1935,昭和10,6369919,5895882,405686,28802,39549,92.56,6.37,0.45,0.62
1940,昭和15,7354971,6778804,505079,31760,39328,92.17,6.87,0.43,0.53
1945,昭和20,3488284,2777010,641890,41176,28208,79.61,18.4,1.18,0.81
1950,昭和25,6277500,5385071,810993,40306,41130,85.78,12.92,0.64,0.66
1955,昭和30,8037084,6969104,987934,39446,40600,86.71,12.29,0.49,0.51
1960,昭和35,9683802,8310027,1295520,39574,38681,85.81,13.38,0.41,0.4
1965,昭和40,10869244,8893094,1898529,42029,35592,81.82,17.47,0.39,0.33
1970,昭和45,11408071,8840942,2490571,43291,33267,77.5,21.83,0.38,0.29
1975,昭和50,11673554,8646520,2945600,47447,33987,74.07,25.23,0.41,0.29
1980,昭和55,11618281,8351893,3182019,50695,33674,71.89,27.39,0.44,0.29
1985,昭和60,11829363,8354615,3385056,56105,33587,70.63,28.62,0.47,0.28
1990,平成2,11855563,8163573,3599683,59971,32336,68.86,30.36,0.51,0.27
1995,平成7,11773605,7967614,3712682,61232,32077,67.67,31.53,0.52,0.27
2000,平成12,12064101,8134688,3841419,60354,27640,67.43,31.84,0.5,0.23
2005,平成17,12576601,8489653,3998901,59303,28744,67.5,31.8,0.47,0.23
2010,平成22,13159388,8945695,4127128,58750,27815,67.98,31.36,0.45,0.21
2015,平成27,13515271,9272740,4157706,58334,26491,68.61,30.76,0.43,0.2
2020,令和2,14047594,9733276,4234381,55476,24461,69.29,30.14,0.39,0.17
,,,,,,,,,,
令和2年国勢調査  人口等基本集計,,,,,,,,,,
第２表　区・市・郡・島部別人口の推移（大正9年～令和2年）,,,,,,,,,,
注１)　昭和20年は「人口調査」の結果による。,,,,,,,,,,
注２)　調査期日は調査実施年の10月1日現在である。（昭和20年の調査期日は11月1日現在）,,,,,,,,,,
