"全国地方公共団体コード","ID","地方公共団体名","地区名","ゴミの品目","ゴミの品目_カナ","ゴミの品目_英字","分別区分","注意点","備考","粗大ごみ回収料金"
"132128","132128GMLT000196","日野市","全域","24時間風呂","24ジカンブロ","24-hour bath","小型家電（5㎏以内）","","",""
"132128","132128GMLT000223","日野市","全域","8ミリ用映写機","8ミリヨウエイシャキ","8mm projector","小型家電（5㎏以内）","","",""
"132128","132128GMLT000445","日野市","全域","IHクッキングヒーター","アイエイチクッキングヒーター","Induction cooktop","小型家電（5㎏以内）","","5㎏をこえるのものと45リットルの袋に入らないものは粗大ごみ。",""
"132128","132128GMLT000446","日野市","全域","アイスピック","アイスピック","Ice pick","不燃ごみ","","紙等にくるんで、指定収集袋に「アイスピックあり」と指定収集袋に表示してください。",""
"132128","132128GMLT000447","日野市","全域","アイロン","アイロン","Clothes Iron","小型家電（5㎏以内）","","",""
"132128","132128GMLT000448","日野市","全域","アイロン台","アイロンダイ","Ironing board","粗大ごみ","","指定収集袋に入れば不燃ごみ。",""
"132128","132128GMLT000449","日野市","全域","アコーディオンカーテン","アコーディオンカーテン","Accordion curtain","粗大ごみ","","",""
"132128","132128GMLT000450","日野市","全域","足踏みミシン","アシブミミシン","Treadle sewing machine","粗大ごみ","","",""
"132128","132128GMLT000451","日野市","全域","アタッシュケース（金属製）","アタッシュケース","Attache case (metal)","金属類（主に金属でできた製品）","","5㎏をこえるのものと45リットルの袋に入らないものは粗大ごみ。",""
"132128","132128GMLT000452","日野市","全域","アタッシュケース（皮革製）","アタッシュケース","Attache case (leather)","不燃ごみ","","指定収集袋に入らなければ粗大ごみ。",""
"132128","132128GMLT000453","日野市","全域","アタッシュケース（プラスチック製）","アタッシュケース","Attache case (plastic)","プラスチック類ごみ","","指定収集袋に入らなければ粗大ごみ。",""
"132128","132128GMLT000454","日野市","全域","宛名シール","アテナシール","Self-addressed stamped envelope","可燃ごみ","","",""
"132128","132128GMLT000458","日野市","全域","油（エンジンオイル、機械油など）","アブラ","Oil (engine oil, machine oil, etc.)","市では収集・処理できないもの","","販売店や専門の処理業者に依頼してください。少量なら紙・布にしみこませて可燃ごみへ。",""
"132128","132128GMLT000459","日野市","全域","油（食用油）","アブラ","Oil (cooking oil)","可燃ごみ","","溶剤で固めるか、紙・布にしみこませて可燃ごみへ。",""
"132128","132128GMLT000455","日野市","全域","油とり紙、油紙","アブラトリシ、ユシ","Oil wiping paper, oil paper","可燃ごみ","","",""
"132128","132128GMLT000456","日野市","全域","油のびん（食用油）","アブラノビン","Bottle of oil (edible oil)","びん","","逆さにして油をきってから「びん」へ。",""
"132128","132128GMLT000457","日野市","全域","油のプラスチック容器（食用油）","アブラノプラスチックヨウキ","Plastic container for oil (edible oil)","プラスチック類ごみ","","逆さにして油をきってから「プラスチック類ごみ」へ。",""
"132128","132128GMLT000460","日野市","全域","雨戸","アマド","Shutter","粗大ごみ","","",""
"132128","132128GMLT000461","日野市","全域","編み機","アミキ","Knitting machine","粗大ごみ","","指定収集袋に入れば不燃ごみ。",""
"132128","132128GMLT000462","日野市","全域","編み機（電動）","アミキ","Knitting machine (electric)","小型家電（5㎏以内）","","5㎏をこえるものと45リットルの袋に入らないものは粗大ごみ。",""
"132128","132128GMLT000463","日野市","全域","網戸","アミド","Screen door","粗大ごみ","","",""
"132128","132128GMLT000464","日野市","全域","アルバム（写真含む）","アルバム","Albums (including photographs)","可燃ごみ","","透明フィルム、多少のリングやビスがあってもよい。",""
"132128","132128GMLT000465","日野市","全域","アルミはく","アルミハク","Aluminum foil","不燃ごみ","","汚れているものは可燃ごみ",""
"132128","132128GMLT000466","日野市","全域","アルミホイル","アルミホイル","Aluminum foil","不燃ごみ","","汚れているものは可燃ごみ。",""
