回答,割合(％),人数(人),備考
火災、やけどの原因高温になる場所での使用、保管,58.6,589,
火災、やけどの原因使用中や充電中に布団などで覆ったり包む,27.2,273,
やけど等の原因使用中や充電中に温度の高い部分に長時間皮膚が触れる,29.3,294,
火災、やけど、感電の原因（水濡れ）海水浴中（プール等を含む）の使用※,60.7,610,
火災、やけど、感電の原因（水濡れ）入浴中（温泉等を含む）の使用※,60.6,609,
火災、やけど、感電の原因（水濡れ）降雨時の使用※,29.7,298,
火災、やけど、感電の原因（汗による水濡れ）汗の湿気がこもるYシャツ、Tシャツ等のポケットに入れる※,22.8,229,
火災、やけど、感電の原因（汗による水濡れ）運動中（汗をかきながら）の使用※,25.0,251,
故障の原因サウナ（岩盤浴等を含む）での使用,58.8,591,
故障の原因エアコンの吹き出し口の近くでの保管,24.6,247,
故障の原因多くのものが詰まったバッグに入れての持ち運び,12.9,130,
故障の原因パンツ、スカートの後ろポケットに入れて座る,32.7,329,
その他,1.2,12,
,,,n=1005
,,,複数回答
,,,※取扱説明書を参考に、水濡れの可能性のある使用方法として例示
