,平成23年度(6045件),平成23年度件数,平成24年度(6467件),平成24年度件数,平成25年度(10267件),平成25年度件数,平成26年度上半期(5325件),平成26年度上半期件数
1,解約一般,2315,解約一般,2551,解約一般,3395,解約一般,1822
2,返金,1721,返金,1968,連絡不能,2966,連絡不能,1530
3,連絡不能,1025,連絡不能,1317,返金,2801,商品未着,1429
4,電子広告,936,電子広告,1143,商品未着,2627,返金,1298
5,商品未着,664,商品未着,908,電子広告,1852,電子広告,896
6,約束不履行,611,約束不履行,735,詐欺,1468,詐欺,885
7,クレジットカード,599,交換,634,中華人民共和国,1353,中華人民共和国,709
8,クレーム処理,599,クレーム処理,621,約束不履行,1066,クレジットカード,622
9,交換,528,クレジットカード,591,クレジットカード,983,約束不履行,484
10,他の接客対応,449,中華人民共和国,574,交換,809,所在不明,425
