,n,健康・体力づくりのため（％）,運動不足を感じるから（％）,楽しみや、気晴らしとして（％）,友人・仲間との交流として（％）,美容や肥満解消のため（％）,家族のふれあいとして（％）,自己の記録や能力を向上させるため（％）,精神の修養や訓練のため（％）,その他（％）,特に理由はない（％）
全体,1547,67.2,49.2,47.9,24.2,15.1,13.8,5.7,5.4,3.2,1.9
性・年齢別男性（計）,741,66.4,52.0,47.8,25.1,10.4,13.2,7.4,5.9,2.6,0.9
性・年齢別男性18・19歳,16,43.8,25.0,56.3,56.3,6.3,,12.5,6.3,,6.3
性・年齢別男性20代,74,48.6,45.9,58.1,41.9,6.8,6.8,10.8,4.1,5.4,
性・年齢別男性30代,99,61.6,49.5,48.5,25.3,15.2,26.3,7.1,11.1,1.0,1.0
性・年齢別男性40代,150,63.3,54.0,53.3,25.3,13.3,22.7,7.3,7.3,4.0,2.0
性・年齢別男性50代,140,65.7,55.7,52.1,12.1,12.9,12.1,8.6,5.0,1.4,
性・年齢別男性60代,133,76.7,54.9,42.1,25.6,9.8,6.0,7.5,3.8,3.0,
性・年齢別男性70歳以上,129,76.7,51.2,34.9,24.8,3.9,6.2,3.9,4.7,1.6,1.6
性・年齢別女性（計）,806,67.9,46.7,48.0,23.3,19.4,14.3,4.1,4.8,3.8,2.9
性・年齢別女性18・19歳,12,41.7,8.3,41.7,50.0,25.0,8.3,8.3,,,16.7
性・年齢別女性20代,81,46.9,50.6,54.3,37.0,17.3,13.6,2.5,2.5,1.2,6.2
性・年齢別女性30代,94,66.0,42.6,54.3,13.8,26.6,27.7,4.3,6.4,6.4,2.1
性・年齢別女性40代,179,62.0,42.5,58.7,15.1,22.9,22.3,5.0,2.2,5.6,2.2
性・年齢別女性50代,160,73.8,55.6,53.8,23.1,23.1,10.6,5.0,6.3,4.4,1.9
性・年齢別女性60代,128,75.8,53.1,33.6,26.6,17.2,8.6,5.5,5.5,3.1,2.3
性・年齢別女性70歳以上,152,76.3,40.1,34.9,27.0,9.2,5.9,1.3,6.6,2.0,2.6
ライフステージ別学校教育期,60,45.0,35.0,66.7,55.0,11.7,8.3,11.7,5.0,,5.0
ライフステージ別独身期,146,56.2,53.4,50.0,32.9,19.9,3.4,6.8,4.8,2.7,2.7
ライフステージ別家族形成期,146,59.6,41.1,54.8,21.9,13.0,37.0,5.5,6.8,5.5,1.4
ライフステージ別家族成長前期,152,64.5,42.1,57.2,21.1,18.4,38.2,5.3,5.3,3.9,1.3
ライフステージ別家族成長後期,132,64.4,48.5,54.5,17.4,21.2,15.2,6.8,6.1,4.5,4.5
ライフステージ別家族成熟期,254,72.4,53.1,46.9,23.2,18.5,9.4,8.7,5.1,3.1,1.2
ライフステージ別高齢期,352,75.6,48.3,37.2,27.0,8.2,7.1,3.1,5.4,2.0,2.3
