回答,週に1日以上実施（％）,週に1日未満実施（％）,実施したが頻度はわからない（％）,実施しなかった（％）
全体（n=1820）,56.3,26.1,2.6,15.0
職業別自営・家族従業（計）（n=238）,56.7,23.5,3.4,16.4
職業別勤め（計）（n=926）,50.9,33.4,2.5,13.3
職業別勤め経営・管理職（n=51）,52.9,37.3,0,9.8
職業別勤め専門・技術職（n=43）,44.2,32.6,4.7,18.6
職業別勤め事務職（n=453）,55.2,33.1,2.4,9.3
職業別勤め労務・技能職（n=155）,45.2,34.2,1.9,18.7
職業別勤め販売・サービス職（n=196）,46.9,31.6,3.6,17.9
職業別無職の主婦・主夫（n=432）,66.0,14.6,1.6,17.8
職業別その他の無職（n=141）,53.4,28.8,6.8,11.0
職業別学生（n=73）,66.0,14.9,2.8,16.3
ライフステージ別学校教育期（n=64）,56.3,29.7,7.8,6.3
ライフステージ別独身期（n=174）,40.8,40.2,2.9,16.1
ライフステージ別家族形成期（n=161）,49.7,38.5,2.5,9.3
ライフステージ別家族成長前期（n=167）,47.9,38.9,4.2,9.0
ライフステージ別家族成長後期（n=147）,52.4,34.0,3.4,10.2
ライフステージ別家族成熟期（n=290）,64.5,21.4,1.7,12.4
ライフステージ別高齢期（n=430）,66.3,13.0,2.6,18.1
