,n,テレビ、ラジオ、インターネット配信等で観戦したい（％）,競技会場（スタジアム・体育館・沿道など）で直接観戦したい（％）,入場無料の公共の場における大型スクリーン放映（ライブサイトやパブリックビューイング）で観戦したい（％）,観戦したいが、観戦方法が分からない（％）,観戦したいと思わない（％）,わからない（％）
全体,1820,72.3,18.3,6.9,1.6,14.5,5.4
エリア別区部（計）,1184,72.4,19.6,7.7,1.4,13.1,5.2
エリア別区部センター・コア,297,67.3,20.5,8.4,2.0,13.8,6.1
エリア別区部区部東部・北部,381,70.9,18.9,8.1,1.8,14.2,5.5
エリア別区部区部西部・南部,506,76.5,19.6,6.9,0.8,11.9,4.5
エリア別市町村部（計）,636,72.0,15.9,5.3,2.0,17.0,5.8
エリア別市町村部多摩東部,236,72.5,16.1,4.2,1.7,18.2,4.7
エリア別市町村部多摩中央部北,99,67.7,11.1,5.1,3.0,18.2,7.1
エリア別市町村部多摩中央部南,263,72.6,18.3,5.7,2.3,15.2,6.5
エリア別市町村部多摩西部・島しょ,38,76.3,10.5,10.5,,18.4,5.3
性・年齢別男性（計）,868,70.7,18.0,6.3,1.4,16.9,4.5
性・年齢別男性18・19歳,17,52.9,17.6,,,29.4,5.9
性・年齢別男性20代,87,56.3,12.6,9.2,6.9,27.6,3.4
性・年齢別男性30代,113,64.6,23.0,10.6,1.8,19.5,6.2
性・年齢別男性40代,168,66.7,19.0,7.7,0.6,18.5,4.2
性・年齢別男性50代,175,71.4,22.3,5.1,1.7,14.3,4.0
性・年齢別男性60代,156,82.1,17.9,1.9,,10.9,3.2
性・年齢別男性70歳以上,152,77.6,11.2,6.6,,15.1,5.9
性・年齢別女性（計）,952,73.6,18.6,7.4,1.9,12.2,6.3
性・年齢別女性18・19歳,13,53.8,23.1,7.7,7.7,23.1,7.7
性・年齢別女性20代,94,60.6,16.0,8.5,4.3,20.2,8.5
性・年齢別女性30代,113,65.5,20.4,8.0,2.7,13.3,7.1
性・年齢別女性40代,199,73.9,23.6,8.5,2.5,9.5,8.0
性・年齢別女性50代,181,74.0,26.0,10.5,0.6,9.9,8.3
性・年齢別女性60代,156,80.1,14.1,4.5,,13.5,3.2
性・年齢別女性70歳以上,196,80.1,10.2,4.6,2.0,10.7,3.6
