No,製品・場所等,事例,性別・年齢,内容
1,踏み台,転落・転倒,女１歳,踏み台に立ってひとりで下りようとして足を滑らせてそのまま落ちた。けがはなかった。
2,踏み台,転落・転倒,男２歳,踏み台に乗って歯磨き中、バランスを崩して踏み台から落ちそうになった。
3,踏み台,転落・転倒,男２歳,顔を洗っていて踏み台が洗面台よりも遠いところあり、足を踏み外して落ちた。
4,踏み台,転落・転倒,男２歳,子供が２歳の頃に一人で踏み台にのぼって手を洗おうとしている時に、踏み台がぺしゃんこになって転んだがけがはなかった。折り畳み式の踏み台がしっかり開いてなかったのが原因だった。
5,踏み台,転落・転倒,男３歳,踏み台に乗って洗面台の前に立ち歯磨き後のうがいをしているときに、前に重心が偏ってしまい踏み台が前に傾いて落ちそうになった。落ちたり、洗面台等にどこかを打ち付ける前に抱き寄せたので大事には至らなかった。
6,踏み台,転落・転倒,男３歳,簡易的な踏み台に乗って洗面台で手を洗おうとしたら、洗面台に体重をかけていたため、踏み台が後ろに滑ってしまって洗面台に顔をぶつけそうになった。
7,踏み台,転落・転倒,女３歳,眠る前の歯磨きをして口をすすぐときに、寝ぼけて踏み台を踏み外した。洗面台にあごをぶつけ、舌を少し噛んでしまい出血した。
8,踏み台,転落・転倒,女３歳,手を洗っている時に、バランスを崩して踏み台の上から落ちた。おそらくハンドソープを取ろうとしたのだと思うが、一瞬目を離した隙の出来事だった。
9,踏み台,転落・転倒,女３歳,洗面台で水遊びしていたら、踏み台から足を踏み外した。顎を打ち、口の中を切った。
10,歯ブラシ,のどに刺さった,男２歳,歯を磨くのに与えていたら、噛み砕いてしまい口の中にブラシの一本一本がばらけて刺さっていた。
11,歯ブラシ,のどに刺さった,男２歳,いつも通り姉と弟が歯磨きをしていて、姉がふざけて弟の背中を押し、歯ブラシが弟の喉の奥をついてしまった。真っ赤になってむせて、泣いた。親が目の前にいてもこんなふうになるのは本当に怖いと感た。
12,歯ブラシ,のどに刺さった,女２歳,夕飯後の歯磨きをしているときに転んで、歯ブラシでのどの奥を突いた。のど内部から大量に出血し、救急車で運ばれた。
13,歯ブラシ,のどに刺さった,女３歳,子供用の歯ブラシをのどに押し込んだ。
14,歯ブラシ,のどに刺さった,男４歳,歯磨きの練習をしていた時、やりながら遊び始め、こけそうになった。子供は歯ブラシを持った手を離さないので、危うく喉を突きそうになった。
15,洗面台,転落・転倒,女０歳,洗面台の横の台になっているスペースに子供を座らせ、私が洗面台で作業をしていたら、子供が台の端に座りなおしてしまい、背中から床に落ちた。
16,洗面台,溺水,女0歳,乳児時、沐浴として洗面台で行っていた時に手が滑って溺れさせてしまう所だった
17,洗面台,ぶつけた,男２歳,洗面台の下が開いていてパイプの見える古いタイプの洗面台で、下に潜って遊んでいる内に立ち上がろうとして頭をぶつけた。
18,洗面台,転落・転倒,女３歳,ふざけて洗面台に乗っかって足を滑らせて、床に落ちそうになった。
19,洗面台,ぶつけた,女４歳,洗面台の鏡の所が収納になっているタイプで、鏡を開けたままにしていたら子供が来てぶつかった。
20,カミソリ,切った,女０歳,９か月の子供が足に軽いやけどをして、抱っこしながら洗面所で足の裏を冷やしていた。冷やすことに集中してしまい、洗面所の上に置いてあったカミソリを子供が手に取ってしまったことに気づかず、それで指を切った。
21,カミソリ,切った,男２歳,洗面台にカミソリを置いていたが、背が伸びていつのまにか手が届くようになっていて取られてしまった。すぐに取り上げたので、大丈夫だった。
22,カミソリ,切った,男２歳,自分で椅子を持ってきたらしく棚に手が届いてしまっていて、カミソリのカバーを外して柄の部分を握りしめていた。すぐに気づいて取り上げたが、軽く振り回していたのでけがをするところだった。
23,カミソリ,切った,女３歳,カミソリを洗面台付近に置き忘れてしまい、興味を持った娘が遊んでしまい手を軽く切ってしまった。
24,洗剤,誤飲,女０歳,液体洗剤が棚から落ちてキャップが空いてしまい、流れ出た洗剤で子供が遊んでいた。頭から下、全体に洗剤まみれになり、口に入ったかもしれないと不安になった。
25,洗剤,誤飲,男１歳,洗濯機の横の棚に洗濯用の石鹸が剥き出しで置いてあった為、それを見つけた子供が口に持っていきそうになった。たまたま見つけて慌てて取り上げたので大事に至らなかった。
26,洗剤,目に入った,男１歳,粉の洗濯用洗剤を使っており、洗面台の下の収納にしまっていたが、遊んでいるうちに出してきて頭から被ってしまった。眼に入り自宅では流しきれなかったため、眼科へつれていって診てもらった。きれいに洗ってもらい目薬を処方された。
27,洗剤,誤飲,男３歳,第３の洗剤をなめておう吐した。今までは第３の洗剤を洗濯機に入れてくれていたので、なめると思わなかった。
28,バスマット,転落・転倒,女４歳,お風呂から勢いよく外へ出ようとしたとき、バスマットに乗せた足がすべって思い切り転んだ。大きなけがはなかったが、お尻を強くうって痛がっていた。
29,バスマット,転落・転倒,女５歳,滑り止めのついていないバスマットの上を走って通り過ぎたら、ひっくり返っておでこにタンコブができた。
30,床,転落・転倒,男４歳,お風呂上がりに身体をきちんとふいていなかったので、滑って頭を打った。
31,洗濯機,その他,男１歳,洗濯槽の扉の閉まりが甘かったので、子供が開けてしまい中に入りこもうとしていた。
32,洗濯機,その他,男４歳,洗濯機の中に隠れていた。すぐに気がついたが、子供がいなくなったことで慌てた。
33,洗濯機,その他,女４歳,子供がドラム式の洗濯機に入り、弟が蓋を閉めて出られなくなった。すぐ気がついたので、大事には至らなかった。
34,洗濯機,転落・転倒,男５歳,洗面台用で置いてある踏み台を使い、洗濯機の中に落ちかけた。
35,石鹸,誤飲,男０歳,見てないすきに石鹸を食べて嘔吐していた。口の中を洗い様子を見たが、とくになにもなかったので病院へは行かなかった。
36,石鹸,誤飲,女１歳,棚の上においていたボディーソープを手を伸ばしてとり、フタをあけて少し飲んでしまった。少量だったのと、しばらく様子を見て異常がなかったので受診はしなかった。
37,石鹸,目に入った,女１歳,子供がうっかり触って大量に出たハンドソープが目に入った。目が真っ赤になり大泣きしたので、すぐに流水で洗い流した後に眼科を受診。軽い炎症で済んだ。
38,石鹸,誤飲,男２歳,泡石鹸が入っているポンプを押すと泡が出てくるのが楽しくて、何回も押して口にいれようとした。
39,歯磨き粉,誤飲,男２歳,見ていない時に、歯磨き粉を食べていた。
40,水栓,やけど,女３歳,洗面所でお湯を使っている時に、子供が温度調節を触っていてやけどしそうになった。
41,口腔洗浄剤,誤飲,男４歳,誤って飲みそうになった。
42,化粧品,誤飲,女２歳,薬や化粧品の蓋を口に入れていた。のみ込める大きさだったので驚いた。
43,扉,はさんだ,男１歳,息子が扉の所に手を置いていたのに外側に居た夫は気付かず、思いっきり扉を開けてしまった。スライド式の扉の間に指が挟まりそうになった。
44,ヘアーアイロン,やけど,男１歳,私がヘアーアイロンをしている際、子供がアイロンのコードを引っ張り、そのアイロンが子供の上に落ちそうになってしまった。アイロンは２００度ほどにもなる高温だったので大変危なかった。
45,ドライヤー,やけど,男３歳,親が使って洗面所に置きっぱなしにしてしまったドライヤーを使って、やけどをしそうになった。
