順位(位),10歳未満,10歳未満(件)/(311件),10歳代,10歳代(件)/(180件),20歳代,20歳代(件)/(776件),30歳代,30歳代(件)/(1251件),40歳代,40歳代(件)/(1494件),50歳代,50歳代(件)/(1234件),60歳代,60歳代(件)/(1026件),70歳代,70歳代(件)/(841件),80歳代,80歳代(件)/(344件),90歳以上,90歳以上(件)/(38件),備考
1,外食,31,冷凍調理食品,18,エステティックサービス,143,エステティックサービス,156,美容医療＊,124,基礎化粧品,94,基礎化粧品,87,基礎化粧品,75,老人ホーム,34,老人ホーム,8,
2,冷凍調理食品,24,自転車,18,美容医療＊,130,美容医療＊,137,エステティックサービス,118,美容医療＊,72,他の化粧品,64,健康食品,72,医療サービス＊,31,デイケアサービス,6,
3,ミネラルウォーター,12,外食,16,外食,56,外食,87,基礎化粧品,72,健康食品,55,健康食品,49,医療サービス＊,55,健康食品,25,医療サービス＊,5,
4,自転車,9,他の化粧品,8,パーマ,42,他の化粧品,46,外食,64,エステティックサービス,52,医療サービス＊,44,他の化粧品,53,基礎化粧品,15,在宅介護サービス,4,
5,ベビーカー,9,パーマ,6,他の美容サービス,27,賃貸アパート,43,パーマ,57,外食,49,頭髪用化粧品,42,歯科治療＊,28,デイケアサービス,14,他の化粧品,2,
6,商品一般,8,椅子類,5,基礎化粧品,23,基礎化粧品,42,他の化粧品,55,歯科治療＊,41,歯科治療＊,38,頭髪用化粧品,27,他の化粧品,10,家庭用昇降設備,2,
7,無認可保育園,6,頭髪用具,5,賃貸アパート,23,パーマ,34,健康食品,47,他の化粧品,40,外食,34,パーマ,19,家庭用電気治療器具,8,,,※90歳以上の7位以下は件数が2件であるため割愛。
8,乳製品,5,美容医療＊,5,自転車,16,医療サービス＊,33,医療サービス＊,43,医療サービス＊,36,商品一般,29,商品一般,16,歯科治療＊,8,,,
9,他の調理食品,5,パン類,4,健康食品,16,歯科治療*,31,歯科治療＊,38,パーマ,31,パーマ,29,家庭用電気治療器具,16,商品一般,7,,,
10,育児家具類,5,弁当,4,他の医療,14,健康食品,30,洗濯用洗浄剤,33,賃貸アパート,28,美容医療＊,28,ふとん類,15,頭髪用化粧品,7,,,
,防虫・殺虫用品,5,コンタクトレンズ,4,医療サービス＊,14,,,,,,,,,美容医療＊,15,他の医療,7,,,
,保健衛生品その他,5,医療サービス＊,4,,,,,,,,,,,,,,,,,
,医療サービス＊,5,,,,,,,,,,,,,,,,,,,注１）「美容医療＊」は、「医療サービス」のうち、特性キーワード「美容医療」が付与された相談
,賃貸アパート,5,,,,,,,,,,,,,,,,,,,注２）「医療サービス＊」は、「医療サービス」のうち、特性キーワード「美容医療」が付与されていない相談
,,,,,,,,,,,,,,,,,,,,,注３）「歯科治療＊」は、「歯科治療」のうち、特性キーワード「美容医療」が付与されていない相談
,,,,,,,,,,,,,,,,,,,,,注４）年齢不明・無回答を除く
