,実際に観戦した（計）（％）,観戦しなかった（％）,わからない（％）,備考
"全体（n=1,820）",39.3,59.8,0.8,
性・年齢別男性（計）（n=868）,44.0,55.3,0.7,
性・年齢別男性18・19歳（n=17）,47.1,47.1,5.9,
性・年齢別男性20代（n=87）,44.8,55.2,0,
性・年齢別男性30代（n=113）,43.4,56.6,0,
性・年齢別男性40代（n=168）,50.0,50.0,0,
性・年齢別男性50代（n=175）,40.6,58.9,0.6,
性・年齢別男性60代（n=156）,42.3,57.7,0,
性・年齢別男性70歳以上（n=152）,42.8,54.6,2.6,
性・年齢別女性（計）（n=952）,35.1,64.0,0.9,
性・年齢別女性18・19歳（n=13）,46.2,53.8,0,
性・年齢別女性20代（n=94）,33.0,67.0,0,
性・年齢別女性30代（n=113）,35.4,62.8,1.8,
性・年齢別女性40代（n=199）,45.2,54.8,0,
性・年齢別女性50代（n=181）,39.8,59.1,1.1,
性・年齢別女性60代（n=156）,27.6,71.2,1.3,
性・年齢別女性70歳以上（n=196）,26.5,71.9,1.5,
,,,,（注）『実際に観戦した（計）』は「観戦しなかった」「わからない」以外の選択肢をんだ人の割合
