順位(位),平成25年度/(15289件),平成25年度若者の相談割合(％),平成26年度/(16213件),平成26年度若者の相談割合(％),平成27年度上半期/(7955件),平成27年度上半期若者の相談割合(％),平成27年度上半期件数(件),平成27年度上半期全年代の相談(件),備考
1,タレント・モデル養成教室,74.5,タレント・モデル内職,83.4,タレント・モデル養成教室,85.0,68,80,
2,他の理美容用具,64.6,教養娯楽教材,79.2,タレント・モデル内職,72.2,52,72,
3,結婚式,50.2,タレント・モデル養成教室,77.5,エステティックサービス,44.4,308,694,
4,エステティックサービス,48.8,他の理美容器具,62.8,オンラインゲーム,42.4,108,255,
5,オンラインゲーム,45.3,化粧品セット,54.9,他の内職・副業,41.8,105,251,
6,財布類,36.3,エスティックサービス,53.4,他の教室・講座,35.4,58,164,
7,音響・映像ソフト,36.0,他の内職・副業,47.2,出会い系サイト,30.3,200,659,
8,運動靴,28.9,オンラインゲーム,45.2,手配旅行,27.9,125,448,
9,アダルト情報サイト,26.9,ネックレス,31.0,モバイルデータ通信,24.4,185,757,
10,出会い系サイト,24.5,財布類,30.1,スポーツ・健康教室,21.9,61,278,
11,モバイルデータ通信,21.2,音響・映像ソフト,29.7,テレビ放送サービス,21.9,95,434,
12,パソコンソフト,20.9,出会い系サイト,28.9,医療サービス,21.8,137,628,
13,賃貸アパート,20.7,運動靴,28.8,アダルト情報サイト,21.7,1398,6441,
14,医療サービス,20.0,レンタルサービス,26.0,外食,20.2,85,420,
15,テレビ放送サービス,19.4,アダルト情報サイト,23.2,賃貸アパート,20.1,640,3183,
,,,,,,,,,注）各年度100件以上、平成27年度は上半期50件以上を割合順で並び替え、上位15位を抽出。（「商品一般」「相談その他」を除く）
