,若者相談平成23年度(件),若者相談平成24年度(件),若者相談平成25年度(件),若者相談平成26年度(件),若者相談平成27年度上半期(件),相談全体※平成27年度上半期(件),若者相談が占める割合(％)/(27年度上半期),備考
インターネット通販,5967,5104,5704,6316,3196,16565,19.3,
架空・不当請求,4427,3254,3153,3806,1918,10717,17.9,
サイドビジネス商法,520,555,745,873,374,790,47.3,
無料商法,671,625,741,828,299,1291,23.2,
マルチ・マルチまがい商法,443,464,639,725,283,659,42.9,
クレ・サラ強要商法,210,229,411,466,125,146,85.6,
アポイントメントセールス,210,304,330,401,127,198,64.1,
キャッチセールス,318,332,351,408,111,150,74.0,
,,,,,,,,注）相談全体は年齢不明・未記入を除いた件数
,,,,,,,,(複数選択項目)
,,,,,,,,※１インターネット通販/インターネットによる申込を受けて商品の販売やサービスの提供を行う販売方法/インターネット申込による役務提供サービスや、デジタルコンテンツ提供サービスも含む
,,,,,,,,※２サイドビジネス商法/｢副業や内職で収入になる｣などとうたって契約させる商法
,,,,,,,,※３無料商法/無料をうたって、高額な商品を売りつける商法
,,,,,,,,※４マルチ･マルチまがい商法/販売組織に加入し、購入した商品を知人などに売ることによって組織に勧誘し、それぞれがさらに加入者を増やすことによリマージンが入るとうたって契約させる商法（連鎖販売取引）と、それに類似した商法
,,,,,,,,※５クレ･サラ強要商法/売買契約の際に無理やりサラ金等から借金をさせたり、クレジット契約を組ませたりする商法
,,,,,,,,※６アポイントメントセールス/著しく有利な条件を強調して電話で呼び出し、商品やサービスを契約させる商法
,,,,,,,,※７キャッチセールス/駅や繁華街等の路上で呼びとめ、近くの店等で契約を迫る商法
