,熊本地震が起きてから、東京でも大地震が起きるかもしれないと感じた（％）,熊本地震以前から、東京でも大地震が起きるかもしれないと感じている（％）,東京と熊本は離れているので、大きな意識の変化を感じていない（％）,その他（％）
全体(n=463),16.8,79.0,3.7,0.4
性別男性(n=229),14.8,79.0,5.2,0.9
性別女性(n=234),18.8,79.1,2.1,0
年代20代(n=57),24.6,70.2,5.3,0
年代30代(n=83),16.9,79.5,2.4,1.2
年代40代(n=94),16.0,77.7,6.4,0
年代50代(n=70),14.3,84.3,1.4,0
年代60歳以上(n=159),15.7,80.5,3.1,0.6
職業自営業(n=35),20.0,80.0,0,0
職業常勤(n=186),15.1,81.7,2.7,0.5
職業パート・アルバイト(n=59),18.6,72.9,8.5,0
職業主婦(n=96),17.7,82.3,0,0
職業学生(n=18),22.2,61.1,16.7,0
職業無職(n=69),15.9,76.8,5.8,1.4
居住地域区別(n=325),16.6,79.7,3.7,0.3
居住地域市町村部(n=138),17.4,77.5,3.6,0.7
