,週3日以上（年151日以上）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）
全体（n=1547）,27.7,19.1,19.4,18.0,8.4,4.3,3.0
性・年齢別男性（計）（n=741）,26.5,19.3,18.4,20.5,8.8,4.3,2.3
性・年齢別男性18・19歳（n=16）,12.5,25.0,18.8,18.8,18.8,0,6.3
性・年齢別男性20代（n=74）,23.0,12.2,14.9,32.4,8.1,6.8,2.7
性・年齢別男性30代（n=99）,19.2,14.1,24.2,23.2,12.1,6.1,1.0
性・年齢別男性40代（n=150）,13.3,22.0,24.7,18.0,12.7,7.3,2.0
性・年齢別男性50代（n=140）,23.6,18.6,18.6,28.6,5.7,2.1,2.9
性・年齢別男性60代（n=133）,39.1,22.6,12.0,13.5,9.0,3.0,0.8
性・年齢別男性70歳以上（n=129）,41.1,20.9,14.7,13.2,3.9,2.3,3.9
性・年齢別女性（計）（n=806）,28.9,19.0,20.3,15.8,8.1,4.2,3.7
性・年齢別女性18・19歳（n=12）,16.7,16.7,16.7,16.7,0,8.3,25.0
性・年齢別女性20代（n=81）,19.8,2.5,23.5,23.5,17.3,8.6,4.9
性・年齢別女性30代（n=94）,17.0,12.8,23.4,20.2,12.8,6.4,7.4
性・年齢別女性40代（n=179）,20.1,19.0,21.2,21.2,12.3,3.9,2.2
性・年齢別女性50代（n=160）,33.8,21.3,16.3,15.6,6.9,4.4,1.9
性・年齢別女性60代（n=128）,38.3,23.4,18.8,9.4,3.9,3.1,3.1
性・年齢別女性70歳以上（n=152）,39.5,25.7,21.7,7.9,0.7,1.3,3.3
職業別自営・家族従業（計）（n=199）,34.2,18.1,15.6,16.6,6.5,5.0,4.0
職業別勤め（計）（n=803）,20.2,16.9,21.5,22.3,11.0,5.2,2.9
職業別勤め経営・管理職（n=46）,26.1,19.6,13.0,28.3,10.9,2.2,0
職業別勤め専門・技術職（n=35）,14.3,22.9,17.1,31.4,8.6,0,5.7
職業別勤め事務職（n=411）,19.0,17.8,24.1,21.2,11.7,3.6,2.7
職業別勤め労務・技能職（n=126）,23.0,15.1,17.5,19.0,13.5,9.5,2.4
職業別勤め販売・サービス職（n=161）,20.5,14.3,22.4,22.4,8.1,8.1,4.3
職業別無職の主婦・主夫（n=355）,36.6,24.5,19.2,10.1,4.5,3.1,2.0
職業別学生（n=65）,27.7,15.4,16.9,16.9,12.3,3.1,7.7
職業別その他の無職（n=118）,42.4,22.0,14.4,14.4,2.5,0.8,3.4
