内容,種別,当てはまる(％),やや当てはまる(％),どちらともいえない(％),あまり当てはまらない(％),当てはまらない(％),無回答(％)
仕事と生活の両立支援制度を整備している,先進企業,69.6,23.2,3.6,1.8,1.8,
仕事と生活の両立支援制度を整備している,先進企業以外,19.6,27.5,40.6,8.0,4.3,
人材の多様性が競争優位、競争力強化に必要と考えている,先進企業,53.6,23.2,16.1,7.1,0.0,
人材の多様性が競争優位、競争力強化に必要と考えている,先進企業以外,10.1,21.7,47.1,15.9,5.1,
多様な人材が能力を十分発揮できる仕組みづくり・支援を行っている,先進企業,46.4,37.5,14.3,1.8,0.0,
多様な人材が能力を十分発揮できる仕組みづくり・支援を行っている,先進企業以外,8.7,24.6,47.8,14.5,4.3,
女性の活用について、最重要課題の1つとして取り組んでいる,先進企業,51.8,30.4,16.1,1.8,0.0,
女性の活用について、最重要課題の1つとして取り組んでいる,先進企業以外,15.2,20.3,44.2,13.8,5.8,0.7
育休中の社員への復帰支援の取組を行っている,先進企業,55.4,30.4,12.5,1.8,0.0,
育休中の社員への復帰支援の取組を行っている,先進企業以外,11.6,26.8,33.3,18.1,9.4,0.7
女性活躍推進に向けた目標を掲げ、従業員や関係者に明示している,先進企業,46.4,25.0,8.9,8.9,10.7,
女性活躍推進に向けた目標を掲げ、従業員や関係者に明示している,先進企業以外,4.3,5.8,35.5,32.6,21.7,
女性活躍推進のための組織設置もしくは推進のための担当者を配置している,先進企業,60.7,14.3,7.1,5.4,12.5,
女性活躍推進のための組織設置もしくは推進のための担当者を配置している,先進企業以外,4.3,3.6,15.9,13.0,63.0,
