順位(位),23年度,23年度(件)/(1653件),24年度,24年度(件)/(1752件）,25年度,25年度(件)/(2186件）,26年度,26年度(件)/(1868件）,27年度上半期,27年度上半期(件)/（890件）
1,皮膚障害,456,その他の傷病及び諸症状,528,その他の傷病及び諸症状,599,その他の症状及び諸症状,543,その他の傷病及び諸症状,239
2,その他の傷病及び諸症状,429,皮膚障害,413,皮膚障害,561,皮膚障害,447,皮膚障害,209
3,消化器障害,137,擦過傷・挫傷・打撲傷,157,消化器障害,233,擦過傷・挫傷・打撲傷,185,擦過傷・挫傷・打撲傷,89
4,熱傷,136,熱傷,148,擦過傷･挫傷･打撲傷,187,消化器障害,160,消化器障害,74
5,擦過傷・挫傷・打撲傷,130,消化器障害,133,熱傷,151,熱傷,131,刺傷・切傷,62
6,刺傷・切傷,103,刺傷・切傷,105,刺傷･切傷,125,刺傷・切傷,110,熱傷,56
7,呼吸器障害,63,骨折,72,骨折,67,骨折,71,呼吸器障害,36
8,骨折,52,呼吸器障害,52,呼吸器障害,60,呼吸器障害,52,骨折,33
9,神経・脊髄の損傷,44,神経・脊髄の損傷,45,神経・脊髄の損傷,49,神経・脊髄の損傷,35,神経・脊髄の損傷,33
10,中毒,32,中毒,29,中毒,40,中毒,35,感覚機能の低下,13
