順位(位),25,平成25年度(件)/(15290件),26,平成26年度(件)/(16213件),平成27年度上半期,平成27年度上半期(件)/(7956件)
1,アダルト情報サイト,2376,アダルト情報サイト,2860,アダルト情報サイト,1398
2,賃貸アパート,1232,賃貸アパート,1292,賃貸アパート,640
3,エステティックサービス,695,エステティックサービス,661,移動通信サービス,376
4,移動通信サービス,539,移動通信サービス,541,エステティックサービス,308
5,デジタルコンテンツ一般,387,デジタルコンテンツ一般,427,インターネット接続回線,246
6,フリーローン・サラ金,353,出会い系サイト,402,デジタルコンテンツ一般,221
7,出会い系サイト,345,フリーローン・サラ金,340,出会い系サイト,200
8,オンラインゲーム,307,他のデジタルコンテンツ,295,他のデジタルコンテンツ,179
9,他のデジタルコンテンツ,302,インターネット接続回線,293,健康食品,152
10,相談その他,283,商品一般,293,医療サービス,137
11,インターネット接続回線,282,オンラインゲーム,266,商品一般,135
12,商品一般,263,医療サービス,258,フリーローン・サラ金,127
13,医療サービス,262,健康食品,204,手配旅行,125
14,音響・映像ソフト,195,相談その他,201,相談その他,123
15,運動ぐつ,187,教養娯楽教材,190,オンラインゲーム,108
