,n,テニス（車いすテニスを含む）（％）,水泳競技（％）,陸上競技（車いすマラソンを含む）（％）,バスケットボール（車椅子バスケットボールを含む）（％）,柔道（％）,ボッチャ（％）,サッカー（ブラインドサッカーを含む）、フットサル（％）,卓球（サウンドテーブルテニスを含む）（％）,ゴールボール（％）,バレーボール（シッティングバレーを含む）（％）
全体,1295,76.3,62.2,54.6,48.6,37.6,32.4,26.9,22.3,15.7,12.8
スポーツ観戦の有無別実際に観戦した（計）,573,77.0,62.0,57.4,52.5,38.6,34.9,31.1,20.8,18.0,14.7
スポーツ観戦の有無別観戦しなかった,712,76.1,62.6,52.5,45.4,36.9,30.6,23.7,23.2,14.0,11.2
テレビ・ラジオ、インターネット配信等での観戦の有無別テレビ・ラジオ、インターネット配信等で観戦した（計）,1265,76.6,62.6,54.8,49.1,38.1,32.7,27.0,22.5,16.0,13.0
テレビ・ラジオ、インターネット配信等での観戦の有無別観戦しなかった,28,64.3,42.9,46.4,28.6,17.9,17.9,21.4,10.7,,7.1
障害者スポーツへの関心度別関心がある,371,79.5,73.3,64.4,53.9,48.0,41.8,36.1,34.8,21.6,18.6
障害者スポーツへの関心度別やや関心がある,537,78.8,63.1,55.9,52.3,40.4,33.7,28.3,22.9,17.1,12.8
障害者スポーツへの関心度別あまり関心がない,285,70.2,49.1,44.2,38.2,22.8,22.5,18.2,8.4,9.1,8.1
障害者スポーツへの関心度別関心がない,55,61.8,47.3,36.4,36.4,23.6,21.8,12.7,9.1,5.5,3.6
障害者スポーツへの関心度別わからない,47,76.6,61.7,46.8,42.6,29.8,14.9,8.5,17.0,4.3,6.4
障害者スポーツへの関心度別関心がある（計）,908,79.1,67.3,59.4,53.0,43.5,37.0,31.5,27.8,18.9,15.2
障害者スポーツへの関心度別関心がない（計）,340,68.8,48.8,42.9,37.9,22.9,22.4,17.4,8.5,8.5,7.4
