年,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,,,,
人口(万人),1177,1206,1258,1316,1333,1336,1327,1308,1280,1242,1202,1156,1101,1036,,,,
年少人口（15歳未満）(万人),150,142,142,148,147,141,129,117,107,99,93,88,83,77,,,,
年少人口（16歳未満）割合(％),,,,(11.4),,,,,,,,,,(7.4),,,,
生産年齢人口（15-64歳）(万人),871,869,870,885,879,874,872,848,803,739,682,628,584,553,,,,
生産年齢人口（15-65歳）割合(％),,,,(68.2),,,,,,,,,,(53.4),,,,
老年人口（65-74歳）(万人),94,116,132,143,161,154,137,150,180,206,207,191,173,147,,,,
老年人口（65-75歳）割合(％),,,,(11.0),,,,,,,,,,(14.1),,,,
老年人口（75歳以上）(万人),59,75,98,122,145,167,190,194,191,198,220,249,261,260,,,,
老年人口（76歳以上）割合(％),,,,(9.4),,,,,,,,,,(25.0),,,,
備考,,,,,予測,予測,予測,予測,予測,予測,予測,予測,予測,予測,注１：2015年以降は、東京都政策企画局による推計,注２：内訳の（）内の数字は、人口に占める割合（2010年の割合は、年齢不詳を除いて算出した。）,注３：四捨五入や、実績値には年齢不詳を含むことにより、内訳の合計が総数と一致しない場合がある。,注４：出典どおり、西暦での表記とした。
