回答,1人（％）,2人（％）,3人（％）,4人（％）,5人以上（％）,1人も知らない（％）,知っている（計）（％）,備考
"全体（n=1,820）",13.4,12.9,14.1,4.1,13.0,42.6,57.4,
職業別自営・家族従業（計）（n=238）,10.1,15.1,12.6,5.0,13.4,43.7,56.3,
職業別勤め（計）（n=926）,14.8,12.7,15.6,3.7,12.6,40.6,59.4,
職業別勤め経営・管理職（n=51）,17.6,13.7,19.6,0,21.6,27.5,72.5,
職業別勤め専門・技術職（n=43）,14.0,16.3,18.6,0,7.0,44.2,55.8,
職業別勤め事務職（n=453）,15.0,13.2,15.9,4.9,14.3,36.6,63.4,
職業別勤め労務・技能職（n=155）,13.5,10.3,14.8,3.2,12.9,45.2,54.8,
職業別勤め販売・サービス職（n=196）,13.3,12.2,13.3,3.6,8.7,49.0,51.0,
職業別無職の主婦・主夫（n=432）,10.9,13.9,13.4,4.9,14.6,42.4,57.6,
職業別学生（n=73）,20.5,19.2,11.0,4.1,5.5,39.7,60.3,
職業別その他の無職（n=141）,14.2,5.0,9.9,3.5,13.5,53.9,46.1,
ライフステージ別学校教育期（n=64）,23.4,18.8,12.5,4.7,6.3,34.4,65.6,
ライフステージ別独身期（n=174）,14.9,8.0,10.9,1.7,3.4,60.9,39.1,
ライフステージ別家族形成期（n=161）,21.1,12.4,15.5,5.0,8.1,37.9,62.1,
ライフステージ別家族成長前期（n=167）,13.8,19.8,14.4,3.6,15.0,33.5,66.5,
ライフステージ別家族成長後期（n=147）,15.6,15.6,19.0,5.4,11.6,32.7,67.3,
ライフステージ別家族成熟期（n=290）,12.1,13.4,20.7,5.5,14.8,33.4,66.6,
ライフステージ別高齢期（n=430）,8.4,11.6,10.9,3.5,18.1,47.4,52.6,
,,,,,,,,（注）『知っている（計）』は「1人」～「5人以上」の合計
