回答,週に1日以上実施（％）,週に1日未満実施（％）,実施したが頻度はわからない（％）,実施しなかった（％）
全体（n=1820）,56.3,26.1,2.6,15.0
エリア別区部（計）（n=1184）,56.1,26.8,2.5,14.6
エリア別区部センター・コア（n=297）,55.9,24.9,2.4,16.8
エリア別区部区部東部・北部（n=381）,53.0,29.1,3.4,14.4
エリア別区部区部西部・南部（n=506）,58.5,26.1,2.0,13.4
エリア別市町村部（計）（n=636）,56.8,24.8,2.7,15.7
エリア別市町村部多摩東部（n=236）,54.7,25.8,1.7,17.8
エリア別市町村部多摩中央部北（n=99）,51.5,25.3,3.0,20.2
エリア別市町村部多摩中央部南（n=263）,61.2,22.8,3.0,12.9
エリア別市町村部多摩西部・島しょ（n=38）,52.6,31.6,5.3,10.5
性・年齢別男性（計）（n=868）,54.7,28.7,2.0,14.6
性・年齢別男性18・19歳（n=17）,52.9,35.3,5.9,5.9
性・年齢別男性20代（n=87）,42.5,40.2,2.3,14.9
性・年齢別男性30代（n=113）,50.4,36.3,0.9,12.4
性・年齢別男性40代（n=168）,53.6,33.9,1.8,10.7
性・年齢別男性50代（n=175）,48.6,29.1,2.3,20.0
性・年齢別男性60代（n=156）,62.8,21.8,0.6,14.7
性・年齢別男性70歳以上（n=152）,65.1,16.4,3.3,15.1
性・年齢別女性（計）（n=952）,57.8,23.7,3.2,15.3
性・年齢別女性18・19歳（n=13）,46.2,23.1,23.1,7.7
性・年齢別女性20代（n=94）,39.4,42.6,4.3,13.8
性・年齢別女性30代（n=113）,44.2,32.7,6.2,16.8
性・年齢別女性40代（n=199）,54.3,33.7,2.0,10.1
性・年齢別女性50代（n=181）,63.0,23.8,1.7,11.6
性・年齢別女性60代（n=156）,66.0,13.5,2.6,17.9
性・年齢別女性70歳以上（n=196）,67.3,7.7,2.6,22.4
