質問,割合(%)
防災(耐震化・不燃化、集中豪雨対策、地域防災力の向上等),65.7
治安(身近な犯罪等への対策、テロ対策、消費者被害防止等),56.4
まちづくり(バリアフリー化、道路・鉄道・空港・港湾の整備、美しい都市景観形成など),47.6
高齢者(高齢者の施設・すまい確保、介護人材の確保・育成、認知症対策等),42.5
医療・健康(医療基盤の充実、医療人材の確保・育成、生活習慣病対策等),41.4
子育て(保育所整備、保育人材の確保・育成、児童虐待防止、ひとり親家庭支援等),35.4
自然環境(公園・緑地の整備、水辺環境の整備、暑さ対策等),29.4
教育(グローバル人材育成、英語教育、学力・体力向上、不登校・中途退学対策等),24.0
雇用・就業(若者・女性・高齢者の就業支援、非正規雇用対策、障害者雇用の促進等),23.4
観光(観光プロモーション、ボランティア育成、観光案内の充実等),22.1
芸術文化(芸術文化拠点の魅力向上、文化の国際的な発信等),20.2
働き方(ライフ・ワーク・バランスの実現、女性の活躍推進等),18.9
エネルギー(省エネルギー・再生可能エネルギーの推進、水素等新エネルギーの活用等),17.2
スポーツ(アスリート育成、スポーツ環境整備、障害者スポーツ振興等),9.2
産業(国際ビジネス環境の整備、起業・創業支援、中小企業支援、都市農業等),8.4
その他,2.1
