回答,活動した（計）（％）,活動していない（％）,わからない（％）,備考
"全体（n=1,820)",13.1,85.1,1.8,
職業別自営・家族従業（計)（n=238),13.9,84.9,1.3,
職業別勤め（計)（n=926),14.3,84.1,1.6,
職業別勤め経営・管理職（n=51),17.6,82.4,0,
職業別勤め専門・技術職（n=43),14.0,83.7,2.3,
職業別勤め事務職（n=453),15.0,83.2,1.8,
職業別勤め労務・技能職（n=155),9.7,89.0,1.3,
職業別勤め販売・サービス職（n=196),15.3,82.7,2.0,
職業別無職の主婦・主夫（n=432),10.4,88.2,1.4,
職業別学生（n=73),21.9,72.6,5.5,
職業別その他の無職（n=141),9.2,88.7,2.1,
地域居住年数別1年未満（n=42),16.7,83.3,0,
地域居住年数別1～3年未満（n=140),9.3,89.3,1.4,
地域居住年数別3～5年未満（n=111),10.8,88.3,0.9,
地域居住年数別5～10年未満（n=219),15.5,83.1,1.4,
地域居住年数別10～15年未満（n=216),16.7,81.0,2.3,
地域居住年数別15～20年未満（n=190),18.4,78.9,2.6,
地域居住年数別20～30年未満（n=268),12.3,84.3,3.4,
地域居住年数別30年以上（n=622),10.9,87.9,1.1,
,,,,（注）『活動した（計）』は「活動していない」「わからない」以外の選択肢をんだ人の割合
