,21,平成21年度件数,22,平成22年度件数,23,平成23年度件数,24,平成24年度件数,平成25年度上半期,平成25年度上半期件数
1,家庭訪販,637,家庭訪販,644,家庭訪販,618,家庭訪販,654,家庭訪販,410
2,クーリングオフ一般,250,クーリングオフ一般,262,クーリングオフ一般,239,高価格・料金,225,高価格・料金,140
3,高価格・料金,244,高価格・料金,233,高価格・料金,230,クーリングオフ一般,222,クーリングオフ一般,133
4,信用性,182,信用性,163,信用性,200,見積り,216,見積り,128
5,強引,147,見積り,138,見積り,191,信用性,182,信用性,120
6,解約一般,140,点検商法,136,点検商法,148,解約一般,157,点検商法,105
7,点検商法,139,強引,125,解約一般,125,点検商法,151,解約一般,88
8,見積り,124,解約一般,115,強引,97,契約書・書面一般,129,契約書・書面一般,71
9,虚偽説明,82,虚偽説明,81,契約書・書面一般,81,強引,110,強引,61
10,次々販売,73,次々販売,74,虚偽説明,71,次々販売,88,虚偽説明,48
