,ｎ数(人),やけど(人),切った(人),転落・転倒(人),はさんだ(人),ぶつけた(人),誤飲(人),物が落ちてきた(人),皮膚障害(人),その他(人)
全体,715,292,220,87,23,22,22,13,6,30
調理用具,318,102,202,1,0,1,0,9,0,3
調理家電,103,97,2,2,0,1,0,0,0,1
コンロ,60,47,0,2,0,0,0,0,0,11
キッチンマット,40,0,0,40,0,0,0,0,0,0
シンク回り,30,10,4,6,0,6,0,2,0,2
洗剤,25,0,0,1,0,0,16,0,6,2
踏み台,21,0,0,21,0,0,0,0,0,0
食洗機,18,6,0,0,9,0,0,0,0,3
魚焼きグリル,15,15,0,0,0,0,0,0,0,0
シンク下収納,10,0,0,0,7,2,0,0,0,1
食器棚,9,0,0,2,2,5,0,0,0,0
水栓,8,8,0,0,0,0,0,0,0,0
タオル,5,0,0,4,0,1,0,0,0,0
石鹸,4,0,0,2,0,0,1,0,0,1
洗濯機,3,0,0,1,0,0,0,0,0,2
ふきん,2,0,0,0,0,0,0,1,0,1
その他,44,7,12,5,5,6,5,1,0,3
