回答,関心がある（％）,やや関心がある（％）,あまり関心がない（％）,関心がない（％）,わからない（％）,関心がある（計）（％）,関心がない（計）（％）,備考
全体（n=1820）,22.5,35.5,26.5,10.1,5.4,58.0,36.6,
エリア別区部（計）（n=1184）,22.6,36.9,26.5,8.7,5.3,59.5,35.2,
エリア別区部センター・コア（n=297）,21.9,36.0,26.9,7.7,7.4,57.9,34.7,
エリア別区部区部東部・北部（n=381）,21.3,37.8,25.7,11.0,4.2,59.1,36.7,
エリア別区部区部西部・南部（n=506）,23.9,36.8,26.9,7.5,4.9,60.7,34.4,
エリア別市町村部（計）（n=636）,22.3,32.9,26.6,12.6,5.7,55.2,39.2,
エリア別市町村部多摩東部（n=236）,25.0,33.1,22.9,16.9,2.1,58.1,39.8,
エリア別市町村部多摩中央部北（n=99）,19.2,33.3,25.3,16.2,6.1,52.5,41.4,
エリア別市町村部多摩中央部南（n=263）,21.7,32.3,29.3,8.7,8.0,54.0,38.0,
エリア別市町村部多摩西部・島しょ（n=38）,18.4,34.2,34.2,2.6,10.5,52.6,36.8,
性・年齢別男性（計）（n=868）,20.5,33.3,29.1,12.4,4.6,53.8,41.6,
性・年齢別男性18・19歳（n=17）,0,29.4,47.1,5.9,17.6,29.4,52.9,
性・年齢別男性20代（n=87）,16.1,25.3,35.6,23.0,0,41.4,58.6,
性・年齢別男性30代（n=113）,16.8,25.7,38.9,13.3,5.3,42.5,52.2,
性・年齢別男性40代（n=168）,14.9,36.9,26.8,15.5,6.0,51.8,42.3,
性・年齢別男性50代（n=175）,17.7,36.0,29.1,12.6,4.6,53.7,41.7,
性・年齢別男性60代（n=156）,26.3,37.2,26.9,6.4,3.2,63.5,33.3,
性・年齢別男性70歳以上（n=152）,31.6,32.9,21.1,9.2,5.3,64.5,30.3,
性・年齢別女性（計）（n=952）,24.3,37.5,24.2,7.9,6.2,61.8,32.0,
性・年齢別女性18・19歳（n=13）,38.5,23.1,23.1,7.7,7.7,61.5,30.8,
性・年齢別女性20代（n=94）,13.8,39.4,27.7,12.8,6.4,53.2,40.4,
性・年齢別女性30代（n=113）,18.6,40.7,27.4,7.1,6.2,59.3,34.5,
性・年齢別女性40代（n=199）,19.1,35.7,31.2,6.5,7.5,54.8,37.7,
性・年齢別女性50代（n=181）,21.5,44.2,21.5,7.2,5.5,65.7,28.7,
性・年齢別女性60代（n=156）,26.9,35.3,26.3,8.3,3.2,62.2,34.6,
性・年齢別女性70歳以上（n=196）,37.2,33.2,14.3,7.7,7.7,70.4,21.9,
,,,,,,,,（注）『関心がある（計）』は「関心がある」「やや関心がある」の合計『関心がない（計）』は「関心がない」「あまり関心がない」の合計
