,n,健康の維持増進（％）,体力の維持向上（％）,ストレス解消（％）,仲間（友人）ができる（％）,生活習慣病予防（％）,生きがいづくり（％）,忍耐力がつく（％）,フェアプレー、チームワーク精神の涵養（％）,意欲向上（％）,地域の絆やコミュニティの活性化（％）,経済の活性化（％）,日本人としての自覚や誇りの醸成（％）,国際的地位の向上（％）,都市の魅力の発信（％）,その他（％）,特に効果はない（％）,わからない（％）
全体,1820,82.7,71.2,63.3,52.3,46.8,40.7,34.5,32.1,30.8,24.3,15.7,13.6,9.7,7.0,0.8,1.0,2.6
性・年齢別男性（計）,868,82.3,72.1,63.7,50.0,44.7,36.9,32.4,32.7,29.3,23.6,17.5,13.7,10.8,7.9,0.7,1.5,2.5
性・年齢別男性18・19歳,17,88.2,82.4,76.5,64.7,35.3,41.2,47.1,35.3,29.4,17.6,17.6,11.8,11.8,11.8,5.9,,
性・年齢別男性20代,87,80.5,67.8,66.7,56.3,35.6,35.6,24.1,25.3,28.7,20.7,18.4,8.0,8.0,4.6,,3.4,3.4
性・年齢別男性30代,113,86.7,86.7,68.1,51.3,48.7,39.8,30.1,34.5,28.3,25.7,15.9,11.5,9.7,7.1,0.9,1.8,2.7
性・年齢別男性40代,168,84.5,73.8,67.9,56.0,53.0,34.5,45.8,42.3,32.1,25.6,20.2,12.5,9.5,7.1,,0.6,1.8
性・年齢別男性50代,175,83.4,71.4,65.1,49.1,44.0,40.6,32.0,37.7,30.9,26.9,18.3,16.6,12.6,10.3,1.1,1.1,2.3
性・年齢別男性60代,156,80.8,66.0,62.8,46.2,46.8,35.3,2.05,28.8,30.1,24.4,17.3,12.8,12.2,7.7,0.6,1.9,2.6
性・年齢別男性70歳以上,152,77.0,67.8,52.0,42.1,37.5,34.9,30.3,23.0,24.3,17.8,14.5,17.8,11.2,8.6,0.7,1.3,3.3
性・年齢別女性（計）,952,83.1,70.3,62.9,54.4,48.7,44.1,36.4,31.5,32.2,25.0,14.0,13.6,8.6,6.2,0.8,0.6,2.7
性・年齢別女性18・19歳,13,92.3,76.9,61.5,69.2,30.8,30.8,7.7,7.7,,23.1,7.7,7.7,,,7.7,,7.7
性・年齢別女性20代,94,75.5,72.3,69.1,48.9,45.7,38.3,33.0,25.5,28.7,14.9,12.8,8.5,3.2,3.2,,1.1,3.2
性・年齢別女性30代,113,89.4,73.5,75.2,50.4,54.9,38.9,38.9,29.2,34.5,23.9,16.8,10.6,6.2,8.8,,0.9,0.9
性・年齢別女性40代,199,87.9,74.4,69.8,58.3,48.2,45.2,37.7,35.2,30.2,29.1,12.6,10.6,6.5,5.0,2.5,,1.5
性・年齢別女性50代,181,85.1,71.8,66.3,57.5,54.1,54.7,42.5,42.0,39.2,27.6,19.9,16.0,14.9,9.9,0.6,,2.2
性・年齢別女性60代,156,84.0,69.9,56.4,59.0,51.9,42.9,35.9,32.1,36.5,26.9,12.8,15.4,11.5,5.8,0.6,0.6,3.8
性・年齢別女性70歳以上,196,75.0,61.7,48.0,48.0,40.8,40.8,32.1,23.5,27.0,22.4,10.2,17.3,7.1,4.6,,1.5,4.1
