,ｎ,仲間・友人と（％）,ひとりで（％）,家族と（％）,現在住んでいる地域の人々と（％）,職場の人々と（％）,実施したくない（％）,その他（％）,わからない（％）
全体,1820,57.2,41.7,38.9,10.9,5.8,4.0,0.6,4.7
性・年齢別男性（計）,868,56.0,43.7,36.9,11.6,8.6,4.3,0.6,4.8
性・年齢別男性18・19歳,17,88.2,35.3,,,,,,5.9
性・年齢別男性20代,87,70.1,40.2,18.4,5.7,13.8,5.7,1.1,6.9
性・年齢別男性30代,113,60.2,50.4,43.4,10.6,14.2,4.4,,2.7
性・年齢別男性40代,168,62.5,45.2,51.2,9.5,14.9,3.0,,1.8
性・年齢別男性50代,175,52.6,42.9,41.1,10.9,9.1,2.3,1.1,5.1
性・年齢別男性60代,156,50.0,41.7,37.2,14.7,3.8,3.8,0.6,4.5
性・年齢別男性70歳以上,152,44.1,42.8,25.7,17.1,,7.9,0.7,8.6
性・年齢別女性（計）,952,58.3,39.9,40.8,10.3,3.3,3.7,0.6,4.5
性・年齢別女性18・19歳,13,84.6,38.5,23.1,,,,,
性・年齢別女性20代,94,77.7,36.2,31.9,6.4,4.3,1.1,,3.2
性・年齢別女性30代,113,48.7,42.5,50.4,8.8,6.2,3.5,0.9,6.2
性・年齢別女性40代,199,55.8,45.7,59.3,6.0,3.5,1.5,,3.0
性・年齢別女性50代,181,63.5,45.9,50.8,9.9,2.8,1.7,1.1,3.3
性・年齢別女性60代,156,61.5,38.5,34.0,12.2,3.2,3.8,0.6,3.2
性・年齢別女性70歳以上,196,48.0,30.1,17.9,16.8,1.5,9.2,1.0,8.2
ライフステージ別学校教育期,64,82.8,37.5,29.7,9.4,4.7,,1.6,4.7
ライフステージ別独身期,174,66.1,46.0,11.5,4.0,7.5,6.9,,5.7
ライフステージ別家族形成期,161,62.7,41.6,68.3,10.6,13.7,,0.6,0.6
ライフステージ別家族成長前期,167,61.1,37.7,68.9,12.0,10.8,,0.6,4.2
ライフステージ別家族成長後期,147,58.5,42.9,55.8,9.5,6.8,0.7,,2.7
ライフステージ別家族成熟期,290,55.9,46.9,50.0,11.0,5.5,1.7,1.0,1.0
ライフステージ別高齢期,430,49.8,34.9,27.0,16.7,1.2,7.2,1.2,7.9
