回答,必要である（％）,ある程度必要である（％）,あまり必要でない（％）,必要でない（％）,わからない（％）,必要である（計）（％）,必要でない（計）（％）,備考
全体（n=1820）,58.9,33.4,3.3,1.9,2.5,92.3,5.2,
スポーツ・運動の実施頻度別週3日以上（n=429）,63.9,32.2,2.1,0.9,0.9,96.0,3.0,
スポーツ・運動の実施頻度別週に2日（n=296）,63.9,31.4,2.7,0,2.0,95.3,2.7,
スポーツ・運動の実施頻度別週に1日（n=300）,67.0,27.0,1.3,2.7,2.0,94.0,4.0,
スポーツ・運動の実施頻度別月に1～3日（n=279）,61.3,32.6,2.2,0.4,3.6,93.9,2.5,
スポーツ・運動の実施頻度別3ヶ月に1～2日（n=130）,51.5,43.1,3.1,1.5,0.8,94.6,4.6,
スポーツ・運動の実施頻度別年に1～3日（n=66）,45.5,43.9,9.1,0,1.5,89.4,9.1,
"スポーツ・運動の実施頻度別週に1日以上実施（n=1,025）",64.8,30.4,2.0,1.2,1.6,95.2,3.2,
スポーツ・運動の実施頻度別週に1日未満実施（n=475）,56.4,37.1,3.4,0.6,2.5,93.5,4.0,
スポーツ・運動の実施頻度別スポーツや運動は実施しなかった（n=273）,41.8,37.7,8.1,7.0,5.5,79.5,15.0,
スポーツイベント、大会への参加の有無別参加した（n=408）,72.1,26.5,0.2,0,1.2,98.5,0.2,
"スポーツイベント、大会への参加の有無別参加したことがない（n=1,393）",55.2,35.3,4.2,2.4,2.9,90.5,6.6,
,,,,,,,,（注）『必要である（計）』は「必要である」「ある程度必要である」の合計『必要でない（計）』は「必要でない」「あまり必要でない」の合計
