,n,学校、職場（％）,知人や友人、家族（％）,東京都や区市町村の広報紙（％）,ホームページ、ブログ（％）,ポスター、チラシ（％）,新聞（％）,ＳＮＳ（ツイッター、フェイスブックなど）（％）,テレビ（％）,雑誌（％）,ラジオ（％）,その他（％）,わからない（％）
全体,408,39.0,33.3,22.3,12.3,8.8,5.4,4.9,2.0,2.0,0.5,10.0,3.7
性別男性,203,41.9,35.0,16.7,15.3,9.4,5.9,6.9,2.5,3.0,0.5,7.4,3.4
性別女性,205,36.1,31.7,27.8,9.3,8.3,4.9,2.9,1.5,1.0,0.5,12.7,3.9
年齢別18・19歳,11,72.7,36.4,,9.1,9.1,,,,,,,9.1
年齢別20代,33,75.8,15.2,3.0,18.2,6.1,,6.1,3.0,3.0,,6.1,
年齢別30代,69,58.0,36.2,13.0,11.6,2.9,1.4,10.1,1.4,2.9,,8.7,1.4
年齢別40代,99,58.6,30.3,14.1,11.1,9.1,1.0,4.0,2.0,1.0,,,4.0
年齢別50代,72,26.4,38.9,23.6,25.0,16.7,2.8,6.9,1.4,4.2,,9.7,1.4
年齢別60代,55,12.7,32.7,36.4,10.9,5.5,18.2,3.6,,1.8,,20.0,3.6
年齢別70歳以上,69,2.9,37.7,43.5,,10.1,11.6,,4.3,,2.9,21.7,8.7
