順位(位),25,平成25年度(件)/(7917件),26,平成26年度(件)/(8300件),平成27年度上半期,平成27年度上半期(件)/(4114件)
1,アダルト情報サイト,1034,アダルト情報サイト,1137,アダルト情報サイト,566
2,エステティックサービス,662,賃貸アパート,659,賃貸アパート,317
3,賃貸アパート,631,エステティックサービス,647,エステティックサービス,302
4,移動通信サービス,233,移動通信サービス,257,移動通信サービス,170
5,医療サービス,227,デジタルコンテンツ一般,217,デジタルコンテンツ一般,123
6,デジタルコンテンツ一般,224,出会い系サイト,193,健康食品,115
7,他の理美容用具,174,医療サービス,171,出会い系サイト,114
8,他のデジタルコンテンツ,170,他のデジタルコンテンツ,165,医療サービス,97
9,出会い系サイト,150,他の理美容用具,161,他のデジタルコンテンツ,97
10,商品一般,138,商品一般,145,インターネット接続回線,89
11,相談その他,135,インターネット接続回線,142,手配旅行,87
12,インターネット接続回線,119,タレント・モデル内職,133,商品一般,65
13,婦人用バッグ,107,健康食品,130,相談その他,58
14,フリーローン・サラ金,100,フリーローン・サラ金,127,テレビ放送サービス,49
15,財布類,98,化粧品セット,125,他の内職・副業,49
