No,製品名,事例,性別・年齢,内容
1,家庭用プール,溺水,男０歳,外で家庭用プールで遊んでいたところ、立ち上がろうと手を縁にかけたが滑り溺れそうになった。水深は３cm程度。
2,家庭用プール,転落・転倒,男１歳,プールの縁に座って、そのまま後ろに倒れそうになった。
3,家庭用プール,溺水,女２歳,家庭用プールで子供が水遊びしており、一瞬目を離したら滑って転び、水に浸かっていた。すぐに助けたので大丈夫だった。
4,家庭用プール,転落・転倒,女３歳,ベランダで家庭用プールで遊んでいて、立ち上がった時に足を滑らせ頭を打った。幸いお尻に少しあざができた程度で済み、頭には何も異常はなかった。
5,家庭用プール,転落・転倒,男３歳,家庭用プールに水を張っている最中に、ほとんど水がない状態でプールに入り飛び込む真似をしてプールの床に顔面を強打した。
6,家庭用プール,溺水,男３歳,友達とプール遊びをしていて夢中になり、プール内で滑って水を飲んでしまった。
7,ホース,転落・転倒,女１歳,ホースにつまずいて転んだ。膝を打ってややすりむいたが病院に行くほどではなかった。
8,ホース,溺水,女１歳,庭のホースで自分に水をかけて、すごい勢いで水が口に入り、むせた。
9,ホース,ぶつけた,女３歳,水栓のコックをひねったらホースが暴れて娘にぶつかった。
10,洗濯機,その他,男２歳,洗濯機の中に遊びで入りそうになった。
11,洗濯機,転落・転倒,男３歳,ベランダにある洗濯機の台に乗っかって落ちそうになった。
12,洗濯機,はさんだ,男３歳,洗濯機に自分で洗濯物を入れようとして、蓋に指を危うく挟むところを親が止めた。
13,シンク,ぶつけた,男２歳,シンクの下に潜り込んで遊んでいて、頭を強打してたんこぶができた。
14,水栓,ぶつけた,男２歳,転倒し蛇口に目をぶつけけがをした。
15,ベランダの床,転落・転倒,男１歳,塗装でつるつるのベランダで水遊びさせた時に、つるっとすべりそうになった。転んだらコンクリートなので危なかった。
16,濡れた地面,転落・転倒,女１歳,洗車した後、まだ濡れているところを歩いて滑った。
