,平成23年度(20034件),平成23年度件数,平成24年度(18971件),平成24年度件数,平成25年度(18823件),平成25年度件数,平成26年度上半期(12124件),平成26年度上半期件数
1,デジタルコンテンツ,17459,デジタルコンテンツ,15971,デジタルコンテンツ,15547,デジタルコンテンツ,10139
2,役務その他サービス,210,役務その他サービス,252,役務その他サービス,289,役務その他サービス,190
3,コンサート,155,航空サービス,163,他のネット通信関連サービス,197,他のデリバティブ取引,101
4,他の内職・副業,113,コンサート,150,航空サービス,160,海外手配旅行,97
5,他のネット通信関連サービス,104,他のネット通信関連サービス,147,エステティックサービス,159,航空サービス,89
6,ホテル・旅館,102,ホテル・旅館,129,コンサート,145,他のネット通信関連サービス,84
7,海外手配旅行,102,教養・娯楽サービスその他,120,モバイルデータ通信,113,コンサート,83
8,教養・娯楽サービスその他,86,海外手配旅行,119,ホテル・旅館,108,興信所,83
9,航空サービス,86,他の内職・副業,90,海外手配旅行,100,モバイルデータ通信,77
10,引越,73,モバイルデータ通信,80,教養・娯楽サービスその他,97,教養・娯楽サービスその他,60
,,,,,,,他の内職・副業,60
